smiles,names
OCCCc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(F)cc2Cl)cc1,A3121_entry_00295_conf_01
Nc1ncccc1-c1cc(Cc2ccc(COCCN3CCCCC3)cc2)no1,A5574_entry_00236_conf_01
CC(C)N(CCCN)CCOC(=O)c1ccc(-c2ccccc2)cc1O,A1635_entry_00065_conf_01
CC(C)N(Cc1nc[n+](C[C@](O)(Cn2cncn2)c2ccc(F)cc2F)[n-]1)C(C)C,A4482_entry_00086_conf_01
COc1ccc(CO[C@H](COC(N)=O)OC[C@H](O)COc2ccc(Cl)cc2)cc1,A4277_entry_00195_conf_01
CC[C@H](Oc1ccc(Cl)cc1Cl)C(=O)[C@@H](Cn1ccnc1)N1CCOCC1,A1846_entry_00276_conf_01
O=C([C@@H](Cn1ccnc1)Oc1ccc(Cl)cc1Cl)N1CCCCC1,A1742_entry_00172_conf_01
CCc1ccc(C[C@H](COC(N)=O)OC[C@H](O)COc2ccc(Cl)cc2)cc1,A4294_entry_00212_conf_01
O=C(COc1ccc(Cl)cc1Cl)[C@H](Cn1ccnc1)OCC1CC1,A1746_entry_00176_conf_01
CC(C)C[C@H](Oc1ccc(Cl)cc1F)C(=O)[C@@H](Cn1ccnc1)OC(C)(C)C,A1874_entry_00304_conf_01
O=C(COc1ccc(Cl)cc1Cl)[C@@H](Cn1ccnc1)N1CCCC1,A1776_entry_00206_conf_01
C[C@@H](N1CCN(C(=O)NC(C)(C)C)CC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,A3512_entry_00058_conf_01
CCOC(=O)[C@H]1CN(C[C@H](C)Cc2ccc(C(C)(C)C)cc2)C[C@@H](C)O1,A862_entry_00234_conf_01
CCC[C@@H](Oc1ccc(Cl)cc1Cl)C(=O)[C@H](Cn1ccnc1)N(C)C,A1861_entry_00291_conf_01
CC[C@@H](Oc1ccc(Cl)cc1Cl)C(=O)[C@@H](Cn1ccnc1)C1CC1,A1871_entry_00301_conf_01
O=C(C1CCCC1)[C@@H](Cn1ccnc1)Oc1ccc(Cl)cc1Cl,A1759_entry_00189_conf_01
O=C(COc1ccc(Cl)cc1Cl)[C@@H](Cn1ccnc1)OCC1CCCC1,A1794_entry_00224_conf_01
CCC(C)(C)c1ccc(C[C@H](O)CN2C[C@@H](C)O[C@@H](C)C2)c(I)c1,A921_entry_00293_conf_01
CC(C)C[C@H](Oc1ccc(Cl)cc1F)C(=O)[C@@H](Cn1ccnc1)OC(C)C,A1805_entry_00235_conf_01
O=C(COc1ccc(Cl)cc1Cl)[C@@H](Cn1ccnc1)NC1CC1,A1878_entry_00308_conf_01
COc1ccc(C[C@@H](COC(N)=O)OC[C@@H](O)COc2ccc(Cl)cc2)cc1,A4241_entry_00159_conf_01
CC[C@H](Oc1ccc(Cl)cc1Cl)C(=O)[C@H](Cn1ccnc1)N1CCCCC1,A1886_entry_00002_conf_01
CCC(CC)COC(=O)[C@@H](Cn1ccnc1)Oc1ccc(Cl)cc1Cl,A1856_entry_00286_conf_01
CC(C)N(C(=O)[C@H](Cn1ccnc1)Oc1ccc(Cl)cc1Cl)C(C)C,A1876_entry_00306_conf_01
CCC(C)(C)c1ccc(C/C=C/CN2C[C@@H](C)O[C@@H](C)C2)cc1,A818_entry_00190_conf_01
CCCCCCCCN[C@@H](C)[C@H](O)c1ccc(Cl)c(OC)c1,A6124_entry_00158_conf_01
