ÿchembl_id,SMILES
CHEMBL2105485,C(=S)(N(c1cc(ccc1)C)C)Oc1cc2c([C@@H]3C[C@H]2CC3)cc1
CHEMBL4297506,[C@@H](c1ccc(Cl)cc1Cl)(OCc1ccc(C(F)(F)F)cc1)Cn1cncc1
CHEMBL1908301,C(c1c(cc(cc1)F)F)(OP(=O)(O)O)(Cn1ncnc1)Cn1ncnc1
CHEMBL298312,c1c(O)cccc1C
CHEMBL2107447,C(=C\SC)(/n1cncc1)\c1c(OCCCCC)cccc1
CHEMBL417799,O1c2c3c(c4c([n+](c3)C)c3c(cc4)cc4OCOc4c3)ccc2OC1
CHEMBL3989818,C1(c2c(cc(cc2)Cl)Cl)(OC(CO1)COc1ccc(c2ccccc2)cc1)Cn1cncc1
CHEMBL2107477,n1c([nH][nH]c2c1cncc2)COc1ccccc1
CHEMBL2107430,C(n1cncc1)(c1c(F)cccc1)(c1ccc(cc1)F)c1ccccc1
CHEMBL486174,C1(=O)N(CCC1)C(=O)/C=C/C=C/C(=C/[C@@H](CCCC)O)/C
CHEMBL3707340,Cc1c(Br)cc(Br)c(O)c1Br
CHEMBL2104617,[C@@]1([C@@H](O1)c1c(cc(cc1)Cl)Cl)(Cn1ncnc1)c1ccc(cc1)Cl
CHEMBL2105308,c1(CO[C@H](Cn2cncc2)c2ccc(cc2)Cl)c(Cl)cccc1Cl
CHEMBL549473,[n+]1(c(SSc2[n+]([O-])cccc2)cccc1)[O-]
CHEMBL522783,[C@H]1([C@H]([C@H]1C)/C=C/[C@H](/C=C(/[C@@H]1O[C@@H](C(=CC1)C)CC)\C)C)/C=C/[C@@H]1O[C@H](CC(=O)O)C[C@@H]([C@H]1O)O
CHEMBL356479,N1(C(=O)C(NC1=O)C(CC)CCCC)SC(Cl)(Cl)Cl
CHEMBL459008,C(=O)(c1ccc(cc1)O)OCCCC
CHEMBL1463,n1c(c(c[nH]c1=O)F)N
CHEMBL294029,[C@@]([C@H](c1nc(cs1)c1ccc(C#N)cc1)C)(c1c(cc(cc1)F)F)(Cn1ncnc1)O
CHEMBL2046550,c1(/C(=C(/n2ccnc2)\C)/OCCOc2ccc(cc2)Cl)c(cc(cc1)Cl)Cl
CHEMBL2106156,C(=C\n1cncc1)(/c1c(cc(cc1)Cl)Cl)\OCCOc1ccc(Cl)cc1
CHEMBL27289,C(=C)(n1cncc1)c1c(OCc2cc(Cl)ccc2)cccc1
CHEMBL3707367,C(COc1ccc(cc1)Cl)O
CHEMBL1651990,c1(C(Cn2ccnc2)OCc2ccc(cc2)Sc2ccccc2)c(cc(cc1)Cl)Cl
CHEMBL1276010,C(=O)(O)CCCCCCCCC=C
CHEMBL489411,N1(C[C@H](O[C@H](C1)C)C)CC(Cc1ccc(C(CC)(C)C)cc1)C
CHEMBL2104297,n1(c(C(=O)OCC)cnc1)C1c2c(CCC1)cccc2
