LIGAND_ENTRY,smiles,es,hs,HA_num,RingSystem_num,Ring_num,rule_of_five
A3244_entry_00104_conf_01,CN(C)CCCOc1ccc(CN(C)Cc2cccc3ccccc23)cc1,0.9964161,0.003583846,27,2,3,1
A1732_entry_00162_conf_01,CCCN(CCC)CCOC(=O)Cc1ccccc1c1ccccc1,0.99972016,0.000279807,25,2,2,1
A5576_entry_00238_conf_01,Nc1ncccc1c1cc(Cc2ccc(COCCN3CCCC3)cc2)no1,0.99489367,0.005106311,28,4,4,1
A4678_entry_00282_conf_01,CN1CCN(C/C=C/CN(C)Cc2cccc3ccccc23)CC1,0.9968573,0.003142756,24,2,3,1
A3201_entry_00061_conf_01,CN(Cc1ccc(CCCN)cc1)Cc1cccc2ccccc12,0.9979734,0.002026574,24,2,3,1
A3121_entry_00295_conf_01,OCCCc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(F)cc2Cl)cc1,0.9968262,0.0031739,27,3,3,1
A3250_entry_00110_conf_01,CN(C)CCCN(Cc1ccccc1)Cc1cccc2ccccc12,0.99232787,0.007672131,25,2,3,1
A3213_entry_00073_conf_01,COC(=O)CCc1ccc(CN(C)Cc2cccc3ccccc23)cc1,0.9996166,0.000383341,26,2,3,1
A3254_entry_00114_conf_01,CN(C)Cc1ccc(CN(C)Cc2cccc3ccccc23)cc1,0.9965519,0.003448109,24,2,3,1
A3253_entry_00113_conf_01,CN(Cc1ccc(CCCCN)cc1)Cc1cccc2ccccc12,0.9961842,0.003815777,25,2,3,1
A3266_entry_00126_conf_01,CN(C)CCc1ccc(CN(C)Cc2cccc3ccccc23)cc1,0.99579525,0.004204726,25,2,3,1
A4449_entry_00053_conf_01,O[C@](CN1CCN(Cc2cccs2)CC1)(Cn1cncn1)c1ccc(F)cc1F,0.9924435,0.007556436,29,4,4,1
A3181_entry_00041_conf_01,CC(=O)N(C)Cc1ccc(CN(C)Cc2cccc3ccccc23)cc1,0.99949265,0.000507297,26,2,3,1
A3243_entry_00103_conf_01,C[C@H](O)c1ccc(CN(C)Cc2cccc3ccccc23)cc1,0.99759763,0.002402372,23,2,3,1
A5586_entry_00248_conf_01,COC(=O)CC1CCN(Cc2ccc(Cc3cc(c4cccnc4N)on3)cc2)CC1,0.998173,0.001826993,31,4,4,1
A3223_entry_00083_conf_01,CN(C)CCOc1ccc(CN(C)Cc2cccc3ccccc23)cc1,0.9989017,0.001098234,26,2,3,1
A3210_entry_00070_conf_01,CCN(Cc1ccc(C(=O)O)cc1)Cc1cccc2ccccc12,0.99966013,0.000339899,24,2,3,1
A2619_entry_00107_conf_01,OCCc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,0.9977495,0.002250514,26,3,3,1
A4533_entry_00137_conf_01,CCc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(F)cc2F)c(F)c1,0.99932754,0.00067253,26,3,3,1
A3228_entry_00088_conf_01,CN(Cc1ccc(C(F)(F)F)cc1)Cc1ccnc2ccccc12,0.99979883,0.000201221,24,2,3,1
A4686_entry_00290_conf_01,C[C@@H]1CCN(C/C=C/CN(C)Cc2cccc3ccccc23)CC1,0.99468166,0.005318304,24,2,3,1
A2477_entry_00279_conf_01,CN(CCCc1ccccc1)Cc1cccc2ccccc12,0.9988857,0.001114322,22,2,3,1
A1947_entry_00063_conf_01,C=CCN(CC=C)Cc1nc2ccccc2n1Cc1ccc(Cl)cc1,0.99866235,0.00133764,25,2,3,1
A3174_entry_00034_conf_01,CN(Cc1ccc(C(F)(F)F)cc1)Cc1cccc2cccnc12,0.9997904,0.000209619,24,2,3,1
A3249_entry_00109_conf_01,CN(Cc1ccc(CCCO)cc1)Cc1cccc2ccccc12,0.99957234,0.00042762,24,2,3,1
A4451_entry_00055_conf_01,O[C@](CNCCc1ccccn1)(Cn1cncn1)c1ccc(F)cc1F,0.99868315,0.001316868,26,3,3,1
A3308_entry_00168_conf_01,COc1ccc(CC[C@@H](Cn2ccnc2)Sc2ccc(C)cc2)cc1,0.99347246,0.006527584,25,3,3,1
A5569_entry_00231_conf_01,COC1CCN(Cc2ccc(Cc3cc(c4cccnc4N)on3)cc2)CC1,0.99643624,0.003563755,28,4,4,1
A3214_entry_00074_conf_01,CN(Cc1ccc(CCN)cc1)Cc1cccc2ccccc12,0.99738127,0.002618666,23,2,3,1
A5574_entry_00236_conf_01,Nc1ncccc1c1cc(Cc2ccc(COCCN3CCCCC3)cc2)no1,0.99406505,0.005934956,29,4,4,1
A5565_entry_00227_conf_01,Nc1ncccc1c1cc(Cc2ccc(OCCN3CCCCC3)cc2)no1,0.9955051,0.004494911,28,4,4,1
A702_entry_00074_conf_01,Cc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(F)cc2Cl)cc1,0.9996911,0.000308932,24,3,3,1
A2569_entry_00057_conf_01,CN(CCc1ccccc1)Cc1cccc2ccccc12,0.99864787,0.001352179,21,2,3,1
A3206_entry_00066_conf_01,CN(Cc1ccc2ccccc2c1)Cc1ccccc1CO,0.99917173,0.000828272,22,2,3,1
A4532_entry_00136_conf_01,Cc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(F)cc2F)c(F)c1,0.9996333,0.000366636,25,3,3,1
A3204_entry_00064_conf_01,CC(C)N(Cc1ccc(C(=O)O)cc1)Cc1cccc2ccccc12,0.9989686,0.0010314,25,2,3,1
A2594_entry_00082_conf_01,CN(Cc1cccc2ccccc12)C[C@H](O)Cc1ccccc1,0.99929714,0.000702868,23,2,3,1
A2471_entry_00273_conf_01,CN(CCCc1cccc2ccccc12)Cc1ccccc1,0.99811745,0.001882556,22,2,3,1
A3129_entry_00303_conf_01,Fc1ccc(CS[C@@H](Cn2ccnc2)c2ccc(F)cc2)cc1,0.9998023,0.000197753,23,3,3,1
A4700_entry_00304_conf_01,C[C@H](O)CC/C=C/CN(C)Cc1cccc2ccccc12,0.99623114,0.003768842,21,1,2,1
