SN,Molecule,SMILES,ES,HS
1,A3244,CN(C)CCCOc1ccc(CN(C)Cc2cccc3ccccc23)cc1,0.9964161,0.003583846
2,A1732,CCCN(CCC)CCOC(=O)Cc1ccccc1c1ccccc1,0.99972016,0.000279807
3,A5576,Nc1ncccc1c1cc(Cc2ccc(COCCN3CCCC3)cc2)no1,0.99489367,0.005106311
4,A4678,CN1CCN(C/C=C/CN(C)Cc2cccc3ccccc23)CC1,0.9968573,0.003142756
5,A3201,CN(Cc1ccc(CCCN)cc1)Cc1cccc2ccccc12,0.9979734,0.002026574
6,A3121,OCCCc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(F)cc2Cl)cc1,0.9968262,0.0031739
7,A3250,CN(C)CCCN(Cc1ccccc1)Cc1cccc2ccccc12,0.99232787,0.007672131
8,A3213,COC(=O)CCc1ccc(CN(C)Cc2cccc3ccccc23)cc1,0.9996166,0.000383341
9,A3254,CN(C)Cc1ccc(CN(C)Cc2cccc3ccccc23)cc1,0.9965519,0.003448109
10,A3253,CN(Cc1ccc(CCCCN)cc1)Cc1cccc2ccccc12,0.9961842,0.003815777
11,A3266,CN(C)CCc1ccc(CN(C)Cc2cccc3ccccc23)cc1,0.99579525,0.004204726
12,A4449,O[C@](CN1CCN(Cc2cccs2)CC1)(Cn1cncn1)c1ccc(F)cc1F,0.9924435,0.007556436
13,A3181,CC(=O)N(C)Cc1ccc(CN(C)Cc2cccc3ccccc23)cc1,0.99949265,0.000507297
14,A3243,C[C@H](O)c1ccc(CN(C)Cc2cccc3ccccc23)cc1,0.99759763,0.002402372
15,A5586,COC(=O)CC1CCN(Cc2ccc(Cc3cc(c4cccnc4N)on3)cc2)CC1,0.998173,0.001826993
16,A3223,CN(C)CCOc1ccc(CN(C)Cc2cccc3ccccc23)cc1,0.9989017,0.001098234
17,A3210,CCN(Cc1ccc(C(=O)O)cc1)Cc1cccc2ccccc12,0.99966013,0.000339899
18,A2619,OCCc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,0.9977495,0.002250514
19,A4533,CCc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(F)cc2F)c(F)c1,0.99932754,0.00067253
20,A3228,CN(Cc1ccc(C(F)(F)F)cc1)Cc1ccnc2ccccc12,0.99979883,0.000201221
21,A4686,C[C@@H]1CCN(C/C=C/CN(C)Cc2cccc3ccccc23)CC1,0.99468166,0.005318304
22,A2477,CN(CCCc1ccccc1)Cc1cccc2ccccc12,0.9988857,0.001114322
23,A1947,C=CCN(CC=C)Cc1nc2ccccc2n1Cc1ccc(Cl)cc1,0.99866235,0.00133764
24,A3174,CN(Cc1ccc(C(F)(F)F)cc1)Cc1cccc2cccnc12,0.9997904,0.000209619
25,A3249,CN(Cc1ccc(CCCO)cc1)Cc1cccc2ccccc12,0.99957234,0.00042762
26,A4451,O[C@](CNCCc1ccccn1)(Cn1cncn1)c1ccc(F)cc1F,0.99868315,0.001316868
27,A3308,COc1ccc(CC[C@@H](Cn2ccnc2)Sc2ccc(C)cc2)cc1,0.99347246,0.006527584
28,A5569,COC1CCN(Cc2ccc(Cc3cc(c4cccnc4N)on3)cc2)CC1,0.99643624,0.003563755
29,A3214,CN(Cc1ccc(CCN)cc1)Cc1cccc2ccccc12,0.99738127,0.002618666
30,A5574,Nc1ncccc1c1cc(Cc2ccc(COCCN3CCCCC3)cc2)no1,0.99406505,0.005934956
31,A5565,Nc1ncccc1c1cc(Cc2ccc(OCCN3CCCCC3)cc2)no1,0.9955051,0.004494911
32,A702,Cc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(F)cc2Cl)cc1,0.9996911,0.000308932
33,A2569,CN(CCc1ccccc1)Cc1cccc2ccccc12,0.99864787,0.001352179
34,A3206,CN(Cc1ccc2ccccc2c1)Cc1ccccc1CO,0.99917173,0.000828272
35,A4532,Cc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(F)cc2F)c(F)c1,0.9996333,0.000366636
36,A3204,CC(C)N(Cc1ccc(C(=O)O)cc1)Cc1cccc2ccccc12,0.9989686,0.0010314
37,A2594,CN(Cc1cccc2ccccc12)C[C@H](O)Cc1ccccc1,0.99929714,0.000702868
38,A2471,CN(CCCc1cccc2ccccc12)Cc1ccccc1,0.99811745,0.001882556
39,A3129,Fc1ccc(CS[C@@H](Cn2ccnc2)c2ccc(F)cc2)cc1,0.9998023,0.000197753
40,A4700,C[C@H](O)CC/C=C/CN(C)Cc1cccc2ccccc12,0.99623114,0.003768842
41,A708,COc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(C)cc2Cl)cc1,0.99955326,0.000446698
42,A3183,CN(Cc1ccc(C(F)(F)F)cc1)Cc1cccc2cnccc12,0.9997687,0.000231363
43,A53,Fc1cc(C(F)(F)F)ccc1CO[C@@H](Cn1ccnc1)c1ccccc1,0.9989404,0.001059552
44,A3172,CCOc1cccc(CN(C)Cc2cccc3ccccc23)c1,0.9992262,0.000773728
45,A1832,CCCC[C@H](Oc1ccc(Cl)cc1Cl)C(=O)[C@H](Cn1ccnc1)N(C)C,0.9940606,0.005939385
46,A2633,Cc1ccc(CCO[C@H](Cn2ccnc2)c2ccc(F)cc2F)cc1,0.9993345,0.000665484
47,A3132,Fc1ccc(CS[C@@H](Cn2ccnc2)c2ccccc2F)cc1,0.9996537,0.000346261
48,A3234,CCCN(Cc1ccc(C(=O)O)cc1)Cc1cccc2ccccc12,0.99926263,0.000737411
49,A3336,Cc1ccc(O[C@H](CCc2ccc(Cl)cc2)Cn2ccnc2)cc1,0.9983966,0.001603365
50,A2512,CN(C)C/C=C/CN(C)Cc1cccc2ccccc12,0.9951787,0.004821322
51,A3153,CN(Cc1ccc(C(F)(F)F)cc1)Cc1cccc2ccncc12,0.9997732,0.000226805
52,A3155,Cc1ccccc1CN(C)Cc1cccc2ccccc12,0.9974492,0.002550724
53,A2567,CCN(C)C/C=C/CN(C)Cc1cccc2ccccc12,0.9936207,0.006379247
54,A1734,CCN(CC)CCOC(=O)c1cc(Br)ccc1OCc1ccccc1,0.9998491,0.000150878
55,A3267,CC(C)N(Cc1ccc(CO)cc1)Cc1cccc2ccccc12,0.9983524,0.001647601
56,A3231,COc1cc2ccccc2cc1CN(C)Cc1ccc(C)cc1,0.9974746,0.002525352
57,A3330,N#Cc1ccc(CO[C@H](CCc2ccc(Cl)cc2)Cn2ccnc2)cc1,0.9935939,0.006406176
58,A4718,CCCCNC/C=C/CN(C)Cc1cccc2ccccc12,0.99798906,0.002010902
59,A4723,C[C@H](O)C/C=C/CN(C)Cc1cccc2ccccc12,0.9978941,0.002105947
60,A3230,COc1ccc2ccccc2c1CN(C)Cc1ccc(C)cc1,0.9969791,0.003020891
61,A3232,CC(=O)c1ccc(CN(C)Cc2cccc3ccccc23)cc1,0.9994429,0.000557115
62,A3219,CC(=O)c1cccc(CN(C)Cc2cccc3ccccc23)c1,0.99939454,0.0006054
63,A3195,CN(Cc1ccc(CO)cc1)Cc1cccc2ccccc12,0.99898416,0.00101581
64,A3259,CN(Cc1ccc(CC#N)cc1)Cc1cccc2ccccc12,0.9994337,0.000566227
65,A3207,CN(Cc1cccc(CN)c1)Cc1cccc2ccccc12,0.99624336,0.003756604
66,A1635,CC(C)N(CCCN)CCOC(=O)c1ccc(c2ccccc2)cc1O,0.99792296,0.002077012
67,A3122,CCOC[C@@H](Cn1ccnc1)OCc1ccc(Sc2ccccc2)cc1,0.9989587,0.001041328
68,A1260,Clc1ccc(OCCCO[C@H](Cn2ccnc2)c2ccccc2)cc1,0.9980977,0.001902304
69,A4482,CC(C)N(Cc1ncn(C[C@](O)(Cn2cncn2)c2ccc(F)cc2F)n1)C(C)C,0.99731123,0.002688767
70,A1710,CCN(CC)CCOC(=O)c1ccccc1Cc1ccccc1,0.9996055,0.000394567
71,A3188,CN(Cc1cccc(CO)c1)Cc1cccc2ccccc12,0.9989235,0.001076496
72,A1638,CCCN(CCC)CCOC(=O)c1ccc(c2ccccc2)cc1OC,0.9997522,0.000247822
73,A3205,COC(=O)c1ccc(CN(C)Cc2ccc(C)c3ccccc23)cc1,0.99960333,0.000396656
74,A2596,CCN(Cc1ccccc1OC)Cc1cccc2ccccc12,0.9997545,0.000245473
75,A3295,Clc1ccc(CC[C@H](Cn2ccnc2)OCc2ccccc2)cc1,0.993598,0.006401979
76,A3255,CCOc1ccccc1CN(C)Cc1cccc2ccccc12,0.9993686,0.000631442
