Id,SMILES,Protein,Ligand,Heavy Atoms,Mol. weight [g/mol],Exp. Affinity,dG [kcal/mol] mean,dG [kcal/mol] std,Lig. Efficiency [kcal/mol] mean,Lig. Efficiency [kcal/mol] std,Pic50 mean,Pic50 std,Pkd mean,Pkd std
VOR_resultsFile,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,protein.pdb,VOR_resultsFile_processed.sdf,25,349.3159999999997,nan,-9.379365512302945,-0.5390311330174583,-0.3751746204921178,-0.021561245320698332,6.862973145076206,0.4617473891758904,6.94767815726144,0.3992823207536728
A3244_entry_00104_conf_01,CN(C)CCCOc1ccc(CN(C)Cc2cccc3ccccc23)cc1,protein.pdb,A3244_entry_00104_conf_01_processed.sdf,27,362.51699999999954,nan,-7.9966373511723114,-0.5015255782065369,-0.2961717537471226,-0.01857502141505692,5.80067457471575,0.2574861428573359,5.923435074942453,0.3715004283011384
A1732_entry_00162_conf_01,CCCN(CCC)CCOC(=O)Cc1ccccc1-c1ccccc1,protein.pdb,A1732_entry_00162_conf_01_processed.sdf,25,339.47899999999953,nan,-8.562187038149153,-0.6226832455207769,-0.34248748152596614,-0.024907329820831076,6.307683195386614,0.3918710241880435,6.342360768999372,0.4612468485339088
A5576_entry_00238_conf_01,Nc1ncccc1-c1cc(Cc2ccc(COCCN3CCCC3)cc2)no1,protein.pdb,A5576_entry_00238_conf_01_processed.sdf,28,378.4759999999996,nan,-9.542856236866543,-0.9271715943440496,-0.3408162941738051,-0.0331132712265732,6.986525808061872,0.538954522313685,7.068782397678921,0.6867937735881848
A4678_entry_00282_conf_01,CN1CCN(C/C=C/CN(C)Cc2cccc3ccccc23)CC1,protein.pdb,A4678_entry_00282_conf_01_processed.sdf,24,323.48399999999947,nan,-7.593157492365156,-1.1093224032498528,-0.3163815621818815,-0.0462217668020772,5.7556882585797995,0.6568344317736096,5.624561105455671,0.8217202987035945
A3201_entry_00061_conf_01,CN(Cc1ccc(CCCN)cc1)Cc1cccc2ccccc12,protein.pdb,A3201_entry_00061_conf_01_processed.sdf,24,318.46399999999954,nan,-7.291299452100482,-0.6779792879293632,-0.3038041438375201,-0.028249136997056803,5.404478822435651,0.37438663757779406,5.400962557111468,0.5022068799476764
A3121_entry_00295_conf_01,OCCCc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(F)cc2Cl)cc1,protein.pdb,A3121_entry_00295_conf_01_processed.sdf,27,388.86999999999966,nan,-10.075760436058045,-0.640223991550661,-0.37317631244659427,-0.02371199968706152,7.345460414886475,0.4886711040382756,7.463526248931885,0.4742399937412303
A3250_entry_00110_conf_01,CN(C)CCCN(Cc1ccccc1)Cc1cccc2ccccc12,protein.pdb,A3250_entry_00110_conf_01_processed.sdf,25,332.49099999999953,nan,-7.12058938571385,-0.7492795124621396,-0.284823575428554,-0.029971180498485586,5.110401970999582,0.4037976385916389,5.274510656084333,0.5550218610830664
A3213_entry_00073_conf_01,COC(=O)CCc1ccc(CN(C)Cc2cccc3ccccc23)cc1,protein.pdb,A3213_entry_00073_conf_01_processed.sdf,26,347.45799999999963,nan,-8.576460559027536,-0.5175549360156178,-0.3298638676549052,-0.01990595907752376,6.294330528804234,0.471185537898173,6.352933747427804,0.38337402667823534
A3254_entry_00114_conf_01,CN(C)Cc1ccc(CN(C)Cc2cccc3ccccc23)cc1,protein.pdb,A3254_entry_00114_conf_01_processed.sdf,24,318.46399999999954,nan,-7.448275535447257,-0.7432692887790825,-0.31034481397696906,-0.030969553699128436,5.562680244445801,0.4247312376940756,5.517241137368338,0.5505698435400611
A3253_entry_00113_conf_01,CN(Cc1ccc(CCCCN)cc1)Cc1cccc2ccccc12,protein.pdb,A3253_entry_00113_conf_01_processed.sdf,25,332.49099999999953,nan,-8.850131218773978,-0.6348619309902183,-0.3540052487509591,-0.02539447723960873,6.516851697649274,0.49999820165125874,6.555652754647391,0.4702680970297913
A3266_entry_00126_conf_01,CN(C)CCc1ccc(CN(C)Cc2cccc3ccccc23)cc1,protein.pdb,A3266_entry_00126_conf_01_processed.sdf,25,332.49099999999953,nan,-7.437378471238273,-0.5429465382166636,-0.29749513884953094,-0.021717861528666546,5.548560551234654,0.4547146612334526,5.509169237954276,0.40218262090123225
