SN,Ligand,SMILES,Absolute biding affinity
1,VOR,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,-9.379
2,A3244,CN(C)CCCOc1ccc(CN(C)Cc2cccc3ccccc23)cc1,-7.997
3,A1732,CCCN(CCC)CCOC(=O)Cc1ccccc1-c1ccccc1,-8.562
4,A5576,Nc1ncccc1-c1cc(Cc2ccc(COCCN3CCCC3)cc2)no1,-9.543
5,A4678,CN1CCN(C/C=C/CN(C)Cc2cccc3ccccc23)CC1,-7.593
6,A3201,CN(Cc1ccc(CCCN)cc1)Cc1cccc2ccccc12,-7.291
7,A3121,OCCCc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(F)cc2Cl)cc1,-10.076
8,A3250,CN(C)CCCN(Cc1ccccc1)Cc1cccc2ccccc12,-7.121
9,A3213,COC(=O)CCc1ccc(CN(C)Cc2cccc3ccccc23)cc1,-8.576
10,A3254,CN(C)Cc1ccc(CN(C)Cc2cccc3ccccc23)cc1,-7.448
11,A3253,CN(Cc1ccc(CCCCN)cc1)Cc1cccc2ccccc12,-8.850
12,A3266,CN(C)CCc1ccc(CN(C)Cc2cccc3ccccc23)cc1,-7.437
13,A4449,O[C@](CN1CCN(Cc2cccs2)CC1)(Cn1cncn1)c1ccc(F)cc1F,-9.994
14,A3181,CC(=O)N(C)Cc1ccc(CN(C)Cc2cccc3ccccc23)cc1,-7.552
15,A3243,C[C@H](O)c1ccc(CN(C)Cc2cccc3ccccc23)cc1,-8.225
16,A3223,CN(C)CCOc1ccc(CN(C)Cc2cccc3ccccc23)cc1,-8.786
17,A3210,CCN(Cc1ccc(C(=O)O)cc1)Cc1cccc2ccccc12,-9.184
18,A2619,OCCc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,-9.588
19,A4533,CCc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(F)cc2F)c(F)c1,-8.357
20,A3228,CN(Cc1ccc(C(F)(F)F)cc1)Cc1ccnc2ccccc12,-7.646
21,A4686,CC1CCN(C/C=C/CN(C)Cc2cccc3ccccc23)CC1,-7.229
22,A2477,CN(CCCc1ccccc1)Cc1cccc2ccccc12,-7.624
23,A1947,C=CCN(CC=C)Cc1nc2ccccc2n1Cc1ccc(Cl)cc1,-8.385
24,A3174,CN(Cc1ccc(C(F)(F)F)cc1)Cc1cccc2cccnc12,-7.390
25,A3249,CN(Cc1ccc(CCCO)cc1)Cc1cccc2ccccc12,-7.301
26,A4451,O[C@](CNCCc1ccccn1)(Cn1cncn1)c1ccc(F)cc1F,-9.136
27,A3308,COc1ccc(CC[C@@H](Cn2ccnc2)Sc2ccc(C)cc2)cc1,-8.525
28,A3214,CN(Cc1ccc(CCN)cc1)Cc1cccc2ccccc12,-8.011
29,A5574,Nc1ncccc1-c1cc(Cc2ccc(COCCN3CCCCC3)cc2)no1,-11.192
30,A5565,Nc1ncccc1-c1cc(Cc2ccc(OCCN3CCCCC3)cc2)no1,-9.388
