Time/Residue,AFR1_R1.xvg,AFR1_R2.xvg,Average
0,0.000492,0.0004982,0.0004951
0.01,0.0900119,0.0826582,0.08633505
0.02,0.09357,0.0936364,0.0936032
0.03,0.100997,0.1063044,0.1036507
0.04,0.09942,0.1238999,0.11165995
0.05,0.0955735,0.1311026,0.11333805
0.06,0.1046088,0.1170153,0.11081205
0.07,0.1123343,0.1212517,0.116793
0.08,0.1180001,0.1204037,0.1192019
0.09,0.1163047,0.1217655,0.1190351
0.1,0.1152368,0.1160072,0.115622
0.11,0.1252647,0.1218853,0.123575
0.12,0.1279986,0.1262048,0.1271017
0.13,0.1271202,0.1334047,0.13026245
0.14,0.1133224,0.1413172,0.1273198
0.15,0.1122077,0.13264,0.12242385
0.16,0.098382,0.1427905,0.12058625
0.17,0.1239342,0.1358608,0.1298975
0.18,0.1184855,0.1478569,0.1331712
0.19,0.1128924,0.1527348,0.1328136
0.2,0.1099247,0.1356808,0.12280275
0.21,0.1239861,0.1377992,0.13089265
0.22,0.1245792,0.1347988,0.129689
0.23,0.119668,0.1347694,0.1272187
0.24,0.1186591,0.1422942,0.13047665
0.25,0.1327181,0.1376805,0.1351993
0.26,0.1189797,0.1450409,0.1320103
0.27,0.124591,0.1513324,0.1379617
0.28,0.1172845,0.1516079,0.1344462
0.29,0.1249179,0.1659752,0.14544655
0.3,0.1183467,0.1579009,0.1381238
0.31,0.1327728,0.1582059,0.14548935
0.32,0.1241686,0.1597522,0.1419604
0.33,0.1264832,0.1437718,0.1351275
0.34,0.121633,0.1376534,0.1296432
0.35,0.126399,0.1337671,0.13008305
0.36,0.130618,0.1372713,0.13394465
0.37,0.1302975,0.1325404,0.13141895
0.38,0.1318554,0.140022,0.1359387
0.39,0.1205524,0.1315317,0.12604205
0.4,0.1251705,0.1382548,0.13171265
0.41,0.1318658,0.128942,0.1304039
0.42,0.1258607,0.1319941,0.1289274
0.43,0.1233506,0.1298523,0.12660145
0.44,0.1274387,0.1269678,0.12720325
0.45,0.1308306,0.1312179,0.13102425
0.46,0.1445428,0.1316192,0.138081
0.47,0.128293,0.1310351,0.12966405
0.48,0.1318319,0.1240809,0.1279564
0.49,0.1283694,0.1282489,0.12830915
0.5,0.1246025,0.13827,0.13143625
0.5100001,0.1318767,0.1366521,0.1342644
0.52,0.1296621,0.1409864,0.13532425
0.53,0.1346963,0.1431705,0.1389334
0.54,0.1270864,0.1414851,0.13428575
0.55,0.1336211,0.1410545,0.1373378
0.56,0.1353751,0.1528061,0.1440906
0.5700001,0.1345152,0.1533151,0.14391515
0.58,0.1465972,0.1516,0.1490986
0.59,0.1445952,0.1600264,0.1523108
0.6,0.1544045,0.165227,0.15981575
0.61,0.1387131,0.1517694,0.14524125
0.62,0.1547673,0.1502497,0.1525085
0.6300001,0.1545009,0.1592162,0.15685855
0.64,0.1505242,0.151067,0.1507956
0.65,0.1508158,0.1494354,0.1501256
0.66,0.1373591,0.1460056,0.14168235
0.67,0.1470274,0.141349,0.1441882
0.68,0.1403262,0.1475253,0.14392575
0.6900001,0.1411021,0.1542265,0.1476643
0.7,0.1433194,0.1466075,0.14496345
0.71,0.146898,0.1522209,0.14955945
0.72,0.1448413,0.1685292,0.15668525
0.73,0.143343,0.1512731,0.14730805
0.74,0.1433028,0.1587852,0.151044
0.7500001,0.153313,0.1593416,0.1563273
0.7600001,0.1503598,0.1595591,0.15495945
0.77,0.1464296,0.1566011,0.15151535
0.78,0.1482951,0.1580409,0.153168
0.79,0.1489893,0.1627768,0.15588305
0.8,0.1498585,0.1586382,0.15424835
0.8100001,0.137604,0.1639378,0.1507709
0.8200001,0.1508724,0.156016,0.1534442
0.83,0.1496819,0.155918,0.15279995
0.84,0.1424922,0.1596392,0.1510657
0.85,0.1461204,0.1521051,0.14911275
0.86,0.1605155,0.1463904,0.15345295
0.8700001,0.1475973,0.1474492,0.14752325
0.8800001,0.1455225,0.1527238,0.14912315
0.89,0.1446285,0.1458926,0.14526055
0.9,0.1573199,0.1521333,0.1547266
0.91,0.1449199,0.1473215,0.1461207
0.92,0.1534001,0.151167,0.15228355
0.9300001,0.1626959,0.1509488,0.15682235
0.9400001,0.1561519,0.1457643,0.1509581
0.95,0.149778,0.1590604,0.1544192
0.96,0.1733719,0.1644604,0.16891615
0.97,0.138981,0.1628251,0.15090305
0.98,0.1526604,0.1522406,0.1524505
0.9900001,0.1550033,0.1470014,0.15100235
1,0.1556769,0.149217,0.15244695
1.01,0.1638724,0.1630879,0.16348015
1.0200001,0.1727943,0.1614739,0.1671341
1.0300001,0.1677975,0.1492827,0.1585401
1.0400001,0.1612413,0.149589,0.15541515
1.0500001,0.1618815,0.1546963,0.1582889
1.0600001,0.157577,0.153602,0.1555895
1.0700001,0.1559251,0.1529974,0.15446125
1.08,0.1544086,0.1573315,0.15587005
1.09,0.1548004,0.1465813,0.15069085
1.1,0.1475325,0.1536587,0.1505956
1.11,0.1463926,0.1549705,0.15068155
1.12,0.1497832,0.1496465,0.14971485
1.13,0.1492691,0.1594243,0.1543467
1.1400001,0.142198,0.1565917,0.14939485
1.1500001,0.1442661,0.1509272,0.14759665
1.1600001,0.1577035,0.167507,0.16260525
1.1700001,0.1565635,0.1707804,0.16367195
1.1800001,0.1547124,0.1576708,0.1561916
1.1900001,0.1462796,0.1667788,0.1565292
1.2,0.1586966,0.153155,0.1559258
1.21,0.1617968,0.1532608,0.1575288
1.22,0.1567991,0.1385997,0.1476994
1.23,0.1603947,0.147575,0.15398485
1.24,0.1579582,0.1599015,0.15892985
1.25,0.1494799,0.1516599,0.1505699
1.2600001,0.1570327,0.149874,0.15345335
