Time/Residue,AFR1_R1.xvg,AFR1_R2.xvg,Average
0,0.0005139,0.0005132,0.00051355
0.01,0.0763811,0.0481227,0.0622519
0.02,0.0910131,0.0872491,0.0891311
0.03,0.0937603,0.0757949,0.0847776
0.04,0.1237274,0.084981,0.1043542
0.05,0.1211946,0.0788986,0.1000466
0.06,0.1516358,0.0703852,0.1110105
0.07,0.158597,0.0994901,0.12904355
0.08,0.1881609,0.0796082,0.13388455
0.09,0.1877134,0.0758291,0.13177125
0.1,0.136626,0.0907013,0.11366365
0.11,0.1472547,0.0935714,0.12041305
0.12,0.1428785,0.0938049,0.1183417
0.13,0.1609544,0.0951707,0.12806255
0.14,0.1638774,0.0956834,0.1297804
0.15,0.1523466,0.0874392,0.1198929
0.16,0.147989,0.1088759,0.12843245
0.17,0.2000914,0.1332472,0.1666693
0.18,0.1528841,0.1078787,0.1303814
0.19,0.1562613,0.1131026,0.13468195
0.2,0.1697944,0.1019259,0.13586015
0.21,0.1689566,0.1083419,0.13864925
0.22,0.1805716,0.1050767,0.14282415
0.23,0.1910846,0.1127227,0.15190365
0.24,0.2044931,0.1206775,0.1625853
0.25,0.2557374,0.1085197,0.18212855
0.26,0.2444426,0.1017096,0.1730761
0.27,0.2412948,0.106704,0.1739994
0.28,0.2141753,0.1049381,0.1595567
0.29,0.2209276,0.1070593,0.16399345
0.3,0.2354377,0.1155122,0.17547495
0.31,0.2371696,0.1096806,0.1734251
0.32,0.2294307,0.1072591,0.1683449
0.33,0.2123769,0.1188498,0.16561335
0.34,0.2365186,0.1117018,0.1741102
0.35,0.2269934,0.1179966,0.172495
0.36,0.2265846,0.1265422,0.1765634
0.37,0.2162831,0.1059234,0.16110325
0.38,0.2224821,0.109816,0.16614905
0.39,0.2244423,0.1050186,0.16473045
0.4,0.2220919,0.1095648,0.16582835
0.41,0.2139914,0.1020019,0.15799665
0.42,0.2258455,0.118462,0.17215375
0.43,0.1943397,0.1081849,0.1512623
0.44,0.2141838,0.1056523,0.15991805
0.45,0.2353902,0.1089253,0.17215775
0.46,0.2073723,0.1036814,0.15552685
0.47,0.196789,0.1046247,0.15070685
0.48,0.2170901,0.1129083,0.1649992
0.49,0.2200598,0.1019723,0.16101605
0.5,0.223053,0.1056732,0.1643631
0.5100001,0.2371757,0.107498,0.17233685
0.52,0.2066659,0.0952754,0.15097065
0.53,0.2359695,0.1037745,0.169872
0.54,0.2367187,0.1150066,0.17586265
0.55,0.2013643,0.1025684,0.15196635
0.56,0.2319573,0.1019239,0.1669406
0.5700001,0.2631022,0.1095652,0.1863337
0.58,0.2245297,0.110497,0.16751335
0.59,0.2018882,0.103615,0.1527516
0.6,0.2485052,0.1178336,0.1831694
0.61,0.2461109,0.1084644,0.17728765
0.62,0.2364393,0.1160002,0.17621975
0.6300001,0.2503974,0.1146825,0.18253995
0.64,0.232388,0.1079856,0.1701868
0.65,0.2455267,0.1179516,0.18173915
0.66,0.2379029,0.1079253,0.1729141
0.67,0.2452442,0.1082495,0.17674685
0.68,0.2270945,0.1014588,0.16427665
0.6900001,0.2285286,0.135812,0.1821703
0.7,0.2550931,0.1180331,0.1865631
0.71,0.2305464,0.1102213,0.17038385
0.72,0.2398123,0.1158091,0.1778107
0.73,0.2527287,0.1231279,0.1879283
0.74,0.2547989,0.1054949,0.1801469
0.7500001,0.2372366,0.1255715,0.18140405
0.7600001,0.2414078,0.1114035,0.17640565
0.77,0.2114808,0.1109111,0.16119595
0.78,0.2183139,0.128006,0.17315995
0.79,0.2740644,0.1122442,0.1931543
0.8,0.2534751,0.1333856,0.19343035
0.8100001,0.2413821,0.1237013,0.1825417
0.8200001,0.2407188,0.1200997,0.18040925
0.83,0.2387532,0.0941933,0.16647325
0.84,0.2411814,0.0990671,0.17012425
0.85,0.2408099,0.0969978,0.16890385
0.86,0.265604,0.1002765,0.18294025
0.8700001,0.2404482,0.1120196,0.1762339
0.8800001,0.2663942,0.1061972,0.1862957
0.89,0.2644598,0.1170856,0.1907727
0.9,0.2190634,0.1201015,0.16958245
0.91,0.2486685,0.1075934,0.17813095
0.92,0.241844,0.1058466,0.1738453
0.9300001,0.2546723,0.119638,0.18715515
0.9400001,0.2189418,0.1035565,0.16124915
0.95,0.2381859,0.1038178,0.17100185
0.96,0.2519244,0.1155288,0.1837266
0.97,0.2045363,0.1002978,0.15241705
0.98,0.2292016,0.1173632,0.1732824
0.9900001,0.2417942,0.1071549,0.17447455
1,0.2509097,0.1168736,0.18389165
1.01,0.2315685,0.1082676,0.16991805
1.0200001,0.2363185,0.1147282,0.17552335
1.0300001,0.256561,0.1102938,0.1834274
1.0400001,0.2463896,0.0969758,0.1716827
1.0500001,0.2576534,0.1099279,0.18379065
1.0600001,0.2244479,0.1141795,0.1693137
1.0700001,0.2404554,0.1042813,0.17236835
1.08,0.2325114,0.1190988,0.1758051
1.09,0.2631644,0.1039921,0.18357825
1.1,0.2522521,0.0948467,0.1735494
1.11,0.2297433,0.1116932,0.17071825
1.12,0.2335787,0.1173129,0.1754458
1.13,0.2352827,0.1079089,0.1715958
1.1400001,0.2363073,0.1179127,0.17711
1.1500001,0.2473548,0.0995608,0.1734578
1.1600001,0.2456763,0.1096804,0.17767835
1.1700001,0.27087,0.119305,0.1950875
1.1800001,0.2521717,0.1134779,0.1828248
1.1900001,0.2377393,0.1201392,0.17893925
1.2,0.2590541,0.1262828,0.19266845
1.21,0.2524606,0.1130014,0.182731
1.22,0.2395216,0.1133808,0.1764512
1.23,0.2542562,0.0973213,0.17578875
1.24,0.2419682,0.1101619,0.17606505
1.25,0.2556056,0.1163756,0.1859906
1.2600001,0.247075,0.1124864,0.1797807
1.2700001,0.2476505,0.1039033,0.1757769
1.2800001,0.2847661,0.1096881,0.1972271
1.2900001,0.2595023,0.1212275,0.1903649
1.3000001,0.2611981,0.1233667,0.1922824
1.3100001,0.2525152,0.1076264,0.1800708
1.3200001,0.2745577,0.1074848,0.19102125
1.33,0.2612917,0.1156978,0.18849475
1.34,0.2736629,0.1173609,0.1955119
1.35,0.2345542,0.1155168,0.1750355
1.36,0.2786902,0.1016549,0.19017255
1.3700001,0.2498079,0.1060362,0.17792205
1.3800001,0.2357737,0.1169186,0.17634615
1.3900001,0.2520417,0.1353921,0.1937169
1.4000001,0.2719072,0.1131656,0.1925364
1.4100001,0.2655494,0.1204059,0.19297765
1.4200001,0.2582746,0.116517,0.1873958
1.4300001,0.2317291,0.1263727,0.1790509
1.4400001,0.2463157,0.1125448,0.17943025
1.45,0.2392609,0.1277253,0.1834931
1.46,0.2433388,0.1109701,0.17715445
1.47,0.2406856,0.117099,0.1788923
1.48,0.246206,0.1146406,0.1804233
1.4900001,0.2410387,0.1344142,0.18772645
1.5000001,0.2458099,0.1199742,0.18289205
1.5100001,0.2733202,0.1171524,0.1952363
1.5200001,0.2466079,0.1449159,0.1957619
1.5300001,0.2367112,0.1229409,0.17982605
1.5400001,0.2579561,0.1310938,0.19452495
1.5500001,0.2605555,0.1119498,0.18625265
1.5600001,0.2154072,0.1265655,0.17098635
1.5700001,0.2596481,0.1237238,0.19168595
1.58,0.249457,0.1056462,0.1775516
1.59,0.2695871,0.1168287,0.1932079
1.6,0.2629456,0.1153389,0.18914225
1.6100001,0.2537108,0.1367067,0.19520875
1.6200001,0.2446552,0.1292498,0.1869525
1.6300001,0.2548617,0.1298041,0.1923329
1.6400001,0.242357,0.1321178,0.1872374
1.6500001,0.2335035,0.1363418,0.18492265
1.6600001,0.2215865,0.1174892,0.16953785
1.6700001,0.2278012,0.1164994,0.1721503
1.6800001,0.2057261,0.1202522,0.16298915
1.6900001,0.2236089,0.115895,0.16975195
1.7,0.2520103,0.1204141,0.1862122
1.71,0.2308365,0.1389832,0.18490985
1.72,0.2469902,0.1309822,0.1889862
1.7300001,0.2251737,0.1218405,0.1735071
1.7400001,0.2382911,0.1210181,0.1796546
1.7500001,0.2321023,0.1318238,0.18196305
