Time/Residue,AFR2_R1.xvg,AFR2_R2.xvg
0.0,0.0005003,0.000507
0.01,0.0899278,0.0838331
0.02,0.0961505,0.0905127
0.03,0.1076317,0.0987195
0.04,0.1047383,0.1181251
0.05,0.116379,0.1107304
0.06,0.1058262,0.1054392
0.07,0.1106595,0.1092886
0.08,0.1100487,0.1050842
0.09,0.112329,0.1070056
0.1,0.1254189,0.1104234
0.11,0.1187881,0.1165332
0.12,0.1299499,0.1157855
0.13,0.1171434,0.1358951
0.14,0.1129729,0.1422865
0.15,0.1164615,0.1316242
0.16,0.1165656,0.1419969
0.17,0.1147174,0.1332094
0.18,0.1175725,0.1423405
0.19,0.1262213,0.133954
0.2,0.1182321,0.1322145
0.21,0.1225373,0.1220016
0.22,0.1162127,0.1376321
0.23,0.1316621,0.1419188
0.24,0.1232377,0.1360688
0.25,0.1178716,0.1390276
0.26,0.1275237,0.1470218
0.27,0.1290228,0.1361011
0.28,0.1265489,0.1355712
0.29,0.1260983,0.1382339
0.3,0.1239815,0.1489852
0.31,0.1228672,0.1345503
0.32,0.1352245,0.132474
0.33,0.1326538,0.1383154
0.34,0.1346243,0.1407788
0.35,0.129142,0.1484374
0.36,0.1262737,0.1428081
0.37,0.1318463,0.1417482
0.38,0.1260289,0.142354
0.39,0.1373164,0.1495668
0.4,0.1337089,0.1525669
0.41,0.134312,0.1369462
0.42,0.1319232,0.1409162
0.43,0.1320579,0.1465618
0.44,0.130574,0.1500115
0.45,0.1319226,0.1514947
0.46,0.1392164,0.1529297
0.47,0.1295562,0.1469902
0.48,0.1188805,0.1448768
0.49,0.1225298,0.1491083
0.5,0.1345196,0.1489886
0.5100001,0.1347333,0.1503081
0.52,0.1405612,0.1436852
0.53,0.1340736,0.1552866
0.54,0.1358718,0.1537785
0.55,0.1327046,0.1587928
0.56,0.130442,0.1648514
0.5700001,0.1224254,0.1640248
0.58,0.1237358,0.1507924
0.59,0.1281062,0.1446829
0.6,0.1278898,0.1450233
0.61,0.129642,0.150847
0.62,0.1297206,0.1439335
0.6300001,0.1354282,0.1451298
0.64,0.1421074,0.1371651
0.65,0.1414093,0.1313528
0.66,0.1470549,0.1452213
0.67,0.1443653,0.1486181
0.68,0.1405842,0.1486407
0.6900001,0.141334,0.1419065
0.7,0.136545,0.1365792
0.71,0.1371221,0.1397087
0.72,0.1372896,0.1463299
0.73,0.1370522,0.1357093
0.74,0.1331929,0.1367404
0.7500001,0.1383584,0.1384996
0.7600001,0.1344386,0.1347931
0.77,0.1382485,0.1393514
0.78,0.136824,0.145872
0.79,0.1413992,0.135202
0.8,0.1304284,0.1422673
0.8100001,0.1296858,0.1458897
0.8200001,0.1358938,0.1529854
0.83,0.1368027,0.1535431
0.84,0.1400265,0.1404382
0.85,0.1342535,0.1466627
0.86,0.1368586,0.1416706
0.8700001,0.1352437,0.1453317
0.8800001,0.1393699,0.1526165
0.89,0.1521327,0.1437044
0.9,0.1341634,0.1366276
0.91,0.1410553,0.1429577
0.92,0.1466503,0.156645
0.9300001,0.1441152,0.1573357
0.9400001,0.1405665,0.1642035
0.95,0.1308841,0.1588131
0.96,0.122905,0.1572372
0.97,0.1328703,0.1565313
0.98,0.1277359,0.1525519
0.9900001,0.1370186,0.1674128
1.0,0.1391952,0.1598691
1.01,0.1356442,0.155076
1.0200001,0.140109,0.1556789
