Time/Residue,AFR2_R1.xvg,AFR2_R2.xvg
0.0,5.0,6.0
0.01,4.0,3.0
0.02,5.0,3.0
0.03,5.0,2.0
0.04,4.0,2.0
0.05,6.0,4.0
0.06,7.0,4.0
0.07,8.0,1.0
0.08,6.0,3.0
0.09,6.0,4.0
0.1,6.0,4.0
0.11,8.0,4.0
0.12,8.0,4.0
0.13,7.0,3.0
0.14,7.0,3.0
0.15,7.0,3.0
0.16,7.0,3.0
0.17,7.0,3.0
0.18,7.0,4.0
0.19,7.0,3.0
0.2,6.0,3.0
0.21,6.0,3.0
0.22,7.0,2.0
0.23,5.0,2.0
0.24,7.0,2.0
0.25,7.0,3.0
0.26,6.0,1.0
0.27,6.0,2.0
0.28,8.0,1.0
0.29,7.0,2.0
0.3,7.0,3.0
0.31,7.0,3.0
0.32,6.0,3.0
0.33,8.0,3.0
0.34,7.0,2.0
0.35,7.0,3.0
0.36,8.0,3.0
0.37,8.0,2.0
0.38,6.0,3.0
0.39,7.0,3.0
0.4,5.0,3.0
0.41,7.0,2.0
0.42,6.0,2.0
0.43,5.0,2.0
0.44,5.0,2.0
0.45,6.0,2.0
0.46,6.0,3.0
0.47,8.0,2.0
0.48,5.0,2.0
0.49,8.0,2.0
0.5,7.0,3.0
0.51,7.0,2.0
0.52,7.0,2.0
0.53,8.0,2.0
0.54,8.0,2.0
0.55,8.0,3.0
0.56,7.0,2.0
0.57,7.0,2.0
0.58,8.0,3.0
0.59,6.0,3.0
0.6,7.0,2.0
0.61,6.0,3.0
0.62,5.0,2.0
0.63,8.0,2.0
0.64,4.0,2.0
0.65,6.0,2.0
0.66,6.0,2.0
0.67,5.0,2.0
0.68,5.0,2.0
0.69,6.0,2.0
0.7,6.0,2.0
0.71,6.0,2.0
0.72,8.0,3.0
0.73,8.0,2.0
0.74,6.0,3.0
0.75,8.0,2.0
0.76,8.0,2.0
0.77,8.0,2.0
0.78,7.0,2.0
0.79,6.0,2.0
0.8,6.0,2.0
0.81,8.0,2.0
0.82,6.0,2.0
0.83,6.0,2.0
0.84,7.0,1.0
0.85,8.0,3.0
0.86,7.0,2.0
0.87,5.0,3.0
0.88,6.0,3.0
0.89,7.0,2.0
0.9,7.0,2.0
0.91,6.0,2.0
0.92,8.0,2.0
0.93,7.0,2.0
0.94,6.0,2.0
0.95,7.0,2.0
0.96,7.0,2.0
0.97,8.0,2.0
0.98,5.0,3.0
0.99,7.0,2.0
1.0,6.0,2.0
1.01,7.0,2.0
1.02,5.0,2.0
1.03,7.0,0.0
1.04,7.0,1.0
1.05,8.0,2.0
1.06,7.0,2.0
1.07,6.0,2.0
1.08,6.0,2.0
1.09,7.0,2.0
1.1,6.0,2.0
1.11,6.0,2.0
1.12,7.0,2.0
1.13,6.0,2.0
1.14,7.0,2.0
1.15,8.0,2.0
1.16,6.0,2.0
1.17,5.0,2.0
1.18,7.0,2.0
1.19,8.0,3.0
1.2,6.0,2.0
1.21,7.0,2.0
1.22,7.0,2.0
1.23,5.0,2.0
1.24,6.0,2.0
1.25,6.0,2.0
1.26,6.0,2.0
1.27,6.0,2.0
1.28,6.0,2.0
1.29,6.0,3.0
1.3,6.0,2.0
1.31,7.0,2.0
1.32,7.0,2.0
1.33,4.0,2.0
1.34,6.0,2.0
1.35,7.0,3.0
1.36,6.0,2.0
1.37,7.0,3.0
1.38,7.0,2.0
1.39,4.0,2.0
1.4,9.0,3.0
1.41,5.0,2.0
1.42,8.0,2.0
1.43,8.0,2.0
1.44,7.0,1.0
1.45,7.0,2.0
1.46,7.0,2.0
1.47,7.0,3.0
1.48,6.0,3.0
1.49,7.0,3.0
1.5,5.0,3.0
1.51,6.0,3.0
1.52,7.0,2.0
1.53,6.0,2.0
1.54,8.0,2.0
1.55,7.0,2.0
1.56,6.0,3.0
1.57,8.0,2.0
1.58,5.0,3.0
1.59,8.0,3.0
1.6,7.0,3.0
1.61,8.0,3.0
1.62,8.0,4.0
1.63,7.0,2.0
1.64,7.0,3.0
1.65,5.0,3.0
1.66,7.0,4.0
1.67,8.0,3.0
1.68,6.0,3.0
1.69,5.0,4.0
1.7,8.0,3.0
1.71,7.0,2.0
1.72,7.0,3.0
1.73,7.0,4.0
1.74,6.0,3.0
1.75,8.0,3.0
1.76,7.0,2.0
1.77,6.0,1.0
1.78,7.0,3.0
1.79,7.0,2.0
1.8,6.0,3.0
1.81,5.0,2.0
1.82,7.0,3.0
1.83,7.0,3.0
1.84,7.0,3.0
1.85,6.0,2.0
1.86,6.0,1.0
1.87,6.0,3.0
1.88,5.0,2.0
1.89,7.0,2.0
1.9,7.0,3.0
1.91,7.0,3.0
1.92,7.0,3.0
