Time/Residue,AFR2_R1.xvg,AFR2_R2.xvg
0.0,5.0,6.0
1e-08,4.0,3.0
2e-08,5.0,3.0
3e-08,5.0,2.0
4e-08,4.0,2.0
5.0000000000000004e-08,6.0,4.0
6e-08,7.0,4.0
7e-08,8.0,1.0
8e-08,6.0,3.0
9e-08,6.0,4.0
1.0000000000000001e-07,6.0,4.0
1.1e-07,8.0,4.0
1.2e-07,8.0,4.0
1.3000000000000003e-07,7.0,3.0
1.4e-07,7.0,3.0
1.5e-07,7.0,3.0
1.6e-07,7.0,3.0
1.7000000000000001e-07,7.0,3.0
1.8e-07,7.0,4.0
1.9e-07,7.0,3.0
2.0000000000000002e-07,6.0,3.0
2.0999999999999997e-07,6.0,3.0
2.2e-07,7.0,2.0
2.3e-07,5.0,2.0
2.4e-07,7.0,2.0
2.5e-07,7.0,3.0
2.6000000000000005e-07,6.0,1.0
2.7e-07,6.0,2.0
2.8e-07,8.0,1.0
2.9e-07,7.0,2.0
3e-07,7.0,3.0
3.1e-07,7.0,3.0
3.2e-07,6.0,3.0
3.3e-07,8.0,3.0
3.4000000000000003e-07,7.0,2.0
3.5e-07,7.0,3.0
3.6e-07,8.0,3.0
3.7e-07,8.0,2.0
3.8e-07,6.0,3.0
3.8999999999999997e-07,7.0,3.0
4.0000000000000003e-07,5.0,3.0
4.1e-07,7.0,2.0
4.1999999999999995e-07,6.0,2.0
4.3e-07,5.0,2.0
4.4e-07,5.0,2.0
4.5e-07,6.0,2.0
4.6e-07,6.0,3.0
4.7e-07,8.0,2.0
4.8e-07,5.0,2.0
4.9e-07,8.0,2.0
5e-07,7.0,3.0
5.1e-07,7.0,2.0
5.200000000000001e-07,7.0,2.0
5.3e-07,8.0,2.0
5.4e-07,8.0,2.0
5.5e-07,8.0,3.0
5.6e-07,7.0,2.0
5.699999999999999e-07,7.0,2.0
5.8e-07,8.0,3.0
5.9e-07,6.0,3.0
6e-07,7.0,2.0
6.1e-07,6.0,3.0
6.2e-07,5.0,2.0
6.3e-07,8.0,2.0
6.4e-07,4.0,2.0
6.499999999999999e-07,6.0,2.0
6.6e-07,6.0,2.0
6.7e-07,5.0,2.0
6.800000000000001e-07,5.0,2.0
6.9e-07,6.0,2.0
7e-07,6.0,2.0
7.099999999999999e-07,6.0,2.0
7.2e-07,8.0,3.0
7.3e-07,8.0,2.0
7.4e-07,6.0,3.0
7.5e-07,8.0,2.0
7.6e-07,8.0,2.0
7.7e-07,8.0,2.0
