Time/Residue,AFR2_R1.xvg,AFR2_R2.xvg,Average
0.0,0.0004861,0.0005143,0.0005002
0.01,0.1152114,0.0451979,0.08020465
0.02,0.0965383,0.0564851,0.0765117
0.03,0.1272693,0.0538029,0.0905361
0.04,0.1185111,0.0698698,0.09419045
0.05,0.1116697,0.0529473,0.0823085
0.06,0.1302122,0.0741524,0.1021823
0.07,0.1070165,0.0763177,0.0916671
0.08,0.112634,0.0770208,0.0948274
0.09,0.1222767,0.0727171,0.0974969
0.1,0.1170286,0.0667324,0.0918805
0.11,0.11582,0.0755775,0.09569875
0.12,0.1338694,0.0771231,0.10549625
0.13,0.1024534,0.0854224,0.0939379
0.14,0.1161787,0.0858893,0.101034
0.15,0.1047432,0.0957284,0.1002358
0.16,0.1028158,0.0930465,0.09793115
0.17,0.109783,0.0923357,0.10105935
0.18,0.10905,0.0923247,0.10068735
0.19,0.1160854,0.0983109,0.10719815
0.2,0.0975891,0.0881817,0.0928854
0.21,0.1117544,0.0828779,0.09731615
0.22,0.1057332,0.087066,0.0963996
0.23,0.1172107,0.0868063,0.1020085
0.24,0.0883353,0.0782216,0.08327845
0.25,0.1147154,0.0820886,0.098402
0.26,0.1228143,0.0825529,0.1026836
0.27,0.122527,0.083811,0.103169
0.28,0.1202473,0.087349,0.10379815
0.29,0.1239369,0.0842197,0.1040783
0.3,0.1201012,0.063709,0.0919051
0.31,0.1165102,0.1063205,0.11141535
0.32,0.1084051,0.1106328,0.10951895
0.33,0.1041449,0.1253046,0.11472475
0.34,0.1288563,0.1199133,0.1243848
0.35,0.1212018,0.1276814,0.1244416
0.36,0.1103566,0.1240551,0.11720585
0.37,0.1121803,0.1099494,0.11106485
0.38,0.1171193,0.1234014,0.12026035
0.39,0.1094409,0.1268895,0.1181652
0.4,0.1085244,0.1069005,0.10771245
0.41,0.1140207,0.1117414,0.11288105
0.42,0.1064681,0.1055555,0.1060118
0.43,0.1050726,0.1061627,0.10561765
0.44,0.1170874,0.1100846,0.113586
0.45,0.1178577,0.1135431,0.1157004
0.46,0.1177252,0.1207331,0.11922915
0.47,0.1056481,0.083456,0.09455205
0.48,0.0870059,0.083975,0.08549045
0.49,0.0963403,0.0802057,0.088273
0.5,0.0986763,0.087466,0.09307115
0.5100001,0.1236214,0.0732047,0.09841305
0.52,0.1116386,0.0841122,0.0978754
0.53,0.1102001,0.0915913,0.1008957
0.54,0.1108388,0.1184947,0.11466675
0.55,0.1029258,0.1275689,0.11524735
0.56,0.1027002,0.1039084,0.1033043
0.5700001,0.0952326,0.1042735,0.09975305
0.58,0.1012369,0.1182116,0.10972425
0.59,0.1063017,0.1261374,0.11621955
0.6,0.1065202,0.1210534,0.1137868
0.61,0.1004885,0.1121066,0.10629755
0.62,0.0995009,0.1376593,0.1185801
0.6300001,0.0941202,0.1240762,0.1090982
0.64,0.1155122,0.1148991,0.11520565
0.65,0.1024923,0.0910591,0.0967757
0.66,0.0869882,0.0908942,0.0889412
0.67,0.1040141,0.0883361,0.0961751
0.68,0.087786,0.0834689,0.08562745
0.6900001,0.0972541,0.0955741,0.0964141
0.7,0.0987325,0.0952663,0.0969994
0.71,0.1006016,0.0947055,0.09765355
0.72,0.1006612,0.094417,0.0975391
0.73,0.0965838,0.0769535,0.08676865
0.74,0.1025262,0.0917859,0.09715605
0.7500001,0.1027841,0.0782351,0.0905096
0.7600001,0.0846919,0.0807254,0.08270865
0.77,0.098823,0.0824647,0.09064385
0.78,0.0921794,0.079376,0.0857777
0.79,0.0802358,0.0808473,0.08054155
0.8,0.0940074,0.0849562,0.0894818
0.8100001,0.088575,0.0963094,0.0924422
0.8200001,0.0938248,0.0847107,0.08926775
0.83,0.1069568,0.065373,0.0861649
0.84,0.097406,0.0863379,0.09187195
0.85,0.093841,0.0775762,0.0857086
0.86,0.1105116,0.0853633,0.09793745
0.8700001,0.0996695,0.0677812,0.08372535
0.8800001,0.1092918,0.0802615,0.09477665
0.89,0.1199722,0.0791958,0.099584
0.9,0.1090612,0.0713442,0.0902027
0.91,0.1188267,0.0764567,0.0976417
0.92,0.1134024,0.0790887,0.09624555
0.9300001,0.1102331,0.0705496,0.09039135
0.9400001,0.1041049,0.081644,0.09287445
0.95,0.091083,0.08474,0.0879115
0.96,0.0995191,0.0875716,0.09354535
0.97,0.0995423,0.0909004,0.09522135
0.98,0.1046567,0.0857455,0.0952011
0.9900001,0.1041529,0.0740741,0.0891135
1.0,0.0948493,0.0859577,0.0904035
1.01,0.1078099,0.0813781,0.094594
1.0200001,0.1021753,0.0878861,0.0950307
1.0300001,0.1247823,0.0682993,0.0965408
1.0400001,0.1113988,0.0739201,0.09265945
1.0500001,0.0963757,0.0944868,0.09543125
1.0600001,0.1034896,0.0983459,0.10091775
1.0700001,0.1152597,0.0836635,0.0994616
1.08,0.0978726,0.091455,0.0946638
1.09,0.0945313,0.0861742,0.09035275
1.1,0.1012264,0.0979702,0.0995983
1.11,0.0996058,0.0838643,0.09173505
1.12,0.11153,0.0849285,0.09822925
1.13,0.10297,0.0865202,0.0947451
1.1400001,0.0925533,0.1032878,0.09792055
1.1500001,0.0899302,0.089941,0.0899356
1.1600001,0.097569,0.0888546,0.0932118
1.1700001,0.0757943,0.0985481,0.0871712
1.1800001,0.0924969,0.1035987,0.0980478
1.1900001,0.0961285,0.1053206,0.10072455
1.2,0.0865494,0.1018475,0.09419845
1.21,0.0953549,0.0992766,0.09731575
1.22,0.0949147,0.1109994,0.10295705
1.23,0.0900441,0.098617,0.09433055
1.24,0.0887106,0.1127845,0.10074755
1.25,0.0911601,0.099831,0.09549555
1.2600001,0.0865027,0.1057876,0.09614515
1.2700001,0.1074546,0.1005318,0.1039932
1.2800001,0.0970962,0.0945544,0.0958253
1.2900001,0.1067237,0.1023671,0.1045454
1.3000001,0.0948166,0.0875948,0.0912057
1.3100001,0.1014094,0.0872991,0.09435425
1.3200001,0.0987098,0.1006316,0.0996707
1.33,0.0878739,0.0927702,0.09032205
1.34,0.111133,0.1049138,0.1080234
1.35,0.0915881,0.0963143,0.0939512
1.36,0.0991927,0.0934122,0.09630245
1.3700001,0.0809417,0.0982786,0.08961015
1.3800001,0.1011865,0.0888389,0.0950127
1.3900001,0.1048961,0.0908575,0.0978768
1.4000001,0.1041017,0.0889699,0.0965358
1.4100001,0.1061736,0.0875804,0.096877
1.4200001,0.1237842,0.0882569,0.10602055
1.4300001,0.1113656,0.0896756,0.1005206
1.4400001,0.1111177,0.0862769,0.0986973
1.45,0.1084824,0.0930126,0.1007475
1.46,0.1091635,0.1001889,0.1046762
1.47,0.1032573,0.0935055,0.0983814
1.48,0.101249,0.100048,0.1006485
1.4900001,0.1131191,0.098312,0.10571555
1.5000001,0.1129362,0.1011776,0.1070569
1.5100001,0.093103,0.1104644,0.1017837
1.5200001,0.0917076,0.0997822,0.0957449
1.5300001,0.103806,0.1074242,0.1056151
1.5400001,0.1128051,0.0984263,0.1056157
1.5500001,0.0881003,0.1031499,0.0956251
1.5600001,0.1025095,0.1021518,0.10233065
1.5700001,0.0886422,0.1149871,0.10181465
1.58,0.090297,0.1131363,0.10171665
1.59,0.1044605,0.107012,0.10573625
1.6,0.0960079,0.1228327,0.1094203
