Time/Residue,AFR2_R1.xvg,AFR2_R2.xvg
0.0,2.25034,2.24856
0.01,2.27474,2.27226
0.02,2.27419,2.26707
0.03,2.27726,2.26436
0.04,2.27468,2.27322
0.05,2.2765,2.27748
0.06,2.2731,2.28083
0.07,2.28209,2.28696
0.08,2.27485,2.28911
0.09,2.27652,2.28021
0.1,2.27274,2.29287
0.11,2.27574,2.29451
0.12,2.28183,2.2827
0.13,2.28078,2.29043
0.14,2.28487,2.30199
0.15,2.28428,2.2926
0.16,2.28535,2.30123
0.17,2.27676,2.29996
0.18,2.28149,2.29832
0.19,2.29513,2.29603
0.2,2.28633,2.29351
0.21,2.28384,2.28464
0.22,2.28545,2.28547
0.23,2.28802,2.28787
0.24,2.28519,2.29312
0.25,2.27882,2.28772
0.26,2.28097,2.29388
0.27,2.28113,2.28634
0.28,2.28069,2.28562
0.29,2.27974,2.2855
0.3,2.27561,2.28857
0.31,2.28373,2.28929
0.32,2.28463,2.28264
0.33,2.28126,2.2914
0.34,2.27967,2.28883
0.35,2.28411,2.28082
0.36,2.28319,2.29054
0.37,2.28465,2.29007
0.38,2.28618,2.28998
0.39,2.28688,2.28627
0.4,2.2913,2.28854
0.41,2.28831,2.2845
0.42,2.29066,2.27951
0.43,2.28604,2.28586
0.44,2.28613,2.28566
0.45,2.29025,2.29315
0.46,2.29919,2.29231
0.47,2.2853,2.29051
0.48,2.28701,2.29244
0.49,2.2819,2.28901
0.5,2.28404,2.29111
0.51,2.29613,2.2918
0.52,2.28479,2.28919
0.53,2.28867,2.28563
0.54,2.28367,2.2944
0.55,2.27751,2.29491
0.56,2.27866,2.3034
0.57,2.27816,2.29452
0.58,2.28278,2.28954
0.59,2.27887,2.28781
0.6,2.27951,2.28875
0.61,2.28888,2.28481
0.62,2.29026,2.28026
0.63,2.28468,2.28165
0.64,2.29145,2.27933
0.65,2.28661,2.2791
0.66,2.28997,2.28031
0.67,2.28559,2.2768
0.68,2.28175,2.28559
0.69,2.28152,2.28582
0.7,2.28678,2.28773
0.71,2.27962,2.28434
0.72,2.28785,2.28246
0.73,2.28897,2.285
0.74,2.2847,2.27755
0.75,2.28294,2.28563
0.76,2.28291,2.28415
0.77,2.28274,2.28609
0.78,2.28166,2.27964
0.79,2.2765,2.28776
0.8,2.28277,2.27938
0.81,2.28612,2.27946
0.82,2.28702,2.28329
0.83,2.28402,2.28761
0.84,2.27684,2.27994
0.85,2.28665,2.28946
0.86,2.2782,2.28839
0.87,2.28331,2.285
0.88,2.28365,2.28254
0.89,2.29291,2.28655
0.9,2.28217,2.28463
0.91,2.28221,2.28587
0.92,2.2791,2.29454
0.93,2.28278,2.29717
0.94,2.27871,2.29045
0.95,2.27803,2.29504
0.96,2.28092,2.29233
0.97,2.27927,2.29126
0.98,2.28265,2.27424
0.99,2.28554,2.28776
1.0,2.27757,2.28306
1.01,2.26642,2.28905
1.02,2.27638,2.28452
1.03,2.28086,2.29068
1.04,2.27366,2.29354
1.05,2.28001,2.28778
1.06,2.27362,2.28403
1.07,2.27334,2.27935
1.08,2.26925,2.28724
1.09,2.27912,2.27992
1.1,2.27128,2.28292
1.11,2.27288,2.28204
1.12,2.2684,2.28421
1.13,2.27522,2.28372
1.14,2.27331,2.28117
1.15,2.27304,2.29005
1.16,2.27689,2.29061
1.17,2.27779,2.2918
1.18,2.27953,2.28332
1.19,2.28155,2.28258
1.2,2.28172,2.29026
1.21,2.27969,2.28539
1.22,2.27116,2.28864
1.23,2.28051,2.29231
1.24,2.2824,2.29073
1.25,2.27251,2.28959
1.26,2.28102,2.29641
1.27,2.28311,2.28979
1.28,2.28421,2.28804
1.29,2.27644,2.28096
1.3,2.27701,2.2853
1.31,2.28142,2.28629
1.32,2.28569,2.2911
1.33,2.27811,2.29069
1.34,2.28843,2.28118
1.35,2.28778,2.27941
1.36,2.27997,2.28136
1.37,2.2881,2.27444
1.38,2.28792,2.28775
1.39,2.27934,2.28002
1.4,2.28525,2.28551
1.41,2.28486,2.2795
1.42,2.28695,2.28629
1.43,2.2869,2.28297
1.44,2.28694,2.28435
1.45,2.28601,2.28896
1.46,2.27635,2.28899
1.47,2.28067,2.29212
1.48,2.28617,2.29715
1.49,2.28597,2.28597
1.5,2.29329,2.28409
1.51,2.2901,2.28715
1.52,2.28909,2.28484
1.53,2.28116,2.28839
1.54,2.28267,2.29108
1.55,2.28154,2.29348
1.56,2.28576,2.28731
1.57,2.28158,2.28675
1.58,2.28732,2.28193
1.59,2.2865,2.28478
1.6,2.28112,2.29136
1.61,2.28012,2.29394
1.62,2.28821,2.27671
1.63,2.28246,2.28634
1.64,2.28868,2.28303
1.65,2.28098,2.28574
1.66,2.29052,2.28744
1.67,2.28188,2.2839
1.68,2.28431,2.2905
1.69,2.28231,2.29023
1.7,2.27987,2.28794
1.71,2.28555,2.29708
1.72,2.28405,2.28086
1.73,2.28188,2.28273
1.74,2.28627,2.28659
1.75,2.28654,2.28233
1.76,2.28387,2.28585
1.77,2.28846,2.28901
1.78,2.29533,2.28424
1.79,2.2908,2.29202
1.8,2.2867,2.29098
1.81,2.28362,2.28594
1.82,2.28879,2.29101
1.83,2.29049,2.29018
1.84,2.29752,2.29027
1.85,2.29607,2.28713
1.86,2.29433,2.29012
1.87,2.2933,2.28317
1.88,2.29422,2.28458
1.89,2.29706,2.28945
1.9,2.29195,2.28869
1.91,2.29513,2.28723
1.92,2.29439,2.27902
1.93,2.29109,2.29505
1.94,2.29168,2.29013
1.95,2.29623,2.29058
1.96,2.29098,2.29765
1.97,2.29358,2.29401
1.98,2.29046,2.29588
1.99,2.29717,2.29334
2.0,2.29235,2.29314
2.01,2.30036,2.298
2.02,2.30174,2.29089
2.03,2.30008,2.2997
2.04,2.30348,2.28573
2.05,2.30002,2.29627
2.06,2.29922,2.29878
2.07,2.30016,2.29277
2.08,2.29765,2.29337
2.09,2.29051,2.30448
2.1,2.28794,2.29945
2.11,2.2909,2.30558
2.12,2.29213,2.29562
2.13,2.28719,2.3045
2.14,2.29309,2.30962
2.15,2.29472,2.30286
2.16,2.30029,2.30046
2.17,2.29464,2.30195
2.18,2.28748,2.29407
2.19,2.29156,2.29024
2.2,2.29705,2.30793
2.21,2.28838,2.30152
2.22,2.29006,2.29532
2.23,2.2855,2.29682
2.24,2.29206,2.30267
2.25,2.29302,2.3041
2.26,2.29187,2.2942
2.27,2.2988,2.29162
2.28,2.29937,2.29079
2.29,2.29494,2.28754
2.3,2.29947,2.29207
2.31,2.29885,2.28437
2.32,2.29473,2.28512
2.33,2.28869,2.28467
2.34,2.28946,2.29114
2.35,2.28352,2.29441
2.36,2.29855,2.29156
2.37,2.28934,2.28711
2.38,2.29017,2.29607
2.39,2.2833,2.29825
2.4,2.30076,2.29982
2.41,2.29663,2.29569
2.42,2.29817,2.28924
2.43,2.30168,2.29996
2.44,2.29376,2.29662
2.45,2.30578,2.29994
2.46,2.30545,2.30631
2.47,2.30379,2.30616
2.48,2.30553,2.30214
2.49,2.30833,2.29213
2.5,2.29914,2.28885
2.51,2.30648,2.30572
2.52,2.2995,2.30316
2.53,2.30329,2.30091
2.54,2.30069,2.2992
2.55,2.30416,2.29476
2.56,2.29905,2.30031
2.57,2.30006,2.29768
2.58,2.29529,2.28735
2.59,2.2975,2.28682
2.6,2.29939,2.29427
2.61,2.29799,2.29339
2.62,2.29993,2.29168
2.63,2.30509,2.28071
2.64,2.29759,2.29586
2.65,2.30164,2.28526
2.66,2.30155,2.28739
2.67,2.29544,2.29553
2.68,2.30626,2.28917
2.69,2.30686,2.29193
2.7,2.29965,2.2865
2.71,2.30369,2.29718
2.72,2.30104,2.2928
2.73,2.31133,2.29501
2.74,2.31477,2.29706
2.75,2.30338,2.30094
2.76,2.31137,2.29175
2.77,2.30269,2.30249
2.78,2.3011,2.29981
2.79,2.30849,2.2973
2.8,2.30906,2.30237
2.81,2.30535,2.29419
2.82,2.3007,2.28225
2.83,2.29849,2.28637
2.84,2.29929,2.28468
2.85,2.29471,2.29505
2.86,2.29669,2.29644
2.87,2.29973,2.29223
2.88,2.303,2.29189
2.89,2.29585,2.28188
2.9,2.29946,2.29252
2.91,2.29807,2.29515
2.92,2.29754,2.29061
2.93,2.29978,2.29015
2.94,2.30038,2.28953
2.95,2.29303,2.29544
2.96,2.29368,2.29217
2.97,2.3035,2.29089
2.98,2.297,2.29687
2.99,2.29685,2.29523
3.0,2.30081,2.29035
3.01,2.29092,2.30013
3.02,2.30173,2.2909
3.03,2.2997,2.30458
3.04,2.2973,2.29767
3.05,2.30438,2.30383
3.06,2.3027,2.29393
3.07,2.29959,2.29822
3.08,2.30064,2.29214
3.09,2.30343,2.29012
3.1,2.30268,2.28876
3.11,2.30201,2.30271
3.12,2.29806,2.29149
3.13,2.29884,2.30136
3.14,2.30307,2.30408
3.15,2.30435,2.30466
3.16,2.30796,2.29848
3.17,2.3016,2.29877
3.18,2.29794,2.30032
3.19,2.29744,2.29866
3.2,2.29055,2.30655
3.21,2.29507,2.30592
3.22,2.29764,2.29814
3.23,2.3029,2.30117
3.24,2.29508,2.30489
3.25,2.2994,2.28844
3.26,2.29985,2.29845
3.27,2.3011,2.29854
3.28,2.30457,2.29511
3.29,2.30795,2.29328
3.3,2.29974,2.29526
3.31,2.29968,2.29266
3.32,2.29912,2.30383
3.33,2.29497,2.29758
3.34,2.29118,2.2927
3.35,2.29596,2.30334
3.36,2.29124,2.2972
3.37,2.29265,2.29581
3.38,2.29955,2.29699
3.39,2.2929,2.29525
3.4,2.29904,2.29839
3.41,2.29892,2.29184
3.42,2.297,2.30065
3.43,2.29372,2.29503
3.44,2.29645,2.29469
3.45,2.30076,2.28956
3.46,2.30507,2.28494
3.47,2.30381,2.29511
3.48,2.30137,2.2958
3.49,2.31091,2.29446
3.5,2.29955,2.29721
3.51,2.30304,2.2779
3.52,2.30201,2.28718
3.53,2.30131,2.28739
3.54,2.29341,2.2866
3.55,2.30026,2.28691
3.56,2.29829,2.29205
3.57,2.29932,2.28766
3.58,2.29751,2.29458
3.59,2.30153,2.2988
3.6,2.29416,2.29556
3.61,2.29593,2.29916
3.62,2.29739,2.29144
3.63,2.29528,2.2856
3.64,2.30301,2.28532
3.65,2.29442,2.2887
3.66,2.29944,2.28847
3.67,2.29346,2.29129
3.68,2.28993,2.29007
3.69,2.29488,2.29703
3.7,2.30324,2.30101
3.71,2.30278,2.30031
3.72,2.2981,2.29927
3.73,2.2949,2.29949
3.74,2.29643,2.30625
3.75,2.29234,2.29664
3.76,2.29292,2.29044
3.77,2.30364,2.3034
3.78,2.29769,2.30093
3.79,2.30959,2.29391
3.8,2.30099,2.2877
3.81,2.30145,2.30341
3.82,2.30302,2.30291
3.83,2.29934,2.30632
3.84,2.30768,2.30727
3.85,2.30501,2.30387
3.86,2.30739,2.28984
3.87,2.30454,2.29201
3.88,2.3,2.3095
3.89,2.30509,2.28884
3.9,2.29546,2.29232
3.91,2.31145,2.29164
3.92,2.29744,2.29964
3.93,2.28996,2.29875
3.94,2.29804,2.29986
3.95,2.30661,2.29995
3.96,2.30455,2.31141
3.97,2.31366,2.30507
3.98,2.3004,2.29958
3.99,2.31308,2.30704
4.0,2.30618,2.31476
4.01,2.30759,2.30986
4.02,2.30675,2.31564
4.03,2.30591,2.30971
4.04,2.302,2.30597
4.05,2.30051,2.30122
4.06,2.3,2.29935
4.07,2.29564,2.29531
4.08,2.29601,2.30142
4.09,2.3045,2.3001
4.1,2.29509,2.30435
4.11,2.29709,2.29475
4.12,2.30444,2.29801
4.13,2.29475,2.29696
4.14,2.30185,2.29702
4.15,2.30487,2.30388
4.16,2.30542,2.30967
4.17,2.30398,2.29754
4.18,2.30007,2.29174
4.19,2.29586,2.30427
4.2,2.29773,2.29697
4.21,2.29777,2.30318
4.22,2.29538,2.30231
4.23,2.29622,2.29979
4.24,2.29889,2.3024
4.25,2.2949,2.29877
4.26,2.29541,2.29309
4.27,2.29897,2.29891
4.28,2.2966,2.29437
4.29,2.30001,2.30065
4.3,2.29051,2.29912
4.31,2.29548,2.30159
4.32,2.30099,2.29935
4.33,2.29435,2.30702
4.34,2.29517,2.30042
4.35,2.29554,2.29896
4.36,2.30183,2.30047
4.37,2.29322,2.30355
4.38,2.29502,2.30587
4.39,2.29484,2.30501
4.4,2.2989,2.30336
4.41,2.28688,2.30493
4.42,2.28757,2.31103
4.43,2.28535,2.3146
4.44,2.28962,2.3082
4.45,2.29404,2.30756
4.46,2.29006,2.31872
4.47,2.29485,2.31418
4.48,2.29482,2.30902
4.49,2.29517,2.31088
4.5,2.29733,2.31171
4.51,2.29288,2.30838
4.52,2.29891,2.30778
4.53,2.28742,2.30437
4.54,2.29391,2.29927
4.55,2.29871,2.30072
4.56,2.29801,2.30235
4.57,2.30099,2.3022
4.58,2.2926,2.30417
4.59,2.29664,2.30784
4.6,2.29577,2.30377
4.61,2.2914,2.30283
4.62,2.29467,2.30053
4.63,2.2951,2.30227
4.64,2.29811,2.30015
4.65,2.30092,2.29752
4.66,2.3037,2.3028
4.67,2.30769,2.3034
4.68,2.30526,2.3034
4.69,2.30656,2.30183
4.7,2.30487,2.29995
4.71,2.30001,2.30589
4.72,2.30029,2.3042
4.73,2.30869,2.30868
4.74,2.29469,2.31294
4.75,2.2947,2.30377
4.76,2.30443,2.2984
4.77,2.29446,2.30261
4.78,2.29551,2.29797
4.79,2.29226,2.29319
4.8,2.29816,2.30031
4.81,2.30112,2.30453
4.82,2.29973,2.29792
4.83,2.30467,2.30465
4.84,2.29476,2.30803
4.85,2.28959,2.31034
4.86,2.29789,2.31054
4.87,2.29188,2.30386
4.88,2.29899,2.32029
4.89,2.29536,2.30763
4.9,2.29761,2.3055
4.91,2.29816,2.30576
4.92,2.29768,2.31266
4.93,2.2969,2.31364
4.94,2.29353,2.31226
4.95,2.29242,2.30739
4.96,2.29265,2.31007
4.97,2.2924,2.2993
4.98,2.28929,2.30508
4.99,2.29174,2.302
5.0,2.30028,2.30124
5.01,2.29629,2.30518
5.02,2.30014,2.3004
5.03,2.29304,2.30886
5.04,2.30049,2.29862
5.05,2.29745,2.30065
5.06,2.29324,2.30179
5.07,2.29277,2.30359
5.08,2.30304,2.29918
5.09,2.2947,2.29835
5.1,2.30334,2.30799
5.11,2.29272,2.31399
5.12,2.30121,2.30927
5.13,2.29838,2.30997
5.14,2.29056,2.30503
5.15,2.28992,2.30701
5.16,2.29185,2.30651
5.17,2.29571,2.30838
5.18,2.29453,2.30655
5.19,2.29142,2.31579
5.2,2.29749,2.3115
5.21,2.30212,2.31036
5.22,2.30495,2.31235
5.23,2.288,2.2955
5.24,2.29322,2.30657
5.25,2.30308,2.30999
5.26,2.28965,2.30519
5.27,2.29896,2.30875
5.28,2.29182,2.31184
5.29,2.29536,2.30231
5.3,2.29171,2.30454
5.31,2.29951,2.29681
5.32,2.30156,2.29707
5.33,2.30186,2.29821
5.34,2.30659,2.31089
5.35,2.30005,2.30577
5.36,2.3045,2.30654
5.37,2.29969,2.31274
5.38,2.29778,2.3099
5.39,2.29971,2.31275
5.4,2.29541,2.30671
5.41,2.29325,2.31605
5.42,2.30028,2.30854
5.43,2.29325,2.30649
5.44,2.29288,2.30558
5.45,2.29904,2.31093
5.46,2.29812,2.31181
5.47,2.29977,2.30996
5.48,2.29407,2.29936
5.49,2.29316,2.30735
5.5,2.30136,2.3013
5.51,2.29967,2.31395
5.52,2.30506,2.31398
5.53,2.30335,2.31485
5.54,2.30235,2.31463
5.55,2.29369,2.31017
5.56,2.29923,2.31581
5.57,2.30342,2.31761
5.58,2.29051,2.32155
5.59,2.29621,2.3121
5.6,2.29712,2.30808
5.61,2.29646,2.31583
5.62,2.29854,2.31489
5.63,2.29909,2.31283
5.64,2.29461,2.3188
5.65,2.30145,2.31354
5.66,2.30704,2.31944
5.67,2.3022,2.3186
5.68,2.30285,2.31806
5.69,2.30485,2.30938
5.7,2.29859,2.31604
5.71,2.30031,2.31467
5.72,2.29413,2.3085
5.73,2.28791,2.3097
5.74,2.29595,2.32236
5.75,2.30096,2.32147
5.76,2.29226,2.31834
5.77,2.29357,2.32116
5.78,2.29258,2.32256
5.79,2.29469,2.31217
5.8,2.29776,2.31905
5.81,2.29601,2.31632
5.82,2.30122,2.31439
5.83,2.29084,2.31533
5.84,2.30546,2.31199
5.85,2.28809,2.31069
5.86,2.29101,2.31426
5.87,2.29852,2.32183
5.88,2.29426,2.31682
5.89,2.30003,2.30707
5.9,2.29283,2.30526
5.91,2.29677,2.31959
5.92,2.29986,2.30949
5.93,2.30053,2.30352
5.94,2.3044,2.31142
5.95,2.29883,2.31318
5.96,2.29489,2.32294
5.97,2.29862,2.32227
5.98,2.30376,2.30754
5.99,2.29949,2.305
6.0,2.30061,2.31695
6.01,2.30242,2.31732
6.02,2.29287,2.31006
6.03,2.29962,2.31957
6.04,2.29706,2.30424
6.05,2.29393,2.30451
6.06,2.29478,2.30536
6.07,2.30416,2.3153
6.08,2.29487,2.30561
6.09,2.30141,2.31139
6.1,2.29773,2.30838
6.11,2.29737,2.31209
6.12,2.30142,2.31137
6.13,2.29886,2.30454
6.14,2.3023,2.3227
6.15,2.3026,2.32147
6.16,2.30415,2.3088
6.17,2.30578,2.31035
6.18,2.30542,2.31455
6.19,2.30687,2.31748
6.2,2.30026,2.31347
6.21,2.30521,2.32217
6.22,2.29987,2.3221
6.23,2.30652,2.32436
6.24,2.29925,2.32221
6.25,2.29544,2.32097
6.26,2.29891,2.3206
6.27,2.30067,2.31743
6.28,2.30422,2.31374
6.29,2.3012,2.32764
6.3,2.30653,2.32053
6.31,2.3032,2.32096
6.32,2.30817,2.31664
6.33,2.31138,2.30991
6.34,2.30677,2.32827
6.35,2.30081,2.32681
6.36,2.30032,2.32822
6.37,2.29659,2.32677
6.38,2.29126,2.32722
6.39,2.29505,2.31931
6.4,2.29876,2.32164
6.41,2.29416,2.31884
6.42,2.30794,2.31473
6.43,2.29503,2.31351
6.44,2.29411,2.31488
6.45,2.29876,2.31653
6.46,2.2998,2.30741
6.47,2.2941,2.31579
6.48,2.29589,2.3046
6.49,2.29523,2.31121
6.5,2.29817,2.31782
6.51,2.29142,2.309
6.52,2.29506,2.30493
6.53,2.29871,2.31123
6.54,2.30042,2.30849
6.55,2.30035,2.3083
6.56,2.29725,2.32072
6.57,2.29852,2.31258
6.58,2.29928,2.31029
6.59,2.29714,2.31108
6.6,2.29651,2.31504
6.61,2.30509,2.30881
6.62,2.2978,2.30663
6.63,2.30291,2.30806
6.64,2.29848,2.29766
6.65,2.29766,2.30633
6.66,2.2909,2.31187
6.67,2.28838,2.31669
6.68,2.29179,2.32109
6.69,2.2883,2.31978
