Time/Residue,AFR3_R1.xvg,AFR3_R2.xvg,Average
0,2.2503,2.25047,2.250385
0.01,2.27642,2.29143,2.283925
0.02,2.2732,2.28665,2.279925
0.03,2.27285,2.28465,2.27875
0.04,2.28748,2.28435,2.285915
0.05,2.28252,2.28089,2.281705
0.06,2.28203,2.27959,2.28081
0.07,2.28466,2.2811,2.28288
0.08,2.28725,2.29059,2.28892
0.09,2.27903,2.29466,2.286845
0.1,2.27842,2.28713,2.282775
0.11,2.2865,2.28576,2.28613
0.12,2.28839,2.28082,2.284605
0.13,2.29064,2.30163,2.296135
0.14,2.28365,2.2893,2.286475
0.15,2.29647,2.28719,2.29183
0.16,2.2902,2.28908,2.28964
0.17,2.29218,2.28454,2.28836
0.18,2.29962,2.28744,2.29353
0.19,2.28809,2.28908,2.288585
0.2,2.28145,2.29337,2.28741
0.21,2.28386,2.28982,2.28684
0.22,2.28323,2.2921,2.287665
0.23,2.27978,2.29431,2.287045
0.24,2.27796,2.28794,2.28295
0.25,2.28063,2.28982,2.285225
0.26,2.2811,2.29754,2.28932
0.27,2.2788,2.28791,2.283355
0.28,2.27831,2.29209,2.2852
0.29,2.27699,2.29886,2.287925
0.3,2.28123,2.28795,2.28459
0.31,2.28369,2.28414,2.283915
0.32,2.27639,2.28351,2.27995
0.33,2.27685,2.2955,2.286175
0.34,2.27492,2.27739,2.276155
0.35,2.28439,2.28225,2.28332
0.36,2.28028,2.28226,2.28127
0.37,2.27854,2.28262,2.28058
0.38,2.28743,2.28087,2.28415
0.39,2.28039,2.27308,2.276735
0.4,2.28047,2.27614,2.278305
0.41,2.28836,2.28288,2.28562
0.42,2.28726,2.28035,2.283805
0.43,2.28898,2.28587,2.287425
0.44,2.28282,2.28265,2.282735
0.45,2.29705,2.2817,2.289375
0.46,2.29685,2.28538,2.291115
0.47,2.30389,2.28066,2.292275
0.48,2.29783,2.2821,2.289965
0.49,2.29852,2.28251,2.290515
0.5,2.2964,2.28728,2.29184
0.51,2.28823,2.29078,2.289505
0.52,2.28835,2.28921,2.28878
0.53,2.29177,2.28433,2.28805
0.54,2.2923,2.2873,2.2898
0.55,2.28979,2.29146,2.290625
0.56,2.29305,2.29868,2.295865
0.57,2.29666,2.28814,2.2924
0.58,2.30307,2.29379,2.29843
0.59,2.29495,2.29759,2.29627
0.6,2.30089,2.29727,2.29908
0.61,2.29132,2.29482,2.29307
0.62,2.29163,2.28738,2.289505
0.63,2.29237,2.29444,2.293405
0.64,2.29583,2.29073,2.29328
0.65,2.29422,2.29939,2.296805
0.66,2.28228,2.29295,2.287615
0.67,2.28509,2.29484,2.289965
0.68,2.29172,2.29953,2.295625
0.69,2.29188,2.2925,2.29219
0.7,2.29109,2.30178,2.296435
0.71,2.2892,2.3063,2.29775
0.72,2.29162,2.31513,2.303375
0.73,2.29175,2.30569,2.29872
0.74,2.29403,2.29661,2.29532
0.75,2.29621,2.29585,2.29603
0.76,2.29384,2.30242,2.29813
0.77,2.29613,2.29472,2.295425
0.78,2.29419,2.29553,2.29486
0.79,2.29769,2.29566,2.296675
0.8,2.29292,2.30187,2.297395
0.81,2.29327,2.30202,2.297645
0.82,2.30096,2.29407,2.297515
0.83,2.28973,2.29756,2.293645
0.84,2.28455,2.29217,2.28836
0.85,2.29112,2.29364,2.29238
0.86,2.28921,2.30364,2.296425
0.87,2.29191,2.29797,2.29494
0.88,2.2877,2.30078,2.29424
0.89,2.28877,2.30439,2.29658
0.9,2.28576,2.30015,2.292955
0.91,2.28723,2.30717,2.2972
0.92,2.29405,2.30227,2.29816
0.93,2.30015,2.30361,2.30188
0.94,2.29866,2.29589,2.297275
0.95,2.28968,2.30367,2.296675
0.96,2.28757,2.30216,2.294865
0.97,2.29191,2.30581,2.29886
0.98,2.29117,2.30263,2.2969
0.99,2.29405,2.30069,2.29737
1,2.29117,2.3074,2.299285
1.01,2.29397,2.30829,2.30113
1.02,2.2862,2.31279,2.299495
1.03,2.28325,2.30068,2.291965
1.04,2.29285,2.31207,2.30246
1.05,2.28821,2.30413,2.29617
1.06,2.29388,2.29395,2.293915
1.07,2.2978,2.30996,2.30388
1.08,2.28925,2.30684,2.298045
1.09,2.29075,2.30169,2.29622
1.1,2.28742,2.30159,2.294505
1.11,2.28788,2.30672,2.2973
1.12,2.29122,2.30419,2.297705
1.13,2.28754,2.30407,2.295805
1.14,2.28783,2.31536,2.301595
1.15,2.2861,2.31397,2.300035
1.16,2.29167,2.302,2.296835
1.17,2.29431,2.30631,2.30031
1.18,2.28899,2.30309,2.29604
1.19,2.2932,2.30804,2.30062
1.2,2.29723,2.29787,2.29755
1.21,2.29158,2.30097,2.296275
1.22,2.29435,2.30261,2.29848
1.23,2.28875,2.29676,2.292755
1.24,2.29089,2.29859,2.29474
1.25,2.28984,2.29823,2.294035
1.26,2.29655,2.30013,2.29834
1.27,2.29105,2.29651,2.29378
1.28,2.29898,2.29912,2.29905
1.29,2.29296,2.29869,2.295825
1.3,2.2873,2.30354,2.29542
1.31,2.2876,2.29986,2.29373
1.32,2.29281,2.30562,2.299215
1.33,2.28701,2.30206,2.294535
1.34,2.28476,2.30785,2.296305
1.35,2.28642,2.30526,2.29584
1.36,2.28388,2.30535,2.294615
1.37,2.28419,2.30714,2.295665
1.38,2.28904,2.30613,2.297585
1.39,2.28427,2.29788,2.291075
1.4,2.28682,2.3079,2.29736
1.41,2.284,2.30176,2.29288
1.42,2.29036,2.30065,2.295505
1.43,2.28573,2.30281,2.29427
1.44,2.28986,2.29956,2.29471
1.45,2.29652,2.29929,2.297905
1.46,2.29393,2.30712,2.300525
1.47,2.30031,2.29828,2.299295
1.48,2.29236,2.30745,2.299905
1.49,2.29606,2.29702,2.29654
1.5,2.29754,2.30168,2.29961
1.51,2.2929,2.29882,2.29586
1.52,2.29053,2.30892,2.299725
1.53,2.29105,2.29433,2.29269
1.54,2.29031,2.30497,2.29764
1.55,2.29485,2.30303,2.29894
1.56,2.28944,2.30785,2.298645
1.57,2.288,2.30036,2.29418
1.58,2.27922,2.29897,2.289095
1.59,2.29467,2.29624,2.295455
1.6,2.29296,2.2955,2.29423
1.61,2.29456,2.29842,2.29649
1.62,2.29707,2.30147,2.29927
1.63,2.28824,2.29921,2.293725
1.64,2.29298,2.30268,2.29783
1.65,2.30039,2.3015,2.300945
1.66,2.28675,2.31093,2.29884
1.67,2.2932,2.30353,2.298365
1.68,2.294,2.30575,2.299875
1.69,2.29602,2.30159,2.298805
1.7,2.29035,2.30359,2.29697
1.71,2.30057,2.30106,2.300815
1.72,2.29208,2.30293,2.297505
1.73,2.28991,2.30535,2.29763
1.74,2.29295,2.31041,2.30168
1.75,2.29516,2.30888,2.30202
1.76,2.28759,2.31177,2.29968
1.77,2.3034,2.30663,2.305015
1.78,2.29334,2.30027,2.296805
1.79,2.29573,2.29374,2.294735
1.8,2.29311,2.30019,2.29665
1.81,2.29554,2.2935,2.29452
1.82,2.29381,2.29666,2.295235
1.83,2.29984,2.2974,2.29862
1.84,2.29638,2.29937,2.297875
1.85,2.29445,2.29087,2.29266
1.86,2.29183,2.29768,2.294755
1.87,2.30229,2.29779,2.30004
1.88,2.2985,2.29296,2.29573
1.89,2.29178,2.29691,2.294345
1.9,2.29628,2.2961,2.29619
1.91,2.29731,2.28921,2.29326
1.92,2.29676,2.2937,2.29523
1.93,2.29872,2.28985,2.294285
1.94,2.29281,2.28941,2.29111
1.95,2.28408,2.29049,2.287285
1.96,2.29411,2.30289,2.2985
1.97,2.29988,2.2908,2.29534
1.98,2.29981,2.2902,2.295005
1.99,2.29362,2.29363,2.293625
2,2.29658,2.29567,2.296125
2.01,2.28726,2.29388,2.29057
2.02,2.28594,2.30059,2.293265
2.03,2.29844,2.29923,2.298835
2.04,2.29713,2.29881,2.29797
2.05,2.2931,2.29994,2.29652
2.06,2.29321,2.30264,2.297925
2.07,2.30022,2.30044,2.30033
2.08,2.29497,2.2964,2.295685
2.09,2.2979,2.30168,2.29979
2.1,2.28754,2.29816,2.29285
2.11,2.28752,2.2922,2.28986
2.12,2.29021,2.29993,2.29507
2.13,2.29695,2.29185,2.2944
2.14,2.29128,2.28449,2.287885
2.15,2.29442,2.29615,2.295285
2.16,2.29866,2.29968,2.29917
2.17,2.28917,2.29126,2.290215
2.18,2.29067,2.29985,2.29526
2.19,2.29029,2.30838,2.299335
2.2,2.29123,2.30677,2.299
2.21,2.30065,2.29818,2.299415
2.22,2.28995,2.30426,2.297105
2.23,2.2873,2.29777,2.292535
2.24,2.29519,2.2909,2.293045
2.25,2.28861,2.29129,2.28995
2.26,2.28882,2.29221,2.290515
2.27,2.29075,2.29316,2.291955
2.28,2.29974,2.29057,2.295155
2.29,2.29614,2.28765,2.291895
2.3,2.29434,2.28993,2.292135
2.31,2.30043,2.28327,2.29185
2.32,2.30442,2.28511,2.294765
2.33,2.29946,2.27698,2.28822
2.34,2.30946,2.28171,2.295585
2.35,2.31235,2.29212,2.302235
2.36,2.30122,2.28622,2.29372
2.37,2.30295,2.28201,2.29248
2.38,2.29656,2.2851,2.29083
2.39,2.29182,2.28992,2.29087
2.4,2.30729,2.28668,2.296985
2.41,2.29874,2.28636,2.29255
2.42,2.29731,2.27935,2.28833
2.43,2.29732,2.2776,2.28746
2.44,2.29416,2.27546,2.28481
2.45,2.29084,2.28613,2.288485
2.46,2.29147,2.28874,2.290105
2.47,2.28613,2.28585,2.28599
2.48,2.29343,2.28866,2.291045
2.49,2.2946,2.28281,2.288705
2.5,2.29714,2.28331,2.290225
2.51,2.30116,2.28849,2.294825
2.52,2.29455,2.28157,2.28806
2.53,2.29109,2.2847,2.287895
2.54,2.28848,2.2884,2.28844
2.55,2.29287,2.29,2.291435
2.56,2.2892,2.28414,2.28667
2.57,2.29254,2.28875,2.290645
2.58,2.28688,2.2846,2.28574
2.59,2.28576,2.28949,2.287625
2.6,2.28599,2.28364,2.284815
2.61,2.28431,2.28308,2.283695
2.62,2.28129,2.28215,2.28172
2.63,2.28702,2.28973,2.288375
2.64,2.28411,2.27993,2.28202
2.65,2.28638,2.29018,2.28828
2.66,2.29188,2.28394,2.28791
2.67,2.28493,2.28619,2.28556
2.68,2.28814,2.28843,2.288285
2.69,2.28282,2.2824,2.28261
2.7,2.28838,2.2844,2.28639
2.71,2.28674,2.28705,2.286895
2.72,2.28644,2.2785,2.28247
2.73,2.29185,2.2855,2.288675
2.74,2.2958,2.29056,2.29318
2.75,2.29798,2.28818,2.29308
2.76,2.29396,2.28313,2.288545
2.77,2.29424,2.28637,2.290305
2.78,2.29439,2.27877,2.28658
2.79,2.29729,2.27571,2.2865
2.8,2.29014,2.2838,2.28697
2.81,2.29488,2.27936,2.28712
2.82,2.29752,2.28491,2.291215
2.83,2.29415,2.28626,2.290205
2.84,2.2968,2.29332,2.29506
2.85,2.29428,2.29232,2.2933
2.86,2.29094,2.28561,2.288275
2.87,2.29449,2.29368,2.294085
2.88,2.28515,2.28842,2.286785
2.89,2.2905,2.29081,2.290655
2.9,2.28538,2.28627,2.285825
2.91,2.29532,2.28985,2.292585
2.92,2.29487,2.28393,2.2894
2.93,2.28731,2.2807,2.284005
2.94,2.28726,2.28788,2.28757
2.95,2.28632,2.2939,2.29011
2.96,2.28332,2.28958,2.28645
2.97,2.27891,2.28602,2.282465
2.98,2.28709,2.28557,2.28633
2.99,2.2928,2.28326,2.28803
3,2.29064,2.28799,2.289315
3.01,2.2935,2.27605,2.284775
3.02,2.29203,2.28216,2.287095
3.03,2.2898,2.28557,2.287685
3.04,2.28989,2.28836,2.289125
3.05,2.28824,2.30042,2.29433
3.06,2.29198,2.28648,2.28923
3.07,2.29495,2.28436,2.289655
3.08,2.29344,2.29107,2.292255
3.09,2.28491,2.29263,2.28877
3.1,2.2912,2.28356,2.28738
3.11,2.29037,2.29809,2.29423
3.12,2.28872,2.28293,2.285825
3.13,2.28765,2.28872,2.288185
3.14,2.28787,2.29585,2.29186
3.15,2.29178,2.2815,2.28664
3.16,2.28806,2.28299,2.285525
3.17,2.29226,2.2859,2.28908
3.18,2.29589,2.29002,2.292955
3.19,2.29607,2.29643,2.29625
3.2,2.29533,2.29074,2.293035
3.21,2.29494,2.28642,2.29068
3.22,2.2947,2.28754,2.29112
3.23,2.28946,2.29011,2.289785
3.24,2.29501,2.29198,2.293495
3.25,2.29117,2.28409,2.28763
3.26,2.29382,2.29106,2.29244
3.27,2.29615,2.29067,2.29341
3.28,2.28505,2.30032,2.292685
3.29,2.28519,2.29196,2.288575
3.3,2.30013,2.29538,2.297755
3.31,2.29064,2.2908,2.29072
3.32,2.28302,2.29546,2.28924
3.33,2.28483,2.28536,2.285095
3.34,2.28521,2.28031,2.28276
3.35,2.29003,2.29073,2.29038
3.36,2.29567,2.29551,2.29559
3.37,2.28962,2.2878,2.28871
3.38,2.28929,2.29054,2.289915
3.39,2.29236,2.2982,2.29528
3.4,2.28475,2.29705,2.2909
3.41,2.28873,2.29635,2.29254
3.42,2.28136,2.29261,2.286985
3.43,2.29309,2.28791,2.2905
3.44,2.29835,2.29535,2.29685
3.45,2.29494,2.2891,2.29202
3.46,2.29308,2.29073,2.291905
3.47,2.29606,2.28955,2.292805
3.48,2.30258,2.28857,2.295575
3.49,2.30083,2.2882,2.294515
3.5,2.29332,2.29215,2.292735
3.51,2.29891,2.29787,2.29839
3.52,2.29907,2.28552,2.292295
3.53,2.29605,2.28948,2.292765
3.54,2.29638,2.2958,2.29609
3.55,2.29506,2.29604,2.29555
3.56,2.28618,2.29052,2.28835
3.57,2.3005,2.28896,2.29473
3.58,2.29544,2.28505,2.290245
3.59,2.28898,2.28841,2.288695
3.6,2.28892,2.29378,2.29135
3.61,2.2928,2.28404,2.28842
3.62,2.29939,2.29485,2.29712
3.63,2.29739,2.30432,2.300855
3.64,2.30104,2.29693,2.298985
3.65,2.29278,2.2803,2.28654
3.66,2.2878,2.29228,2.29004
3.67,2.29361,2.28687,2.29024
3.68,2.28806,2.29291,2.290485
3.69,2.29496,2.29149,2.293225
3.7,2.29917,2.30159,2.30038
3.71,2.29155,2.29738,2.294465
3.72,2.28978,2.30245,2.296115
3.73,2.29107,2.29978,2.295425
3.74,2.29103,2.29386,2.292445
