Time/Residue,AFR3_R1.xvg,AFR3_R2.xvg,Average
0.0,2.2503,2.25047,2.250385
1e-08,2.27642,2.29143,2.283925
2e-08,2.2732,2.28665,2.279925
3e-08,2.27285,2.28465,2.27875
4e-08,2.28748,2.28435,2.285915
5.0000000000000004e-08,2.28252,2.28089,2.281705
6e-08,2.28203,2.27959,2.28081
7e-08,2.28466,2.2811,2.28288
8e-08,2.28725,2.29059,2.28892
9e-08,2.27903,2.29466,2.286845
1.0000000000000001e-07,2.27842,2.28713,2.282775
1.1e-07,2.2865,2.28576,2.28613
1.2e-07,2.28839,2.28082,2.284605
1.3000000000000003e-07,2.29064,2.30163,2.296135
1.4e-07,2.28365,2.2893,2.286475
1.5e-07,2.29647,2.28719,2.29183
1.6e-07,2.2902,2.28908,2.28964
1.7000000000000001e-07,2.29218,2.28454,2.28836
1.8e-07,2.29962,2.28744,2.29353
1.9e-07,2.28809,2.28908,2.288585
2.0000000000000002e-07,2.28145,2.29337,2.28741
2.0999999999999997e-07,2.28386,2.28982,2.28684
2.2e-07,2.28323,2.2921,2.287665
2.3e-07,2.27978,2.29431,2.287045
2.4e-07,2.27796,2.28794,2.28295
2.5e-07,2.28063,2.28982,2.285225
2.6000000000000005e-07,2.2811,2.29754,2.28932
2.7e-07,2.2788,2.28791,2.283355
2.8e-07,2.27831,2.29209,2.2852
2.9e-07,2.27699,2.29886,2.287925
3e-07,2.28123,2.28795,2.28459
3.1e-07,2.28369,2.28414,2.283915
3.2e-07,2.27639,2.28351,2.27995
3.3e-07,2.27685,2.2955,2.286175
3.4000000000000003e-07,2.27492,2.27739,2.276155
3.5e-07,2.28439,2.28225,2.28332
3.6e-07,2.28028,2.28226,2.28127
3.7e-07,2.27854,2.28262,2.28058
3.8e-07,2.28743,2.28087,2.28415
3.8999999999999997e-07,2.28039,2.27308,2.276735
4.0000000000000003e-07,2.28047,2.27614,2.278305
4.1e-07,2.28836,2.28288,2.28562
4.1999999999999995e-07,2.28726,2.28035,2.283805
4.3e-07,2.28898,2.28587,2.287425
4.4e-07,2.28282,2.28265,2.282735
4.5e-07,2.29705,2.2817,2.289375
4.6e-07,2.29685,2.28538,2.291115
4.7e-07,2.30389,2.28066,2.292275
4.8e-07,2.29783,2.2821,2.289965
4.9e-07,2.29852,2.28251,2.290515
5e-07,2.2964,2.28728,2.29184
5.1e-07,2.28823,2.29078,2.289505
5.200000000000001e-07,2.28835,2.28921,2.28878
5.3e-07,2.29177,2.28433,2.28805
5.4e-07,2.2923,2.2873,2.2898
5.5e-07,2.28979,2.29146,2.290625
5.6e-07,2.29305,2.29868,2.295865
5.699999999999999e-07,2.29666,2.28814,2.2924
5.8e-07,2.30307,2.29379,2.29843
5.9e-07,2.29495,2.29759,2.29627
6e-07,2.30089,2.29727,2.29908
6.1e-07,2.29132,2.29482,2.29307
6.2e-07,2.29163,2.28738,2.289505
6.3e-07,2.29237,2.29444,2.293405
6.4e-07,2.29583,2.29073,2.29328
6.499999999999999e-07,2.29422,2.29939,2.296805
6.6e-07,2.28228,2.29295,2.287615
6.7e-07,2.28509,2.29484,2.289965
6.800000000000001e-07,2.29172,2.29953,2.295625
6.9e-07,2.29188,2.2925,2.29219
7e-07,2.29109,2.30178,2.296435
7.099999999999999e-07,2.2892,2.3063,2.29775
7.2e-07,2.29162,2.31513,2.303375
7.3e-07,2.29175,2.30569,2.29872
7.4e-07,2.29403,2.29661,2.29532
7.5e-07,2.29621,2.29585,2.29603
7.6e-07,2.29384,2.30242,2.29813
7.7e-07,2.29613,2.29472,2.295425
7.799999999999999e-07,2.29419,2.29553,2.29486
7.900000000000001e-07,2.29769,2.29566,2.296675
8.000000000000001e-07,2.29292,2.30187,2.297395
8.100000000000001e-07,2.29327,2.30202,2.297645
8.2e-07,2.30096,2.29407,2.297515
8.3e-07,2.28973,2.29756,2.293645
8.399999999999999e-07,2.28455,2.29217,2.28836
8.499999999999999e-07,2.29112,2.29364,2.29238
8.6e-07,2.28921,2.30364,2.296425
8.7e-07,2.29191,2.29797,2.29494
8.8e-07,2.2877,2.30078,2.29424
8.900000000000001e-07,2.28877,2.30439,2.29658
9e-07,2.28576,2.30015,2.292955
9.1e-07,2.28723,2.30717,2.2972
9.2e-07,2.29405,2.30227,2.29816
9.300000000000001e-07,2.30015,2.30361,2.30188
9.4e-07,2.29866,2.29589,2.297275
9.5e-07,2.28968,2.30367,2.296675
9.6e-07,2.28757,2.30216,2.294865
9.7e-07,2.29191,2.30581,2.29886
9.8e-07,2.29117,2.30263,2.2969
9.9e-07,2.29405,2.30069,2.29737
1e-06,2.29117,2.3074,2.299285
1.01e-06,2.29397,2.30829,2.30113
1.02e-06,2.2862,2.31279,2.299495
1.03e-06,2.28325,2.30068,2.291965
1.0400000000000002e-06,2.29285,2.31207,2.30246
1.0500000000000001e-06,2.28821,2.30413,2.29617
1.06e-06,2.29388,2.29395,2.293915
1.07e-06,2.2978,2.30996,2.30388
1.08e-06,2.28925,2.30684,2.298045
1.09e-06,2.29075,2.30169,2.29622
1.1e-06,2.28742,2.30159,2.294505
1.1100000000000002e-06,2.28788,2.30672,2.2973
1.12e-06,2.29122,2.30419,2.297705
1.13e-06,2.28754,2.30407,2.295805
1.1399999999999999e-06,2.28783,2.31536,2.301595
1.15e-06,2.2861,2.31397,2.300035
1.16e-06,2.29167,2.302,2.296835
1.17e-06,2.29431,2.30631,2.30031
1.18e-06,2.28899,2.30309,2.29604
1.1899999999999998e-06,2.2932,2.30804,2.30062
1.2e-06,2.29723,2.29787,2.29755
1.2099999999999998e-06,2.29158,2.30097,2.296275
1.22e-06,2.29435,2.30261,2.29848
1.2299999999999999e-06,2.28875,2.29676,2.292755
1.24e-06,2.29089,2.29859,2.29474
1.25e-06,2.28984,2.29823,2.294035
1.26e-06,2.29655,2.30013,2.29834
1.2700000000000001e-06,2.29105,2.29651,2.29378
1.28e-06,2.29898,2.29912,2.29905
1.2900000000000001e-06,2.29296,2.29869,2.295825
1.2999999999999998e-06,2.2873,2.30354,2.29542
1.31e-06,2.2876,2.29986,2.29373
1.32e-06,2.29281,2.30562,2.299215
1.33e-06,2.28701,2.30206,2.294535
1.34e-06,2.28476,2.30785,2.296305
1.35e-06,2.28642,2.30526,2.29584
1.3600000000000001e-06,2.28388,2.30535,2.294615
1.3700000000000002e-06,2.28419,2.30714,2.295665
1.38e-06,2.28904,2.30613,2.297585
1.39e-06,2.28427,2.29788,2.291075
1.4e-06,2.28682,2.3079,2.29736
1.41e-06,2.284,2.30176,2.29288
1.4199999999999997e-06,2.29036,2.30065,2.295505
1.4299999999999999e-06,2.28573,2.30281,2.29427
1.44e-06,2.28986,2.29956,2.29471
1.4499999999999999e-06,2.29652,2.29929,2.297905
1.46e-06,2.29393,2.30712,2.300525
