Time/Residue,AFR4_R1.xvg,AFR4_R2.xvg,Average
0.0,0.000497,0.0004959,0.00049645
0.01,0.086028,0.0902315,0.08812975
0.02,0.0962742,0.103624,0.0999491
0.03,0.1074281,0.1072787,0.1073534
0.04,0.1186466,0.1142574,0.116452
0.05,0.1126693,0.1118838,0.11227655
0.06,0.1154856,0.1198331,0.11765935
0.07,0.1304795,0.1170252,0.12375235
0.08,0.1291692,0.1143781,0.12177365
0.09,0.1245397,0.1182572,0.12139845
0.1,0.1217736,0.1158336,0.1188036
0.11,0.1319353,0.1254651,0.1287002
0.12,0.1284668,0.1242083,0.12633755
0.13,0.1259625,0.1290625,0.1275125
0.14,0.131505,0.1327414,0.1321232
0.15,0.1247332,0.1306012,0.1276672
0.16,0.1319782,0.1279858,0.129982
0.17,0.1317366,0.1356876,0.1337121
0.18,0.1385973,0.1491697,0.1438835
0.19,0.1286642,0.1448415,0.13675285
0.2,0.1263649,0.15052,0.13844245
0.21,0.1374963,0.1432542,0.14037525
0.22,0.1371612,0.1488123,0.14298675
0.23,0.1287307,0.1606592,0.14469495
0.24,0.1285468,0.166721,0.1476339
0.25,0.1387599,0.1739913,0.1563756
0.26,0.1356269,0.1779234,0.15677515
0.27,0.1374214,0.1668767,0.15214905
0.28,0.1333669,0.1740485,0.1537077
0.29,0.127603,0.17395,0.1507765
0.3,0.1376829,0.1769448,0.15731385
0.31,0.1414052,0.1614203,0.15141275
0.32,0.1413898,0.1667986,0.1540942
0.33,0.141391,0.1714202,0.1564056
0.34,0.1435988,0.1773765,0.16048765
0.35,0.1377403,0.1793469,0.1585436
0.36,0.1464262,0.1675221,0.15697415
0.37,0.1552332,0.1772734,0.1662533
0.38,0.1494159,0.1643464,0.15688115
0.39,0.1360082,0.1721276,0.1540679
0.4,0.1429069,0.1740317,0.1584693
0.41,0.145875,0.1800778,0.1629764
0.42,0.144415,0.178579,0.161497
0.43,0.1602169,0.1853922,0.17280455
0.44,0.1487842,0.1782354,0.1635098
0.45,0.1477475,0.1841365,0.165942
0.46,0.1475241,0.1946907,0.1711074
0.47,0.1517102,0.1965463,0.17412825
0.48,0.1628462,0.1874836,0.1751649
0.49,0.1553368,0.1869087,0.17112275
0.5,0.1615928,0.180064,0.1708284
0.5100001,0.1764492,0.1966572,0.1865532
0.52,0.1745017,0.1910601,0.1827809
0.53,0.1584529,0.1925423,0.1754976
0.54,0.1667338,0.1999594,0.1833466
0.55,0.1574349,0.1963305,0.1768827
0.56,0.1625282,0.1902731,0.17640065
0.5700001,0.1603728,0.1961048,0.1782388
0.58,0.1662372,0.2070414,0.1866393
0.59,0.1734563,0.2020222,0.18773925
0.6,0.174792,0.202274,0.188533
0.61,0.1640941,0.1974868,0.18079045
0.62,0.175365,0.1916271,0.18349605
0.6300001,0.1680871,0.196064,0.18207555
0.64,0.1652656,0.1952278,0.1802467
0.65,0.170602,0.1813282,0.1759651
0.66,0.1715231,0.1921087,0.1818159
0.67,0.170661,0.1860314,0.1783462
0.68,0.1687398,0.1897291,0.17923445
0.6900001,0.169677,0.1920926,0.1808848
0.7,0.1761127,0.198406,0.18725935
0.71,0.1706598,0.1925994,0.1816296
0.72,0.1816148,0.1918784,0.1867466
0.73,0.1867979,0.1832367,0.1850173
0.74,0.177986,0.1941315,0.18605875
0.7500001,0.1691919,0.1958714,0.18253165
0.7600001,0.1674796,0.1963906,0.1819351
0.77,0.1730625,0.1902269,0.1816447
