GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,1595.23,3900.4,4678.16,439.1,275.21,-6.42,-3572.27,-28185.87,1542.05,17846.65,-5088.98,160.83,-1487.75,-4928.15,-6415.91
6,1614.06,3966.56,4644.43,455.17,219.27,-20.64,-3456.4,-27968.01,1499.01,17844.8,-5307.74,178.55,-1201.75,-5129.19,-6330.94
11,1623.04,3957.59,4606.23,457.6,242.2,-17.13,-3433.38,-27950.54,1497.07,17771.32,-5306.26,180.71,-1246.0,-5125.55,-6371.55
16,1645.74,3954.57,4604.57,440.52,239.24,-37.07,-3444.77,-28038.96,1483.71,17853.92,-5316.44,180.77,-1298.52,-5135.66,-6434.18
21,1681.41,3971.3,4608.38,454.24,247.12,-58.41,-3474.48,-28134.85,1494.94,17824.04,-5224.39,180.84,-1386.3,-5043.55,-6429.85
26,1572.48,3886.86,4648.7,444.49,231.13,-34.72,-3463.5,-28050.79,1540.88,17833.59,-5236.53,182.75,-1390.88,-5053.78,-6444.66
31,1615.79,3934.18,4608.04,457.19,242.64,-32.01,-3454.12,-28078.09,1507.46,17752.65,-5202.71,181.81,-1446.28,-5020.91,-6467.19
36,1639.77,4009.86,4613.52,468.46,248.13,-57.87,-3382.89,-28193.41,1512.33,17913.97,-5257.73,184.25,-1228.15,-5073.48,-6301.63
41,1619.29,3997.76,4643.52,448.05,247.65,-50.18,-3431.2,-28135.25,1512.45,17813.07,-5220.81,183.11,-1334.84,-5037.7,-6372.55
46,1636.26,3960.15,4613.2,446.57,268.26,-79.1,-3405.52,-28105.33,1522.86,17822.89,-5262.59,184.44,-1319.75,-5078.16,-6397.91
51,1585.73,3885.43,4670.86,450.5,241.43,-32.78,-3451.12,-28157.74,1507.71,17893.48,-5221.9,180.99,-1406.51,-5040.91,-6447.42
56,1650.63,3928.56,4644.43,443.01,241.34,-56.62,-3399.23,-28170.19,1503.05,17874.75,-5240.65,181.9,-1340.27,-5058.74,-6399.01
61,1621.4,3871.0,4616.66,448.72,249.67,-60.76,-3449.41,-28232.0,1492.69,17897.44,-5230.49,182.61,-1544.59,-5047.89,-6592.48
66,1670.08,3892.46,4622.87,453.78,254.32,-66.42,-3428.57,-28244.49,1517.62,17860.99,-5154.18,180.86,-1467.35,-4973.32,-6440.66
71,1639.8,3867.89,4627.93,443.38,215.15,-82.46,-3386.28,-28033.21,1520.84,17852.77,-5331.07,183.93,-1334.18,-5147.14,-6481.32
76,1619.07,3924.25,4598.36,446.69,255.84,-41.03,-3445.92,-27898.27,1480.61,17836.37,-5424.01,183.6,-1224.03,-5240.41,-6464.44
81,1636.7,3859.49,4624.09,445.96,224.98,-39.34,-3444.77,-28133.94,1512.21,17905.65,-5236.66,179.13,-1408.97,-5057.53,-6466.5
86,1620.78,3859.34,4607.27,450.36,229.83,-53.54,-3409.78,-28172.56,1453.61,17922.66,-5217.2,181.93,-1492.04,-5035.27,-6527.31
91,1656.89,3935.2,4589.79,441.75,246.05,-59.75,-3472.87,-28051.55,1509.11,17860.45,-5310.06,182.91,-1344.93,-5127.15,-6472.08
96,1618.17,3865.77,4564.18,444.74,240.43,-61.2,-3388.41,-28204.54,1541.32,17914.77,-5234.76,185.99,-1464.78,-5048.76,-6513.54
101,1631.23,3903.4,4643.15,440.28,212.1,-77.56,-3435.38,-28132.89,1506.18,17871.86,-5259.47,183.75,-1437.62,-5075.72,-6513.34
106,1635.05,3930.32,4629.79,447.32,241.03,-63.99,-3446.51,-28022.59,1510.49,17928.22,-5383.45,187.13,-1210.87,-5196.32,-6407.18
111,1618.99,3959.46,4659.07,449.72,237.77,-77.83,-3455.81,-27759.86,1477.55,17857.9,-5541.58,187.88,-1033.04,-5353.71,-6386.75
116,1661.27,3874.16,4576.28,455.57,242.64,-41.79,-3422.95,-27840.1,1510.96,17915.04,-5542.47,190.09,-1068.92,-5352.38,-6421.3
121,1604.27,3936.76,4640.73,446.56,230.24,-67.44,-3453.41,-27904.32,1506.34,17871.31,-5441.01,186.61,-1188.96,-5254.41,-6443.36
126,1598.42,3889.44,4540.05,437.21,230.17,-77.7,-3387.21,-27928.09,1503.07,17987.2,-5485.44,187.37,-1207.44,-5298.07,-6505.51
131,1629.99,3914.5,4558.7,450.41,228.36,-55.38,-3441.57,-27921.32,1509.13,17925.09,-5455.08,185.68,-1202.1,-5269.4,-6471.5
136,1652.09,3890.63,4606.77,439.34,259.66,-65.79,-3388.15,-27971.74,1495.41,17873.74,-5426.39,189.16,-1208.03,-5237.23,-6445.26
141,1604.97,3852.61,4610.42,446.98,253.13,-52.84,-3419.59,-28004.59,1511.03,17903.73,-5408.85,184.9,-1294.16,-5223.95,-6518.1
146,1678.46,3895.78,4616.53,449.21,233.64,-57.2,-3415.81,-27908.0,1523.09,17799.61,-5456.1,184.55,-1184.68,-5271.55,-6456.24
151,1642.01,3906.12,4589.5,466.1,246.11,-61.1,-3424.86,-27957.04,1492.54,17863.68,-5416.15,185.57,-1236.94,-5230.58,-6467.52
156,1635.41,3931.29,4645.58,456.67,245.23,-65.1,-3438.31,-28002.17,1521.61,17853.39,-5320.57,182.91,-1216.41,-5137.66,-6354.07
161,1611.31,3910.81,4626.49,458.75,228.4,-74.17,-3448.46,-27948.32,1528.7,17883.53,-5383.97,185.29,-1222.97,-5198.68,-6421.65
166,1615.07,3884.25,4607.58,431.85,214.97,-59.89,-3459.48,-27957.62,1510.38,17843.66,-5347.46,182.48,-1369.22,-5164.98,-6534.21
171,1655.35,3901.88,4583.67,441.53,223.15,-48.91,-3423.95,-28045.05,1482.7,17943.67,-5422.61,187.03,-1285.96,-5235.58,-6521.54
176,1627.3,3875.06,4571.19,429.54,245.63,-56.78,-3418.02,-28175.19,1540.19,17941.88,-5308.0,188.34,-1419.22,-5119.66,-6538.87
181,1595.32,3934.19,4612.16,463.47,225.37,-66.04,-3433.92,-27914.42,1532.39,17785.59,-5410.99,190.13,-1265.88,-5220.86,-6486.74
186,1588.29,3937.35,4618.25,438.29,225.9,-42.32,-3427.52,-28035.18,1536.87,17852.8,-5366.67,184.79,-1307.26,-5181.87,-6489.14
191,1550.17,3917.42,4555.18,441.23,216.58,-60.32,-3445.45,-28114.34,1524.78,17942.78,-5346.76,185.78,-1471.97,-5160.98,-6632.95
196,1579.1,3909.63,4612.28,457.24,250.28,-39.77,-3446.69,-28192.61,1509.84,17974.38,-5254.58,185.9,-1386.32,-5068.67,-6454.99
201,1631.52,3917.27,4645.55,442.16,252.62,-71.15,-3369.26,-28144.5,1489.6,17883.06,-5315.85,188.8,-1323.14,-5127.06,-6450.19
206,1607.48,3991.42,4628.42,450.33,241.53,-70.36,-3430.55,-28084.67,1501.56,17971.1,-5405.78,185.83,-1193.72,-5219.95,-6413.68
211,1584.18,3872.4,4600.03,459.93,228.43,-48.08,-3416.81,-28026.66,1511.88,17996.55,-5482.17,189.84,-1238.14,-5292.33,-6530.47
216,1625.38,3868.4,4636.39,445.29,257.38,-55.25,-3442.16,-28056.63,1534.68,17897.09,-5328.73,188.19,-1289.43,-5140.54,-6429.97
221,1593.79,3943.48,4601.08,449.89,251.04,-74.61,-3368.23,-28076.43,1492.84,17778.66,-5301.73,186.77,-1408.49,-5114.96,-6523.45
226,1609.2,3790.47,4597.56,434.5,223.02,-105.48,-3412.53,-28118.73,1536.83,17944.44,-5336.23,186.21,-1500.72,-5150.01,-6650.74
231,1643.99,3873.16,4595.0,450.42,238.55,-65.25,-3404.1,-28135.64,1509.38,17888.09,-5312.72,187.41,-1406.41,-5125.31,-6531.72
236,1621.21,3958.03,4606.63,457.95,231.49,-65.62,-3428.24,-28017.26,1524.84,17916.19,-5383.93,185.33,-1194.78,-5198.6,-6393.38
241,1637.5,3949.11,4598.05,446.72,238.71,-62.13,-3418.4,-28185.79,1484.89,17842.69,-5239.0,189.68,-1468.65,-5049.32,-6517.96
246,1610.76,3928.82,4633.0,436.53,259.46,-63.92,-3387.62,-28286.49,1529.76,17899.67,-5186.66,190.18,-1440.02,-4996.47,-6436.5
251,1591.22,3938.95,4610.4,449.22,237.89,-58.63,-3420.99,-27942.4,1476.2,17789.27,-5390.56,191.85,-1328.88,-5198.71,-6527.59
256,1542.63,3930.33,4622.43,439.05,251.69,-77.79,-3418.88,-28177.87,1522.54,17959.66,-5308.27,187.37,-1406.22,-5120.9,-6527.13
261,1587.27,3830.71,4597.04,439.81,219.29,-79.42,-3403.43,-28118.9,1524.28,17990.6,-5369.43,188.15,-1412.75,-5181.28,-6594.03
266,1588.89,3904.62,4603.28,430.95,239.58,-73.47,-3383.82,-27818.19,1509.4,17892.2,-5547.18,192.46,-1106.54,-5354.72,-6461.26
271,1666.73,3921.92,4547.05,460.34,209.71,-36.39,-3434.04,-27767.33,1508.44,17894.64,-5635.26,191.23,-1028.94,-5444.03,-6472.97
276,1630.14,3871.07,4596.15,459.55,247.9,-95.39,-3406.17,-27766.75,1498.02,17827.11,-5561.55,188.26,-1138.38,-5373.29,-6511.67
281,1591.38,3943.02,4614.92,463.54,247.97,-75.29,-3432.87,-27854.59,1512.34,17826.07,-5477.93,189.52,-1163.51,-5288.41,-6451.92
286,1624.87,3977.41,4603.19,453.37,245.95,-85.82,-3402.44,-27971.75,1498.8,17841.39,-5407.58,187.06,-1215.01,-5220.52,-6435.53
291,1617.81,4000.43,4640.23,460.35,237.81,-80.07,-3427.58,-28022.36,1498.62,17792.77,-5309.18,184.06,-1281.98,-5125.13,-6407.1
296,1603.91,3800.37,4596.31,441.9,252.21,-98.15,-3383.33,-27993.33,1509.84,17921.88,-5438.54,188.1,-1348.39,-5250.45,-6598.83
301,1575.79,3830.08,4591.46,446.01,239.29,-63.38,-3414.48,-28048.81,1537.83,17892.18,-5341.28,187.14,-1414.04,-5154.14,-6568.18
306,1655.19,3935.41,4615.52,440.91,243.79,-65.3,-3435.1,-27877.86,1516.27,17799.74,-5418.13,186.03,-1171.42,-5232.1,-6403.52
311,1598.03,3895.13,4652.26,448.86,253.16,-48.87,-3366.78,-27988.48,1494.79,17914.89,-5381.02,186.33,-1146.99,-5194.68,-6341.67
316,1684.48,3856.29,4639.27,456.54,228.42,-90.19,-3375.18,-27925.03,1493.37,17870.94,-5487.17,188.12,-1161.12,-5299.04,-6460.16
321,1596.33,3879.83,4586.33,444.8,257.62,-69.02,-3453.48,-27822.95,1517.33,17886.69,-5569.08,188.99,-1176.52,-5380.1,-6556.62
326,1619.04,3809.53,4599.32,442.16,226.62,-85.25,-3399.52,-27972.48,1494.92,17964.98,-5469.95,190.95,-1300.69,-5279.0,-6579.69
331,1578.41,3937.06,4594.57,439.87,244.02,-77.96,-3379.99,-27978.99,1509.47,17858.2,-5427.46,190.32,-1275.35,-5237.14,-6512.5
336,1612.73,4022.46,4588.16,445.04,257.5,-88.46,-3413.61,-27651.06,1516.24,17834.99,-5702.73,191.8,-876.01,-5510.93,-6386.95
341,1590.07,3862.73,4659.75,443.69,252.79,-64.16,-3429.66,-27732.8,1515.11,17868.43,-5568.74,187.06,-1034.04,-5381.69,-6415.73
346,1629.0,3825.69,4633.49,446.9,232.72,-95.06,-3391.95,-27957.86,1482.94,17823.9,-5452.73,189.88,-1370.23,-5262.85,-6633.09
351,1629.17,3897.88,4606.58,431.85,224.25,-61.89,-3423.75,-27976.85,1541.31,17876.24,-5409.03,188.51,-1255.22,-5220.52,-6475.73
356,1619.12,3951.26,4631.37,460.57,229.01,-78.0,-3398.61,-27913.82,1535.77,17767.08,-5423.83,188.75,-1196.26,-5235.07,-6431.34
361,1573.31,3957.17,4606.15,451.78,236.37,-85.84,-3421.7,-27861.63,1517.76,17922.62,-5548.18,188.56,-1104.0,-5359.62,-6463.63
366,1574.08,3942.89,4629.19,444.98,241.3,-67.71,-3415.1,-27889.87,1492.26,17791.2,-5442.69,189.35,-1256.79,-5253.34,-6510.13
371,1580.15,3974.69,4569.68,448.33,223.07,-70.94,-3447.5,-27863.85,1506.47,17715.79,-5407.48,187.05,-1364.11,-5220.43,-6584.54
376,1715.08,3934.85,4590.23,444.24,240.63,-73.88,-3405.5,-27798.39,1512.51,17732.25,-5510.24,187.7,-1107.99,-5322.54,-6430.53
381,1657.1,3934.77,4584.85,468.16,255.6,-84.3,-3393.17,-27682.68,1525.11,17767.37,-5581.05,192.36,-967.2,-5388.69,-6355.89
386,1666.76,3958.46,4592.74,477.84,225.67,-98.82,-3389.14,-27669.33,1504.26,17694.88,-5600.35,191.0,-1036.7,-5409.35,-6446.05
391,1643.85,3881.72,4595.68,440.45,238.02,-87.53,-3409.97,-27739.32,1530.66,17776.78,-5619.34,190.42,-1129.68,-5428.92,-6558.59
396,1662.14,3870.48,4582.39,444.58,237.46,-51.12,-3398.26,-27839.41,1485.62,17776.78,-5490.6,193.65,-1229.34,-5296.95,-6526.29
401,1602.41,3824.21,4623.48,440.29,253.72,-50.33,-3389.87,-27825.41,1515.65,17760.8,-5497.2,192.94,-1245.05,-5304.26,-6549.31
406,1640.65,3843.74,4601.16,446.16,241.84,-73.07,-3413.51,-27764.23,1510.68,17786.96,-5540.53,191.45,-1179.62,-5349.09,-6528.71
411,1595.46,3989.16,4617.68,438.77,243.42,-82.0,-3413.1,-27802.04,1504.12,17771.77,-5509.41,190.11,-1136.77,-5319.31,-6456.08
