Time/Residue,AFR5_R1.xvg,hbonds_md_A4482_R2.xvg
0.0,3.0,4.0
0.01,2.0,2.0
0.02,2.0,3.0
0.03,3.0,4.0
0.04,2.0,4.0
0.05,2.0,4.0
0.06,2.0,2.0
0.07,1.0,4.0
0.08,2.0,3.0
0.09,2.0,6.0
0.1,2.0,5.0
0.11,2.0,3.0
0.12,2.0,5.0
0.13,3.0,4.0
0.14,2.0,4.0
0.15,2.0,5.0
0.16,0.0,5.0
0.17,2.0,5.0
0.18,2.0,5.0
0.19,3.0,3.0
0.2,1.0,5.0
0.21,3.0,3.0
0.22,3.0,4.0
0.23,3.0,3.0
0.24,0.0,3.0
0.25,2.0,4.0
0.26,3.0,3.0
0.27,2.0,3.0
0.28,1.0,4.0
0.29,2.0,4.0
0.3,3.0,5.0
0.31,3.0,4.0
0.32,3.0,3.0
0.33,2.0,6.0
0.34,3.0,5.0
0.35,1.0,4.0
0.36,3.0,4.0
0.37,2.0,5.0
0.38,2.0,4.0
0.39,2.0,5.0
0.4,0.0,5.0
0.41,1.0,5.0
0.42,1.0,6.0
0.43,2.0,4.0
0.44,2.0,6.0
0.45,1.0,4.0
0.46,1.0,6.0
0.47,3.0,4.0
0.48,1.0,4.0
0.49,3.0,4.0
0.5,2.0,5.0
0.51,1.0,5.0
0.52,2.0,5.0
0.53,1.0,5.0
0.54,4.0,5.0
0.55,2.0,3.0
0.56,3.0,4.0
0.57,2.0,4.0
0.58,2.0,4.0
0.59,2.0,6.0
0.6,2.0,4.0
0.61,1.0,5.0
0.62,2.0,4.0
0.63,3.0,6.0
0.64,1.0,3.0
0.65,3.0,5.0
0.66,2.0,6.0
0.67,3.0,5.0
0.68,3.0,6.0
0.69,2.0,5.0
0.7,1.0,6.0
0.71,2.0,4.0
0.72,3.0,4.0
0.73,2.0,6.0
0.74,3.0,4.0
0.75,3.0,4.0
0.76,3.0,5.0
0.77,2.0,4.0
0.78,4.0,3.0
0.79,4.0,6.0
0.8,4.0,5.0
0.81,2.0,6.0
0.82,3.0,5.0
0.83,2.0,6.0
0.84,1.0,7.0
0.85,2.0,5.0
0.86,2.0,6.0
0.87,2.0,6.0
0.88,2.0,5.0
0.89,3.0,6.0
0.9,2.0,5.0
0.91,3.0,5.0
0.92,4.0,6.0
0.93,2.0,4.0
0.94,2.0,4.0
0.95,2.0,5.0
0.96,1.0,4.0
0.97,3.0,4.0
0.98,1.0,4.0
0.99,2.0,4.0
1.0,2.0,4.0
1.01,2.0,4.0
1.02,1.0,3.0
1.03,3.0,5.0
1.04,2.0,6.0
1.05,2.0,5.0
