Time/Residue,AFR5_R1.xvg,rmsd_ligand_md_A4482_R2.xvg
0.0,0.000508,0.000498
0.01,0.0807445,0.0484598
0.02,0.0785096,0.0728894
0.03,0.0895844,0.0537744
0.04,0.1173202,0.0764642
0.05,0.1049204,0.0748905
0.06,0.1503063,0.1008386
0.07,0.0989857,0.11538
0.08,0.1066184,0.1208266
0.09,0.1588933,0.1230671
0.1,0.1388927,0.1209618
0.11,0.1860796,0.1091921
0.12,0.185269,0.1036477
0.13,0.1950272,0.1239458
0.14,0.1704058,0.1292219
0.15,0.2021566,0.1376036
0.16,0.1972128,0.1117961
0.17,0.1815996,0.1207947
0.18,0.2089926,0.1228178
0.19,0.192337,0.1001948
0.2,0.1967686,0.0909087
0.21,0.2096391,0.1191012
0.22,0.2148321,0.1038925
0.23,0.2052147,0.1165214
0.24,0.2042101,0.0980203
0.25,0.2215694,0.1258682
0.26,0.1895302,0.1089553
0.27,0.1974393,0.1261232
0.28,0.1944762,0.1235225
0.29,0.1989171,0.10986
0.3,0.186299,0.1031075
0.31,0.2222575,0.1056411
0.32,0.1944783,0.1155941
0.33,0.1965435,0.1011025
0.34,0.1925588,0.114631
0.35,0.1884872,0.1122312
0.36,0.2071799,0.1162911
0.37,0.2117525,0.1057333
0.38,0.1939042,0.1240886
0.39,0.2200155,0.1277298
0.4,0.2274545,0.1290506
0.41,0.2112001,0.1124654
0.42,0.2086837,0.1181112
0.43,0.2233077,0.1188827
0.44,0.2121727,0.1209865
0.45,0.2133029,0.1164664
0.46,0.1972757,0.1197967
0.47,0.2001168,0.106057
0.48,0.2133929,0.1226403
0.49,0.2436463,0.1277325
0.5,0.2005206,0.1170391
0.5100001,0.2222686,0.1291404
0.52,0.2147588,0.1191237
0.53,0.1971888,0.1130657
0.54,0.2112975,0.1259612
0.55,0.1694179,0.1217708
0.56,0.1603763,0.1228122
0.5700001,0.1561453,0.1077471
0.58,0.1599286,0.1073478
0.59,0.1650974,0.1262498
0.6,0.1500705,0.1173787
0.61,0.1419821,0.1351558
0.62,0.1410622,0.1071478
0.6300001,0.1460419,0.1157226
0.64,0.1475117,0.1183945
0.65,0.1332767,0.1446101
0.66,0.148955,0.1291056
0.67,0.1614981,0.1129725
0.68,0.152579,0.1432845
0.6900001,0.1544342,0.1252737
0.7,0.1260231,0.1255749
0.71,0.136192,0.1076231
0.72,0.1355509,0.0974273
0.73,0.1738037,0.1264854
0.74,0.1600679,0.0966924
0.7500001,0.1645052,0.1089479
0.7600001,0.1560659,0.120751
0.77,0.1827268,0.1105334
0.78,0.1907139,0.1154218
0.79,0.1654238,0.1314609
0.8,0.1808401,0.1256417
0.8100001,0.1544591,0.1349678
0.8200001,0.1652498,0.1221814
0.83,0.14399,0.1256875
0.84,0.156753,0.1232651
0.85,0.1745427,0.1215243
0.86,0.137709,0.1170749
0.8700001,0.1518342,0.1239203
0.8800001,0.1608214,0.1307272
0.89,0.1591365,0.1200489
0.9,0.1582787,0.139639
0.91,0.1505397,0.1308476
0.92,0.1424662,0.1336779
0.9300001,0.1494569,0.1360495
0.9400001,0.1619148,0.1277492
0.95,0.1528672,0.1291887
0.96,0.1557246,0.1226368
0.97,0.1538535,0.1059018
0.98,0.163031,0.1032078
0.9900001,0.1639372,0.1077537
1.0,0.1844413,0.0919238
1.01,0.1685323,0.1135153
1.0200001,0.1767292,0.1203163
1.0300001,0.1668314,0.112562
1.0400001,0.1506276,0.1039202
1.0500001,0.1486146,0.1204329
1.0600001,0.155217,0.1230734
1.0700001,0.1509693,0.1146441
1.08,0.182624,0.1107501
1.09,0.1425775,0.0913525
1.1,0.1502825,0.1476338
1.11,0.1627067,0.1334408
1.12,0.1585531,0.1467183
1.13,0.1691836,0.1304204
1.1400001,0.1651268,0.1409719
1.1500001,0.17691,0.143254
1.1600001,0.1735879,0.1522918
1.1700001,0.1714346,0.1456577
1.1800001,0.1530469,0.1147589
1.1900001,0.1771922,0.1166039
1.2,0.1581584,0.1482877
1.21,0.1571259,0.1249729
1.22,0.154567,0.1242046
1.23,0.1523212,0.12784
1.24,0.1751272,0.1364487
1.25,0.1867554,0.1417389
1.2600001,0.1401177,0.1415952
