Time/Residue,AFR5_R1.xvg,RoG_md_A4482_R2.xvg
0.0,2.25035,2.25065
0.01,2.27359,2.27094
0.02,2.28399,2.27619
0.03,2.28234,2.27779
0.04,2.27939,2.2842
0.05,2.2829,2.27546
0.06,2.28487,2.28325
0.07,2.28491,2.29499
0.08,2.28144,2.28431
0.09,2.27775,2.28085
0.1,2.28851,2.27178
0.11,2.28272,2.28252
0.12,2.28199,2.28206
0.13,2.28444,2.27828
0.14,2.28822,2.28523
0.15,2.28165,2.27637
0.16,2.28284,2.28347
0.17,2.2891,2.27003
0.18,2.29146,2.28049
0.19,2.28989,2.28304
0.2,2.29019,2.27409
0.21,2.28909,2.28476
0.22,2.28661,2.28225
0.23,2.29166,2.28593
0.24,2.28648,2.28649
0.25,2.29134,2.28241
0.26,2.2919,2.27937
0.27,2.28113,2.27732
0.28,2.28385,2.28612
0.29,2.27808,2.28529
0.3,2.28337,2.29039
0.31,2.28271,2.28479
0.32,2.28184,2.28689
0.33,2.28692,2.30041
0.34,2.29195,2.28831
0.35,2.2924,2.29253
0.36,2.28902,2.28848
0.37,2.29367,2.29129
0.38,2.27912,2.2949
0.39,2.28475,2.2932
0.4,2.28615,2.29196
0.41,2.29741,2.29047
0.42,2.29103,2.298
0.43,2.29723,2.30032
0.44,2.2892,2.30276
0.45,2.28678,2.29997
0.46,2.29192,2.2969
0.47,2.30082,2.29511
0.48,2.30421,2.30214
0.49,2.30118,2.29866
0.5,2.28941,2.28858
0.51,2.29386,2.29724
0.52,2.29629,2.29918
0.53,2.29066,2.29755
0.54,2.2894,2.28937
0.55,2.28398,2.29837
0.56,2.29203,2.29267
0.57,2.28698,2.29769
0.58,2.2969,2.29995
0.59,2.30138,2.30705
0.6,2.28803,2.29528
0.61,2.29316,2.29871
0.62,2.2905,2.30281
0.63,2.2887,2.31115
0.64,2.28711,2.30382
0.65,2.29107,2.29523
0.66,2.27916,2.30321
0.67,2.28547,2.30534
0.68,2.29355,2.29408
0.69,2.28796,2.30224
0.7,2.29178,2.31314
0.71,2.28362,2.29726
0.72,2.28275,2.30511
0.73,2.28423,2.30425
0.74,2.28224,2.30947
