GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,1547.16,3870.48,4678.37,452.77,231.58,-41.74,-3520.28,-28474.96,1538.46,18297.14,-5008.57,164.1,-1421.02,-4844.46,-6265.48
6,1634.03,4002.3,4611.61,443.24,239.83,-49.16,-3418.41,-28092.77,1487.82,18124.85,-5338.9,184.62,-1016.65,-5154.28,-6170.93
11,1634.12,3809.44,4609.75,448.5,248.58,-40.84,-3408.51,-28117.4,1521.82,18316.15,-5464.01,183.89,-978.39,-5280.12,-6258.51
16,1562.31,3905.19,4625.54,438.91,240.74,-54.85,-3443.91,-28255.16,1501.05,18294.0,-5341.19,180.76,-1186.19,-5160.43,-6346.62
21,1643.35,3948.1,4608.45,458.92,236.29,-62.38,-3426.51,-28232.81,1486.25,18273.93,-5346.75,181.53,-1066.41,-5165.22,-6231.63
26,1558.61,3881.7,4635.59,443.41,238.69,-38.73,-3409.17,-28245.47,1526.72,18340.75,-5408.29,181.8,-1067.9,-5226.49,-6294.38
31,1552.96,3923.98,4595.71,437.15,247.11,-59.37,-3395.14,-28203.34,1520.47,18252.7,-5345.42,183.08,-1127.77,-5162.34,-6290.11
36,1554.71,3833.95,4599.15,442.24,230.73,-47.14,-3416.8,-28258.41,1523.56,18343.22,-5356.84,182.71,-1194.8,-5174.14,-6368.93
41,1669.83,3947.65,4573.69,437.83,239.07,-39.14,-3405.61,-28341.21,1484.68,18164.33,-5220.82,182.16,-1268.86,-5038.66,-6307.53
46,1636.58,3902.61,4639.16,430.14,248.21,-70.84,-3407.29,-28177.71,1477.51,18160.41,-5320.71,180.39,-1161.22,-5140.32,-6301.54
51,1641.94,3894.8,4589.08,447.3,246.92,-33.78,-3427.32,-28239.84,1493.71,18185.11,-5288.61,183.53,-1202.1,-5105.08,-6307.18
56,1589.75,3943.95,4623.0,452.29,248.3,-94.32,-3389.81,-28311.73,1476.65,18227.15,-5279.17,183.14,-1234.76,-5096.04,-6330.79
61,1594.81,3904.32,4677.13,456.69,242.06,-84.52,-3420.32,-28197.51,1515.3,18125.15,-5288.6,180.92,-1186.9,-5107.69,-6294.59
66,1564.4,3895.46,4625.39,460.84,231.12,-44.03,-3442.12,-28277.71,1535.27,18254.34,-5309.31,176.47,-1197.03,-5132.85,-6329.88
71,1649.49,3921.81,4620.53,428.9,241.92,-59.1,-3401.77,-28229.9,1493.63,18201.85,-5341.49,178.73,-1132.66,-5162.76,-6295.41
76,1585.7,3872.47,4624.45,451.34,240.58,-33.84,-3429.15,-28194.61,1491.61,18221.54,-5313.46,179.56,-1169.92,-5133.9,-6303.82
81,1595.25,3871.77,4629.56,434.4,267.14,-66.4,-3425.44,-28153.21,1514.44,18157.33,-5347.04,181.53,-1175.16,-5165.51,-6340.67
86,1585.8,3816.48,4600.41,441.83,229.86,-66.74,-3441.18,-28306.05,1528.06,18248.76,-5268.96,179.1,-1362.76,-5089.86,-6452.62
91,1628.7,3915.25,4649.2,447.8,225.85,-51.84,-3427.66,-28196.07,1496.06,18202.27,-5303.6,177.49,-1110.44,-5126.11,-6236.56
96,1619.51,3886.6,4590.68,455.34,248.76,-68.6,-3415.16,-28191.25,1490.8,18184.92,-5350.22,180.84,-1198.4,-5169.39,-6367.78
101,1647.61,3838.89,4618.09,452.97,229.76,-51.67,-3451.75,-28310.26,1518.96,18302.16,-5307.18,179.82,-1205.24,-5127.35,-6332.59
106,1607.28,3910.84,4623.42,455.77,236.75,-54.68,-3473.69,-28250.2,1514.02,18195.36,-5278.2,178.7,-1235.13,-5099.5,-6334.63
111,1589.17,3947.22,4629.26,453.58,236.58,-81.94,-3444.43,-28215.35,1501.96,18162.46,-5306.68,181.65,-1221.48,-5125.03,-6346.51
116,1524.56,3858.94,4569.62,425.91,227.87,-18.73,-3435.32,-28498.52,1497.15,18360.09,-5137.62,180.75,-1488.44,-4956.87,-6445.31
121,1595.83,3880.0,4644.42,444.04,226.6,-49.46,-3430.31,-28553.8,1499.56,18196.41,-5014.87,180.52,-1546.72,-4834.34,-6381.07
126,1627.43,3883.36,4623.37,453.03,244.31,-62.27,-3399.39,-28281.91,1489.09,18144.32,-5205.19,184.45,-1278.67,-5020.75,-6299.42
131,1605.48,3825.29,4587.06,444.14,246.96,-38.49,-3371.08,-28532.09,1522.9,18350.18,-5173.53,182.02,-1359.65,-4991.5,-6351.15
136,1607.86,3878.35,4620.3,454.22,243.47,-40.8,-3428.1,-28485.06,1526.37,18345.69,-5223.13,182.05,-1277.72,-5041.08,-6318.8
141,1605.3,3904.9,4593.51,430.89,256.53,-45.69,-3441.9,-28323.32,1492.21,18139.55,-5234.27,180.77,-1388.04,-5053.5,-6441.53
