| Run on Fri Aug 14 16:55:23 2026
|
|gmx_MMPBSA Version=1.6.5 based on MMPBSA.py v.16.0
|Complex Structure file:                                         md_A1776_R2.tpr
|Complex (GROMACS) topology file:                                      topol.top
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-470"
|Ligand mask:                    ":471"
|Ligand residue name is:         "LIG"
|
|Calculations performed using 2000 complex frames
|
|Generalized Born ESURF calculated using 'LCPO' surface areas
|
|Using temperature = 298.15 K
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

GENERALIZED BORN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   1604.77         35.02      35.02         0.78       0.78
ANGLE                  3890.18         46.93      46.93         1.05       1.05
DIHED                  4582.78         26.37      26.37         0.59       0.59
UB                      446.63          9.06       9.06         0.20       0.20
IMP                     240.55         11.16      11.16         0.25       0.25
CMAP                    -78.87         19.03      19.03         0.43       0.43
VDWAALS               -3418.85         33.86      33.86         0.76       0.76
EEL                  -28160.99        153.11     153.11         3.42       3.42
1-4 VDW                1503.67         18.28      18.28         0.41       0.41
1-4 EEL               18189.59         74.67      74.67         1.67       1.67
EGB                   -5365.86        120.50     120.50         2.69       2.69
ESURF                   188.02          3.49       3.49         0.08       0.08

GGAS                  -1200.54        187.60     149.26         4.19       3.34
GSOLV                 -5177.84        120.55     119.12         2.70       2.66

TOTAL                 -6378.38        222.99      71.62         4.99       1.60

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   1576.27         34.56      34.56         0.77       0.77
ANGLE                  3761.07         45.93      45.93         1.03       1.03
DIHED                  4613.17         25.80      25.80         0.58       0.58
UB                      446.63          9.06       9.06         0.20       0.20
IMP                     240.55         11.16      11.16         0.25       0.25
CMAP                    -78.87         19.03      19.03         0.43       0.43
VDWAALS               -3296.74         30.76      30.76         0.69       0.69
EEL                  -28245.37        152.80     152.80         3.42       3.42
1-4 VDW                1486.89         18.25      18.25         0.41       0.41
1-4 EEL               18414.32         73.61      73.61         1.65       1.65
EGB                   -5396.03        120.96     120.96         2.70       2.70
ESURF                   192.80          3.21       3.21         0.07       0.07

GGAS                  -1082.07        185.97     148.60         4.16       3.32
GSOLV                 -5203.24        121.00     119.55         2.71       2.67

TOTAL                 -6285.31        221.87      68.82         4.96       1.54

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                     28.50          4.33       4.33         0.10       0.10
ANGLE                   129.11          9.12       9.12         0.20       0.20
DIHED                   -30.39          4.52       4.52         0.10       0.10
UB                        0.00          0.00       0.00         0.00       0.00
IMP                       0.00          0.00       0.00         0.00       0.00
CMAP                      0.00          0.00       0.00         0.00       0.00
VDWAALS                 -22.67          5.11       5.11         0.11       0.11
EEL                     114.27          6.10       6.10         0.14       0.14
1-4 VDW                  16.78          1.90       1.90         0.04       0.04
1-4 EEL                -224.74          9.98       9.98         0.22       0.22
EGB                     -16.97          3.77       3.77         0.08       0.08
ESURF                     7.38          0.51       0.51         0.01       0.01

GGAS                     10.87         17.00      11.36         0.38       0.25
GSOLV                    -9.60          3.80       3.43         0.09       0.08

TOTAL                     1.27         17.42       9.88         0.39       0.22

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                    -0.00          3.88       0.00         0.09       0.00
ΔANGLE                    0.00          8.12       0.00         0.18       0.00
ΔDIHED                   -0.00          3.96       0.00         0.09       0.00
ΔUB                       0.00          0.00       0.00         0.00       0.00
ΔIMP                      0.00          0.00       0.00         0.00       0.00
ΔCMAP                     0.00          0.00       0.00         0.00       0.00
ΔVDWAALS                -99.44          2.01      10.24         0.04       0.23
ΔEEL                    -29.90          5.80       7.35         0.13       0.16
Δ1-4 VDW                  0.00          1.88       0.00         0.04       0.00
Δ1-4 EEL                  0.00          8.92       0.00         0.20       0.00
ΔEGB                     47.15          3.31       6.39         0.07       0.14
ΔESURF                  -12.15          0.24       1.24         0.01       0.03

ΔGGAS                  -129.33          6.14      13.87         0.14       0.31
ΔGSOLV                   34.99          3.32       5.62         0.07       0.13

ΔTOTAL                  -94.34          6.98      10.66         0.16       0.24
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
