| Run on Sat Aug 15 00:31:30 2026
|
|gmx_MMPBSA Version=1.6.5 based on MMPBSA.py v.16.0
|Complex Structure file:                                         md_A1805_R2.tpr
|Complex (GROMACS) topology file:                                      topol.top
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-470"
|Ligand mask:                    ":471"
|Ligand residue name is:         "LIG"
|
|Calculations performed using 2000 complex frames
|
|Generalized Born ESURF calculated using 'LCPO' surface areas
|
|Using temperature = 298.15 K
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

GENERALIZED BORN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   1604.21         34.25      34.25         0.77       0.77
ANGLE                  3888.10         48.92      48.92         1.09       1.09
DIHED                  4597.44         26.86      26.86         0.60       0.60
UB                      446.54          9.09       9.09         0.20       0.20
IMP                     240.13         10.71      10.71         0.24       0.24
CMAP                    -75.35         17.37      17.37         0.39       0.39
VDWAALS               -3451.25         38.04      38.04         0.85       0.85
EEL                  -28196.65        144.89     144.89         3.24       3.24
1-4 VDW                1508.09         19.18      19.18         0.43       0.43
1-4 EEL               18144.02         75.67      75.67         1.69       1.69
EGB                   -5272.56        110.41     110.41         2.47       2.47
ESURF                   183.34          3.70       3.70         0.08       0.08

GGAS                  -1294.70        182.54     133.97         4.08       3.00
GSOLV                 -5089.21        110.47     109.59         2.47       2.45

TOTAL                 -6383.92        213.36      70.93         4.77       1.59

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   1575.14         33.78      33.78         0.76       0.76
ANGLE                  3767.97         47.70      47.70         1.07       1.07
DIHED                  4608.07         26.73      26.73         0.60       0.60
UB                      446.54          9.09       9.09         0.20       0.20
IMP                     240.13         10.71      10.71         0.24       0.24
CMAP                    -75.35         17.37      17.37         0.39       0.39
VDWAALS               -3325.24         34.56      34.56         0.77       0.77
EEL                  -28312.49        143.86     143.86         3.22       3.22
1-4 VDW                1490.16         18.99      18.99         0.42       0.42
1-4 EEL               18383.14         74.94      74.94         1.68       1.68
EGB                   -5296.36        110.26     110.26         2.47       2.47
ESURF                   188.18          2.94       2.94         0.07       0.07

GGAS                  -1201.93        180.27     134.49         4.03       3.01
GSOLV                 -5108.18        110.30     109.53         2.47       2.45

TOTAL                 -6310.11        211.34      70.00         4.73       1.57

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                     29.07          4.42       4.42         0.10       0.10
ANGLE                   120.12          9.80       9.80         0.22       0.22
DIHED                   -10.63          4.58       4.58         0.10       0.10
UB                        0.00          0.00       0.00         0.00       0.00
IMP                       0.00          0.00       0.00         0.00       0.00
CMAP                      0.00          0.00       0.00         0.00       0.00
VDWAALS                 -20.20          5.56       5.56         0.12       0.12
EEL                     142.88          7.76       7.76         0.17       0.17
1-4 VDW                  17.93          1.86       1.86         0.04       0.04
1-4 EEL                -239.11         10.90      10.90         0.24       0.24
EGB                     -27.86          3.59       3.59         0.08       0.08
ESURF                     8.46          0.56       0.56         0.01       0.01

GGAS                     40.06         18.71      10.10         0.42       0.23
GSOLV                   -19.40          3.63       3.22         0.08       0.07

TOTAL                    20.66         19.06       9.45         0.43       0.21

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                    -0.00          3.95       0.00         0.09       0.00
ΔANGLE                    0.00          8.58       0.00         0.19       0.00
ΔDIHED                   -0.00          4.45       0.00         0.10       0.00
ΔUB                       0.00          0.00       0.00         0.00       0.00
ΔIMP                      0.00          0.00       0.00         0.00       0.00
ΔCMAP                     0.00          0.00       0.00         0.00       0.00
ΔVDWAALS               -105.80          2.08      13.03         0.05       0.29
ΔEEL                    -27.04          6.73       9.89         0.15       0.22
Δ1-4 VDW                  0.00          1.67       0.00         0.04       0.00
Δ1-4 EEL                  0.00         10.17       0.00         0.23       0.00
ΔEGB                     51.67          3.44       7.98         0.08       0.18
ΔESURF                  -13.30          0.20       1.60         0.00       0.04

ΔGGAS                  -132.84          7.05      18.41         0.16       0.41
ΔGSOLV                   38.37          3.45       7.00         0.08       0.16

ΔTOTAL                  -94.47          7.85      13.06         0.18       0.29
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
