| Run on Fri Aug 14 10:28:26 2026
|
|gmx_MMPBSA Version=v1.6.3 based on MMPBSA.py v.16.0
|Complex Structure file:                                         md_A1874_R2.tpr
|Complex (GROMACS) topology file:                                      topol.top
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-470"
|Ligand mask:                    ":471"
|Ligand residue name is:         "LIG"
|
|Calculations performed using 2000 complex frames
|
|Generalized Born ESURF calculated using 'LCPO' surface areas
|
|Using temperature = 298.15 K
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

GENERALIZED BORN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   1604.97         34.65      34.65         0.77       0.77
ANGLE                  3901.36         48.86      48.86         1.09       1.09
DIHED                  4595.48         29.14      29.14         0.65       0.65
UB                      446.08          9.00       9.00         0.20       0.20
IMP                     239.84         10.80      10.80         0.24       0.24
CMAP                    -85.93         20.68      20.68         0.46       0.46
VDWAALS               -3419.45         29.74      29.74         0.66       0.66
EEL                  -27962.06        195.22     195.22         4.37       4.37
1-4 VDW                1505.70         18.73      18.73         0.42       0.42
1-4 EEL               18134.42         75.19      75.19         1.68       1.68
EGB                   -5478.29        153.63     153.63         3.44       3.44
ESURF                   187.18          3.36       3.36         0.08       0.08

GGAS                  -1039.60        223.75     175.38         5.00       3.92
GSOLV                 -5291.11        153.67     151.55         3.44       3.39

TOTAL                 -6330.72        271.44      70.32         6.07       1.57

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   1573.82         34.03      34.03         0.76       0.76
ANGLE                  3770.17         47.83      47.83         1.07       1.07
DIHED                  4605.68         28.23      28.23         0.63       0.63
UB                      446.08          9.00       9.00         0.20       0.20
IMP                     239.84         10.80      10.80         0.24       0.24
CMAP                    -85.93         20.68      20.68         0.46       0.46
VDWAALS               -3303.79         28.95      28.95         0.65       0.65
EEL                  -28062.20        192.36     192.36         4.30       4.30
1-4 VDW                1488.70         18.68      18.68         0.42       0.42
1-4 EEL               18355.62         74.59      74.59         1.67       1.67
EGB                   -5505.85        151.91     151.91         3.40       3.40
ESURF                   191.25          3.26       3.26         0.07       0.07

GGAS                   -972.01        220.50     174.29         4.93       3.90
GSOLV                 -5314.60        151.94     149.87         3.40       3.35

TOTAL                 -6286.61        267.78      69.84         5.99       1.56

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                     31.15          4.61       4.61         0.10       0.10
ANGLE                   131.19          9.15       9.15         0.20       0.20
DIHED                   -10.20          4.44       4.44         0.10       0.10
UB                        0.00          0.00       0.00         0.00       0.00
IMP                       0.00          0.00       0.00         0.00       0.00
CMAP                      0.00          0.00       0.00         0.00       0.00
VDWAALS                 -22.63          3.88       3.88         0.09       0.09
EEL                     128.54          6.31       6.31         0.14       0.14
1-4 VDW                  16.99          1.73       1.73         0.04       0.04
1-4 EEL                -221.20          9.64       9.64         0.22       0.22
EGB                     -22.56          3.28       3.28         0.07       0.07
ESURF                     7.70          0.18       0.18         0.00       0.00

GGAS                     53.85         16.60      10.34         0.37       0.23
GSOLV                   -14.86          3.28       3.19         0.07       0.07

TOTAL                    38.99         16.92       9.66         0.38       0.22

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                     0.00          3.99       0.00         0.09       0.00
ΔANGLE                    0.00          8.12       0.00         0.18       0.00
ΔDIHED                   -0.00          3.53       0.00         0.08       0.00
ΔUB                       0.00          0.00       0.00         0.00       0.00
ΔIMP                      0.00          0.00       0.00         0.00       0.00
ΔCMAP                     0.00          0.00       0.00         0.00       0.00
ΔVDWAALS                -93.04          3.09       4.59         0.07       0.10
ΔEEL                    -28.41          3.45      10.01         0.08       0.22
Δ1-4 VDW                 -0.00          1.67       0.00         0.04       0.00
Δ1-4 EEL                 -0.00          9.03       0.00         0.20       0.00
ΔEGB                     50.12          1.55       7.72         0.03       0.17
ΔESURF                  -11.77          0.07       0.56         0.00       0.01

ΔGGAS                  -121.44          4.63      11.26         0.10       0.25
ΔGSOLV                   38.35          1.55       7.54         0.03       0.17

ΔTOTAL                  -83.09          4.89       6.36         0.11       0.14
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
