GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,1605.14,3893.1,4686.43,432.53,244.31,-13.08,-3501.23,-28362.32,1544.71,17916.84,-4932.13,162.53,-1553.56,-4769.6,-6323.16
6,1595.56,3939.53,4689.0,443.66,233.46,-30.67,-3457.15,-27865.35,1499.34,17792.35,-5439.52,176.09,-1160.27,-5263.43,-6423.7
11,1612.01,3944.56,4687.77,434.17,236.02,-41.26,-3497.04,-28103.61,1472.26,17942.66,-5219.19,178.83,-1312.47,-5040.35,-6352.83
16,1575.9,4002.48,4673.51,447.04,242.02,-46.41,-3466.15,-28187.43,1493.24,17879.28,-5153.51,176.74,-1386.52,-4976.77,-6363.29
21,1567.23,3715.53,4691.95,449.47,225.41,-20.13,-3448.02,-28169.41,1524.0,18012.25,-5254.4,177.32,-1451.71,-5077.08,-6528.79
26,1554.27,3938.88,4704.88,443.59,232.06,-36.63,-3520.56,-28327.62,1512.41,17971.74,-5113.94,174.58,-1526.99,-4939.36,-6466.35
31,1645.11,3848.42,4675.07,455.37,228.14,-50.58,-3450.71,-28270.1,1529.89,17985.66,-5149.28,175.98,-1403.72,-4973.3,-6377.02
36,1624.64,3877.56,4642.02,454.79,247.08,-50.12,-3460.72,-28078.51,1493.92,17871.25,-5219.12,176.46,-1378.08,-5042.66,-6420.74
41,1544.94,3915.0,4647.97,442.08,228.54,-80.68,-3417.5,-28166.83,1481.12,17967.4,-5210.71,178.89,-1437.97,-5031.82,-6469.79
46,1633.58,3915.37,4644.92,449.18,271.88,-39.51,-3407.78,-28032.07,1474.74,17768.73,-5280.27,178.95,-1320.96,-5101.32,-6422.28
51,1585.44,3932.01,4592.66,432.43,249.54,-18.26,-3465.42,-28038.36,1480.51,17842.47,-5304.58,180.02,-1406.98,-5124.56,-6531.53
56,1615.83,3905.85,4630.97,436.34,235.43,-64.17,-3434.07,-28228.8,1480.84,17951.05,-5204.41,177.33,-1470.74,-5027.08,-6497.82
61,1540.74,3931.63,4671.82,446.82,222.71,-46.96,-3428.5,-28313.35,1520.43,18053.36,-5190.84,180.6,-1401.31,-5010.23,-6411.54
66,1596.93,3902.99,4627.25,447.18,241.4,-34.53,-3495.06,-28305.0,1495.28,17976.04,-5136.46,178.81,-1547.52,-4957.66,-6505.18
71,1648.43,3879.98,4593.63,452.35,251.28,-51.25,-3407.21,-28310.82,1497.85,17873.41,-5122.43,178.29,-1572.36,-4944.15,-6516.51
76,1579.17,3960.67,4677.35,443.42,267.86,-68.99,-3417.68,-28267.24,1528.9,17879.65,-5152.03,178.12,-1416.9,-4973.91,-6390.81
81,1618.33,3952.07,4637.05,447.52,231.7,-49.0,-3477.24,-28125.56,1457.16,17911.03,-5234.49,177.98,-1396.96,-5056.51,-6453.47
86,1638.34,3868.51,4640.06,438.38,237.63,-58.27,-3442.02,-28101.34,1489.35,17924.81,-5250.17,178.99,-1364.55,-5071.18,-6435.73
91,1616.62,3865.84,4649.7,451.63,246.68,-65.06,-3436.83,-28143.55,1500.16,17977.55,-5290.25,181.7,-1337.26,-5108.56,-6445.82
96,1566.17,3977.93,4599.05,468.32,236.21,-47.65,-3417.64,-27991.8,1500.28,17866.7,-5391.8,184.75,-1242.42,-5207.05,-6449.47
101,1569.18,3914.52,4650.66,441.69,236.86,-66.15,-3440.0,-28135.49,1472.73,17989.46,-5298.91,181.86,-1366.54,-5117.05,-6483.59
106,1551.73,3958.3,4686.21,451.25,236.76,-45.4,-3453.06,-27989.24,1465.75,17877.61,-5389.91,183.13,-1260.1,-5206.77,-6466.88
111,1588.45,3985.84,4642.2,459.14,237.55,-49.17,-3463.71,-28065.3,1468.6,17892.92,-5294.12,179.89,-1303.49,-5114.23,-6417.72
116,1641.38,3824.67,4673.75,451.51,231.53,-49.98,-3460.08,-27988.48,1497.5,17872.5,-5317.54,181.67,-1305.69,-5135.86,-6441.56
121,1631.08,3859.21,4648.16,446.5,247.81,-83.28,-3448.36,-28105.82,1494.98,17869.89,-5237.96,181.01,-1439.83,-5056.95,-6496.78
126,1650.96,3792.9,4654.28,438.59,251.7,-29.59,-3459.87,-28102.12,1486.49,17956.55,-5303.73,179.51,-1360.12,-5124.22,-6484.35
131,1613.79,3916.0,4618.55,447.41,249.99,-63.05,-3442.51,-28180.7,1499.1,17946.75,-5228.84,178.58,-1394.67,-5050.26,-6444.93
136,1646.34,3851.16,4640.79,451.29,242.82,-80.0,-3436.11,-28090.47,1508.11,17930.96,-5297.32,177.58,-1335.1,-5119.74,-6454.84
141,1551.04,3911.93,4635.39,444.09,234.72,-73.1,-3399.64,-28208.33,1524.61,17919.42,-5211.74,180.5,-1459.88,-5031.24,-6491.12
