| Run on Fri Aug 14 12:23:09 2026
|
|gmx_MMPBSA Version=1.6.5 based on MMPBSA.py v.16.0
|Complex Structure file:                                           md_VOR_R2.tpr
|Complex (GROMACS) topology file:                                      topol.top
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-470"
|Ligand mask:                    ":471"
|Ligand residue name is:         "LIG"
|
|Calculations performed using 2000 complex frames
|
|Generalized Born ESURF calculated using 'LCPO' surface areas
|
|Using temperature = 298.15 K
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

GENERALIZED BORN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   1603.38         33.82      33.82         0.76       0.76
ANGLE                  3893.75         46.77      46.77         1.05       1.05
DIHED                  4599.60         27.96      27.96         0.63       0.63
UB                      446.73          8.92       8.92         0.20       0.20
IMP                     239.27         11.02      11.02         0.25       0.25
CMAP                    -71.51         17.39      17.39         0.39       0.39
VDWAALS               -3420.68         36.35      36.35         0.81       0.81
EEL                  -28175.11        137.20     137.20         3.07       3.07
1-4 VDW                1504.91         18.56      18.56         0.42       0.42
1-4 EEL               17895.80         69.31      69.31         1.55       1.55
EGB                   -5243.41        112.39     112.39         2.51       2.51
ESURF                   183.54          3.68       3.68         0.08       0.08

GGAS                  -1483.87        172.95     131.29         3.87       2.94
GSOLV                 -5059.87        112.45     111.46         2.51       2.49

TOTAL                 -6543.75        206.29      67.60         4.61       1.51

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   1571.99         33.48      33.48         0.75       0.75
ANGLE                  3763.13         45.38      45.38         1.01       1.01
DIHED                  4613.60         27.23      27.23         0.61       0.61
UB                      446.73          8.92       8.92         0.20       0.20
IMP                     239.27         11.02      11.02         0.25       0.25
CMAP                    -71.51         17.39      17.39         0.39       0.39
VDWAALS               -3299.20         35.67      35.67         0.80       0.80
EEL                  -28361.43        137.17     137.17         3.07       3.07
1-4 VDW                1483.67         18.46      18.46         0.41       0.41
1-4 EEL               18384.05         66.62      66.62         1.49       1.49
EGB                   -5280.35        112.57     112.57         2.52       2.52
ESURF                   189.27          3.56       3.56         0.08       0.08

GGAS                  -1229.70        171.15     131.41         3.83       2.94
GSOLV                 -5091.08        112.63     111.68         2.52       2.50

TOTAL                 -6320.78        204.88      66.35         4.58       1.48

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                     31.39          4.73       4.73         0.11       0.11
ANGLE                   130.62          9.76       9.76         0.22       0.22
DIHED                   -14.00          3.81       3.81         0.09       0.09
UB                        0.00          0.00       0.00         0.00       0.00
IMP                       0.00          0.00       0.00         0.00       0.00
CMAP                      0.00          0.00       0.00         0.00       0.00
VDWAALS                 -14.55          3.75       3.75         0.08       0.08
EEL                     234.87          5.83       5.83         0.13       0.13
1-4 VDW                  21.24          2.14       2.14         0.05       0.05
1-4 EEL                -488.26         13.23      13.23         0.30       0.30
EGB                     -30.69          3.79       3.79         0.08       0.08
ESURF                     7.78          0.19       0.19         0.00       0.00

GGAS                    -98.68         18.97      11.52         0.42       0.26
GSOLV                   -22.92          3.79       3.78         0.08       0.08

TOTAL                  -121.60         19.34       9.74         0.43       0.22

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                     0.00          4.39       0.00         0.10       0.00
ΔANGLE                    0.00          8.37       0.00         0.19       0.00
ΔDIHED                    0.00          3.08       0.00         0.07       0.00
ΔUB                       0.00          0.00       0.00         0.00       0.00
ΔIMP                      0.00          0.00       0.00         0.00       0.00
ΔCMAP                     0.00          0.00       0.00         0.00       0.00
ΔVDWAALS               -106.94          3.07       5.04         0.07       0.11
ΔEEL                    -48.56          5.80       9.51         0.13       0.21
Δ1-4 VDW                 -0.00          2.04       0.00         0.05       0.00
Δ1-4 EEL                 -0.00         10.53       0.00         0.24       0.00
ΔEGB                     67.64          3.61       6.82         0.08       0.15
ΔESURF                  -13.51          0.07       0.44         0.00       0.01

ΔGGAS                  -155.49          6.56       9.86         0.15       0.22
ΔGSOLV                   54.13          3.61       6.67         0.08       0.15

ΔTOTAL                 -101.37          7.49       5.56         0.17       0.12
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
