Time/Residue,VOR_R1.xvg,VOR_R2.xvg,Average
0,0.0005,0.0005015,0.00050075
0.01,0.0837966,0.0807002,0.0822484
0.02,0.0992587,0.0978385,0.0985486
0.03,0.096341,0.0983908,0.0973659
0.04,0.0993683,0.1014682,0.10041825
0.05,0.0977636,0.1071974,0.1024805
0.06,0.1033518,0.1099496,0.1066507
0.07,0.1017498,0.1163512,0.1090505
0.08,0.1107598,0.1117699,0.11126485
0.09,0.1105624,0.1204045,0.11548345
0.1,0.1177358,0.1153107,0.11652325
0.11,0.1133762,0.1207383,0.11705725
0.12,0.1223667,0.1238293,0.123098
0.13,0.1202327,0.1192302,0.11973145
0.14,0.1190272,0.109379,0.1142031
0.15,0.1173307,0.1090968,0.11321375
0.16,0.1259351,0.1126295,0.1192823
0.17,0.1183988,0.1148553,0.11662705
0.18,0.122041,0.1114328,0.1167369
0.19,0.1268136,0.1230886,0.1249511
0.2,0.1142643,0.1286862,0.12147525
0.21,0.1233727,0.119257,0.12131485
0.22,0.1200396,0.1220033,0.12102145
0.23,0.1250013,0.1258832,0.12544225
0.24,0.1283566,0.1122309,0.12029375
0.25,0.1317472,0.1156845,0.12371585
0.26,0.1243057,0.1233441,0.1238249
0.27,0.1281106,0.1323697,0.13024015
0.28,0.1289394,0.1239337,0.12643655
0.29,0.1318863,0.1397683,0.1358273
0.3,0.1313624,0.1220159,0.12668915
0.31,0.1258725,0.1288612,0.12736685
0.32,0.1292366,0.1213137,0.12527515
0.33,0.1415588,0.1288979,0.13522835
0.34,0.1368792,0.1270625,0.13197085
0.35,0.1369891,0.1267366,0.13186285
0.36,0.1420937,0.1215323,0.131813
0.37,0.1355514,0.1179847,0.12676805
0.38,0.1388934,0.1173818,0.1281376
0.39,0.1296855,0.1222458,0.12596565
0.4,0.1281114,0.1238628,0.1259871
0.41,0.131466,0.1341263,0.13279615
0.42,0.1380022,0.1396718,0.138837
0.43,0.1458108,0.145273,0.1455419
0.44,0.1379835,0.138895,0.13843925
0.45,0.1411503,0.1391593,0.1401548
0.46,0.1444854,0.1481268,0.1463061
0.47,0.1457807,0.157545,0.15166285
0.48,0.1346918,0.1512437,0.14296775
0.49,0.1387778,0.1454194,0.1420986
0.5,0.1375233,0.1378914,0.13770735
0.5100001,0.140628,0.1282784,0.1344532
0.52,0.1375351,0.137614,0.13757455
0.53,0.139992,0.143501,0.1417465
0.54,0.1349333,0.1390365,0.1369849
0.55,0.1433901,0.1349447,0.1391674
0.56,0.137835,0.1357306,0.1367828
0.5700001,0.1392238,0.1429523,0.14108805
0.58,0.1465463,0.1412617,0.143904
0.59,0.1464876,0.1383646,0.1424261
0.6,0.1451153,0.1437152,0.14441525
0.61,0.1485021,0.1421269,0.1453145
0.62,0.145482,0.1356173,0.14054965
0.6300001,0.1420938,0.1371409,0.13961735
0.64,0.1393349,0.136107,0.13772095
0.65,0.1411844,0.1353062,0.1382453
0.66,0.1343536,0.1371044,0.135729
0.67,0.1385518,0.136485,0.1375184
0.68,0.1413583,0.1374736,0.13941595
0.6900001,0.1507163,0.1454755,0.1480959
0.7,0.1526522,0.1454065,0.14902935
0.71,0.1515358,0.1370531,0.14429445
0.72,0.1541679,0.1410883,0.1476281
0.73,0.1520878,0.1320149,0.14205135
0.74,0.162222,0.1377915,0.15000675
0.7500001,0.1618489,0.1444309,0.1531399
0.7600001,0.1581099,0.1295392,0.14382455
0.77,0.1591422,0.1356002,0.1473712
0.78,0.1547827,0.1476065,0.1511946
0.79,0.1641116,0.1405022,0.1523069
0.8,0.1605566,0.1493958,0.1549762
0.8100001,0.172286,0.1528366,0.1625613
0.8200001,0.1794829,0.1435868,0.16153485
0.83,0.1614197,0.1446581,0.1530389
0.84,0.1538598,0.137366,0.1456129
0.85,0.153951,0.1421683,0.14805965
0.86,0.163506,0.1410561,0.15228105
0.8700001,0.1709428,0.1392892,0.155116
0.8800001,0.1709683,0.1355342,0.15325125
0.89,0.1665831,0.1443727,0.1554779
0.9,0.1778652,0.1461608,0.162013
0.91,0.1767106,0.1399189,0.15831475
0.92,0.1733765,0.1353977,0.1543871
0.9300001,0.166569,0.1474593,0.15701415
0.9400001,0.1732033,0.1498826,0.16154295
0.95,0.1652569,0.1523746,0.15881575
0.96,0.1701533,0.1566238,0.16338855
0.97,0.1678265,0.1540174,0.16092195
0.98,0.1662895,0.1534172,0.15985335
0.9900001,0.1640102,0.1656141,0.16481215
1,0.1632062,0.155534,0.1593701
1.01,0.1708459,0.153418,0.16213195
1.0200001,0.1650989,0.1636454,0.16437215
1.0300001,0.1650333,0.1633794,0.16420635
1.0400001,0.1595441,0.157675,0.15860955
1.0500001,0.157291,0.1571246,0.1572078
1.0600001,0.1627558,0.1635414,0.1631486
1.0700001,0.1679186,0.1544247,0.16117165
1.08,0.1720795,0.1625824,0.16733095
1.09,0.1717103,0.1574489,0.1645796
1.1,0.1833062,0.1663568,0.1748315
1.11,0.1652118,0.1543572,0.1597845
1.12,0.1744312,0.1589929,0.16671205
1.13,0.1704003,0.1646711,0.1675357
1.1400001,0.1746237,0.1659592,0.17029145
1.1500001,0.1844482,0.164194,0.1743211
1.1600001,0.1783559,0.1678426,0.17309925
1.1700001,0.1724802,0.1649445,0.16871235
1.1800001,0.1750471,0.1686111,0.1718291
1.1900001,0.1610615,0.1584458,0.15975365
1.2,0.1651616,0.1785434,0.1718525
1.21,0.1679851,0.1818994,0.17494225
1.22,0.1687136,0.160995,0.1648543
1.23,0.1686857,0.1564535,0.1625696
1.24,0.1799358,0.1518354,0.1658856
1.25,0.170791,0.1524522,0.1616216
1.2600001,0.173435,0.1446444,0.1590397
1.2700001,0.1697062,0.1538237,0.16176495
1.2800001,0.1676981,0.1526938,0.16019595
1.2900001,0.1700796,0.1504681,0.16027385
1.3000001,0.1625564,0.1510075,0.15678195
1.3100001,0.1735618,0.1570307,0.16529625
1.3200001,0.1555788,0.165544,0.1605614
1.33,0.1607973,0.1590772,0.15993725
1.34,0.1602326,0.1527225,0.15647755
1.35,0.1658678,0.1553589,0.16061335
1.36,0.1822857,0.1476216,0.16495365
1.3700001,0.1778621,0.1486817,0.1632719
1.3800001,0.1830571,0.1488897,0.1659734
1.3900001,0.1754126,0.1528521,0.16413235
1.4000001,0.1874362,0.1453013,0.16636875
1.4100001,0.1824578,0.1461607,0.16430925
1.4200001,0.1760567,0.1377662,0.15691145
1.4300001,0.1695759,0.1525216,0.16104875
1.4400001,0.1774762,0.1451175,0.16129685
