Time/Residue,VOR_R1.xvg,VOR_R2.xvg,Average
0.0,0.0005038,0.0004884,0.0004961
0.01,0.1177723,0.125733,0.12175265
0.02,0.1368289,0.1406107,0.1387198
0.03,0.1510627,0.1207111,0.1358869
0.04,0.1365612,0.1198891,0.12822515
0.05,0.1433153,0.1335266,0.13842095
0.06,0.1614062,0.1379691,0.14968765
0.07,0.1760454,0.1194765,0.14776095
0.08,0.1213142,0.1314903,0.12640225
0.09,0.1322257,0.1435119,0.1378688
0.1,0.1586764,0.1334255,0.14605095
0.11,0.1406851,0.1288238,0.13475445
0.12,0.1570862,0.1354566,0.1462714
0.13,0.1404898,0.1419005,0.14119515
0.14,0.1428737,0.1180302,0.13045195
0.15,0.1362887,0.1302146,0.13325165
0.16,0.1455473,0.1312854,0.13841635
0.17,0.1529943,0.1257558,0.13937505
0.18,0.1441228,0.1249491,0.13453595
0.19,0.1606446,0.1396658,0.1501552
0.2,0.135902,0.1313523,0.13362715
0.21,0.1425257,0.1365555,0.1395406
0.22,0.1727601,0.1325997,0.1526799
0.23,0.1544383,0.1335136,0.14397595
0.24,0.1463732,0.1530472,0.1497102
0.25,0.1502511,0.1478524,0.14905175
0.26,0.1332484,0.1354641,0.13435625
0.27,0.1513824,0.1309766,0.1411795
0.28,0.1532146,0.1381887,0.14570165
0.29,0.1619483,0.1250162,0.14348225
0.3,0.1302618,0.1321557,0.13120875
0.31,0.1309767,0.1333918,0.13218425
0.32,0.1371313,0.1295509,0.1333411
0.33,0.1380102,0.1378344,0.1379223
0.34,0.1264934,0.1537977,0.14014555
0.35,0.1255175,0.1535341,0.1395258
0.36,0.1381792,0.1436366,0.1409079
0.37,0.1027679,0.1574009,0.1300844
0.38,0.1097625,0.147342,0.12855225
0.39,0.1355222,0.1591682,0.1473452
0.4,0.123312,0.1590575,0.14118475
0.41,0.1131987,0.1453625,0.1292806
0.42,0.1210185,0.1412353,0.1311269
0.43,0.1112704,0.1794817,0.14537605
0.44,0.1105682,0.1567921,0.13368015
0.45,0.1137237,0.1487039,0.1312138
0.46,0.1048419,0.1583669,0.1316044
0.47,0.1086423,0.1445724,0.12660735
0.48,0.1119429,0.1516824,0.13181265
0.49,0.1131023,0.1443604,0.12873135
0.5,0.0964182,0.1360162,0.1162172
0.5100001,0.0999383,0.1544134,0.12717585
0.52,0.1140124,0.1352814,0.1246469
0.53,0.1099128,0.1485378,0.1292253
0.54,0.0996976,0.1443969,0.12204725
0.55,0.0929533,0.1434803,0.1182168
0.56,0.1153846,0.1508079,0.13309625
0.5700001,0.1335083,0.1216446,0.12757645
0.58,0.1160493,0.1578783,0.1369638
0.59,0.1110851,0.1380281,0.1245566
0.6,0.0931637,0.1500694,0.12161655
0.61,0.1166838,0.1245474,0.1206156
0.62,0.1275888,0.1535794,0.1405841
0.6300001,0.1266733,0.1500678,0.13837055
0.64,0.1631652,0.1519728,0.157569
0.65,0.1032412,0.1689213,0.13608125
0.66,0.1379093,0.1506875,0.1442984
0.67,0.1540893,0.1481296,0.15110945
0.68,0.1639839,0.1729333,0.1684586
0.6900001,0.1340093,0.167008,0.15050865
0.7,0.1265616,0.1421648,0.1343632
0.71,0.124283,0.1595798,0.1419314
0.72,0.1488918,0.1400411,0.14446645
0.73,0.1567842,0.1441204,0.1504523
0.74,0.1892697,0.141152,0.16521085
0.7500001,0.1582092,0.1479085,0.15305885
0.7600001,0.1498814,0.1440327,0.14695705
0.77,0.1315312,0.1365904,0.1340608
0.78,0.1610403,0.1429819,0.1520111
0.79,0.218632,0.1256922,0.1721621
0.8,0.1702794,0.1647735,0.16752645
0.8100001,0.194508,0.1399401,0.16722405
0.8200001,0.2185828,0.1580684,0.1883256
0.83,0.2122845,0.1289519,0.1706182
0.84,0.2142167,0.1336746,0.17394565
0.85,0.1697031,0.141192,0.15544755
0.86,0.1979839,0.1384491,0.1682165
0.8700001,0.1717462,0.1358636,0.1538049
0.8800001,0.195741,0.1192325,0.15748675
0.89,0.2013032,0.1171921,0.15924765
0.9,0.1943852,0.1432407,0.16881295
0.91,0.1961255,0.1545474,0.17533645
0.92,0.2189885,0.140682,0.17983525
0.9300001,0.1990782,0.1381493,0.16861375
0.9400001,0.1862371,0.1479318,0.16708445
0.95,0.1892392,0.1542693,0.17175425
0.96,0.2011345,0.1403537,0.1707441
0.97,0.1971381,0.1353462,0.16624215
0.98,0.1791767,0.1446989,0.1619378
0.9900001,0.1790002,0.146166,0.1625831
1.0,0.151098,0.1354385,0.14326825
1.01,0.1650779,0.1481901,0.156634
1.0200001,0.1458049,0.151704,0.14875445
1.0300001,0.1599772,0.1567884,0.1583828
1.0400001,0.1812952,0.1567418,0.1690185
1.0500001,0.1440237,0.1386436,0.14133365
1.0600001,0.1686299,0.1457049,0.1571674
1.0700001,0.1520038,0.1249151,0.13845945
1.08,0.1371351,0.157786,0.14746055
1.09,0.1684167,0.1452184,0.15681755
1.1,0.1665406,0.1367803,0.15166045
1.11,0.1681857,0.1414694,0.15482755
1.12,0.1801216,0.1314675,0.15579455
1.13,0.1698996,0.1515518,0.1607257
1.1400001,0.1474178,0.1388546,0.1431362
1.1500001,0.1639499,0.1404239,0.1521869
1.1600001,0.1638999,0.1502565,0.1570782
1.1700001,0.1937522,0.1359564,0.1648543
1.1800001,0.1587371,0.1412358,0.14998645
1.1900001,0.1711814,0.13462,0.1529007
1.2,0.1651992,0.1499548,0.157577
1.21,0.1592383,0.1395588,0.14939855
1.22,0.1725352,0.1362271,0.15438115
1.23,0.1661728,0.1412071,0.15368995
1.24,0.1772964,0.1254653,0.15138085
1.25,0.1789495,0.136586,0.15776775
1.2600001,0.1720904,0.1326593,0.15237485
1.2700001,0.1621474,0.1640644,0.1631059
1.2800001,0.1761879,0.1526437,0.1644158
1.2900001,0.1564682,0.166444,0.1614561
1.3000001,0.1695683,0.1623105,0.1659394
1.3100001,0.1742902,0.1690017,0.17164595
1.3200001,0.1730565,0.168578,0.17081725
1.33,0.1662048,0.169336,0.1677704
1.34,0.1664987,0.1414705,0.1539846
1.35,0.1571124,0.1587245,0.15791845
1.36,0.1619317,0.1527194,0.15732555
1.3700001,0.1631061,0.1474902,0.15529815
1.3800001,0.1697567,0.1386473,0.154202
1.3900001,0.1591412,0.1564071,0.15777415
1.4000001,0.1582056,0.1670015,0.16260355
1.4100001,0.1704355,0.1605773,0.1655064
1.4200001,0.1692017,0.1451469,0.1571743
1.4300001,0.1705865,0.1635626,0.16707455
1.4400001,0.1536155,0.1534299,0.1535227
1.45,0.1694822,0.1592654,0.1643738
1.46,0.1465354,0.149738,0.1481367
1.47,0.1735871,0.159064,0.16632555
1.48,0.1820662,0.1572627,0.16966445
1.4900001,0.1917602,0.1687067,0.18023345
1.5000001,0.1671515,0.1627877,0.1649696
1.5100001,0.1622135,0.1660435,0.1641285
1.5200001,0.1820053,0.1609315,0.1714684
1.5300001,0.1629896,0.1619092,0.1624494
1.5400001,0.2148012,0.147931,0.1813661
1.5500001,0.2203121,0.1522055,0.1862588
1.5600001,0.2219198,0.1361499,0.17903485
