| Run on Fri Feb  7 04:09:51 2025
|
|gmx_MMPBSA Version=1.6.4 based on MMPBSA.py v.16.0
|Complex Structure file:                                           ../md_VOR.tpr
|Complex (GROMACS) topology file:                                   ../topol.top
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-470"
|Ligand mask:                    ":471"
|Ligand residue name is:         "LIG"
|
|Calculations performed using 2000 complex frames
|
|Generalized Born ESURF calculated using 'LCPO' surface areas
|
|Using temperature = 298.15 K
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

GENERALIZED BORN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   1604.63         33.17      33.17         0.74       0.74
ANGLE                  3895.73         46.77      46.77         1.05       1.05
DIHED                  4592.88         27.88      27.88         0.62       0.62
UB                      446.72          9.39       9.39         0.21       0.21
IMP                     239.37         11.16      11.16         0.25       0.25
CMAP                    -84.77         19.34      19.34         0.43       0.43
VDWAALS               -3393.14         33.56      33.56         0.75       0.75
EEL                  -27926.69        160.00     160.00         3.58       3.58
1-4 VDW                1502.99         17.82      17.82         0.40       0.40
1-4 EEL               17860.04         81.33      81.33         1.82       1.82
EGB                   -5405.81        131.69     131.69         2.94       2.94
ESURF                   187.86          3.57       3.57         0.08       0.08

GGAS                  -1262.23        195.73     158.86         4.38       3.55
GSOLV                 -5217.95        131.74     131.35         2.95       2.94

TOTAL                 -6480.18        235.94      68.93         5.28       1.54

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   1574.05         32.94      32.94         0.74       0.74
ANGLE                  3769.01         45.58      45.58         1.02       1.02
DIHED                  4605.86         27.75      27.75         0.62       0.62
UB                      446.72          9.39       9.39         0.21       0.21
IMP                     239.37         11.16      11.16         0.25       0.25
CMAP                    -84.77         19.34      19.34         0.43       0.43
VDWAALS               -3278.98         32.47      32.47         0.73       0.73
EEL                  -28135.89        158.86     158.86         3.55       3.55
1-4 VDW                1482.21         17.69      17.69         0.40       0.40
1-4 EEL               18349.61         81.15      81.15         1.81       1.81
EGB                   -5429.34        132.15     132.15         2.95       2.95
ESURF                   192.21          3.49       3.49         0.08       0.08

GGAS                  -1032.81        194.19     156.91         4.34       3.51
GSOLV                 -5237.13        132.19     131.93         2.96       2.95

TOTAL                 -6269.94        234.92      66.32         5.25       1.48

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                     30.59          4.54       4.54         0.10       0.10
ANGLE                   126.72         10.22      10.22         0.23       0.23
DIHED                   -12.98          3.48       3.48         0.08       0.08
UB                        0.00          0.00       0.00         0.00       0.00
IMP                       0.00          0.00       0.00         0.00       0.00
CMAP                      0.00          0.00       0.00         0.00       0.00
VDWAALS                 -17.62          4.14       4.14         0.09       0.09
EEL                     227.69          7.82       7.82         0.17       0.17
1-4 VDW                  20.78          2.06       2.06         0.05       0.05
1-4 EEL                -489.57         12.27      12.27         0.27       0.27
EGB                     -23.00          2.38       2.38         0.05       0.05
ESURF                     7.41          0.18       0.18         0.00       0.00

GGAS                   -114.38         19.24       9.98         0.43       0.22
GSOLV                   -15.58          2.39       2.34         0.05       0.05

TOTAL                  -129.96         19.38       9.65         0.43       0.22

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                     0.00          4.30       0.00         0.10       0.00
ΔANGLE                    0.00          9.03       0.00         0.20       0.00
ΔDIHED                    0.00          3.35       0.00         0.07       0.00
ΔUB                       0.00          0.00       0.00         0.00       0.00
ΔIMP                      0.00          0.00       0.00         0.00       0.00
ΔCMAP                     0.00          0.00       0.00         0.00       0.00
ΔVDWAALS                -96.55          3.05       4.22         0.07       0.09
ΔEEL                    -18.49          6.68       7.73         0.15       0.17
Δ1-4 VDW                 -0.00          1.93       0.00         0.04       0.00
Δ1-4 EEL                  0.00         12.09       0.00         0.27       0.00
ΔEGB                     46.53          1.93       5.57         0.04       0.12
ΔESURF                  -11.77          0.10       0.52         0.00       0.01

ΔGGAS                  -115.04          7.34       8.51         0.16       0.19
ΔGSOLV                   34.76          1.93       5.61         0.04       0.13

ΔTOTAL                  -80.28          7.59       6.31         0.17       0.14
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
