Time/Residue,VOR_R1.xvg,VOR_R2.xvg,Average
0,2.24823,2.25119,2.24971
0.01,2.27048,2.27614,2.27331
0.02,2.27851,2.28427,2.28139
0.03,2.27241,2.28167,2.27704
0.04,2.27271,2.28076,2.276735
0.05,2.27502,2.2716,2.27331
0.06,2.28004,2.28136,2.2807
0.07,2.27124,2.28046,2.27585
0.08,2.28286,2.28452,2.28369
0.09,2.28242,2.27552,2.27897
0.1,2.28777,2.27835,2.28306
0.11,2.2833,2.28268,2.28299
0.12,2.28767,2.28015,2.28391
0.13,2.28675,2.28007,2.28341
0.14,2.28563,2.26653,2.27608
0.15,2.27535,2.27824,2.276795
0.16,2.28486,2.27605,2.280455
0.17,2.27967,2.2777,2.278685
0.18,2.28329,2.2807,2.281995
0.19,2.27837,2.27673,2.27755
0.2,2.28197,2.27473,2.27835
0.21,2.27737,2.28312,2.280245
0.22,2.2743,2.2782,2.27625
0.23,2.27401,2.27182,2.272915
0.24,2.28316,2.27123,2.277195
0.25,2.28969,2.27119,2.28044
0.26,2.28918,2.27577,2.282475
0.27,2.28832,2.28112,2.28472
0.28,2.28956,2.27734,2.28345
0.29,2.28291,2.28239,2.28265
0.3,2.28506,2.28044,2.28275
0.31,2.27683,2.27935,2.27809
0.32,2.27863,2.27921,2.27892
0.33,2.27666,2.28742,2.28204
0.34,2.27561,2.28171,2.27866
0.35,2.27575,2.27862,2.277185
0.36,2.28783,2.27303,2.28043
0.37,2.27571,2.27337,2.27454
0.38,2.28494,2.27013,2.277535
0.39,2.27424,2.28394,2.27909
0.4,2.27689,2.27489,2.27589
0.41,2.28301,2.27963,2.28132
0.42,2.27777,2.28457,2.28117
0.43,2.27823,2.28738,2.282805
0.44,2.27861,2.28465,2.28163
0.45,2.28054,2.27814,2.27934
0.46,2.28842,2.28561,2.287015
0.47,2.28568,2.29655,2.291115
0.48,2.27972,2.2883,2.28401
0.49,2.28805,2.28549,2.28677
0.5,2.28926,2.29235,2.290805
0.51,2.29006,2.29072,2.29039
0.52,2.28298,2.29169,2.287335
0.53,2.28565,2.28324,2.284445
0.54,2.28719,2.28301,2.2851
0.55,2.28548,2.28261,2.284045
0.56,2.28453,2.27663,2.28058
0.57,2.28281,2.27928,2.281045
0.58,2.28813,2.28381,2.28597
0.59,2.28907,2.28133,2.2852
0.6,2.28129,2.28342,2.282355
