Time/Residue,VOR_R1.xvg,VOR_R2.xvg,Average
0.0,2.24823,2.25119,2.24971
1e-08,2.27048,2.27614,2.27331
2e-08,2.27851,2.28427,2.28139
3e-08,2.27241,2.28167,2.27704
4e-08,2.27271,2.28076,2.276735
5.0000000000000004e-08,2.27502,2.2716,2.27331
6e-08,2.28004,2.28136,2.2807
7e-08,2.27124,2.28046,2.27585
8e-08,2.28286,2.28452,2.28369
9e-08,2.28242,2.27552,2.27897
1.0000000000000001e-07,2.28777,2.27835,2.28306
1.1e-07,2.2833,2.28268,2.28299
1.2e-07,2.28767,2.28015,2.28391
1.3000000000000003e-07,2.28675,2.28007,2.28341
1.4e-07,2.28563,2.26653,2.27608
1.5e-07,2.27535,2.27824,2.276795
1.6e-07,2.28486,2.27605,2.280455
1.7000000000000001e-07,2.27967,2.2777,2.278685
1.8e-07,2.28329,2.2807,2.281995
1.9e-07,2.27837,2.27673,2.27755
2.0000000000000002e-07,2.28197,2.27473,2.27835
2.0999999999999997e-07,2.27737,2.28312,2.280245
2.2e-07,2.2743,2.2782,2.27625
2.3e-07,2.27401,2.27182,2.272915
2.4e-07,2.28316,2.27123,2.277195
2.5e-07,2.28969,2.27119,2.28044
2.6000000000000005e-07,2.28918,2.27577,2.282475
2.7e-07,2.28832,2.28112,2.28472
2.8e-07,2.28956,2.27734,2.28345
2.9e-07,2.28291,2.28239,2.28265
3e-07,2.28506,2.28044,2.28275
3.1e-07,2.27683,2.27935,2.27809
3.2e-07,2.27863,2.27921,2.27892
3.3e-07,2.27666,2.28742,2.28204
3.4000000000000003e-07,2.27561,2.28171,2.27866
3.5e-07,2.27575,2.27862,2.277185
3.6e-07,2.28783,2.27303,2.28043
3.7e-07,2.27571,2.27337,2.27454
3.8e-07,2.28494,2.27013,2.277535
3.8999999999999997e-07,2.27424,2.28394,2.27909
4.0000000000000003e-07,2.27689,2.27489,2.27589
4.1e-07,2.28301,2.27963,2.28132
4.1999999999999995e-07,2.27777,2.28457,2.28117
4.3e-07,2.27823,2.28738,2.282805
4.4e-07,2.27861,2.28465,2.28163
4.5e-07,2.28054,2.27814,2.27934
4.6e-07,2.28842,2.28561,2.287015
4.7e-07,2.28568,2.29655,2.291115
4.8e-07,2.27972,2.2883,2.28401
4.9e-07,2.28805,2.28549,2.28677
5e-07,2.28926,2.29235,2.290805
5.1e-07,2.29006,2.29072,2.29039
5.200000000000001e-07,2.28298,2.29169,2.287335
5.3e-07,2.28565,2.28324,2.284445
5.4e-07,2.28719,2.28301,2.2851
5.5e-07,2.28548,2.28261,2.284045
5.6e-07,2.28453,2.27663,2.28058
5.699999999999999e-07,2.28281,2.27928,2.281045
5.8e-07,2.28813,2.28381,2.28597
5.9e-07,2.28907,2.28133,2.2852
6e-07,2.28129,2.28342,2.282355
6.1e-07,2.2852,2.28309,2.284145
6.2e-07,2.28196,2.2821,2.28203
6.3e-07,2.28422,2.27171,2.277965
6.4e-07,2.27977,2.26516,2.272465
6.499999999999999e-07,2.28002,2.27834,2.27918
6.6e-07,2.27633,2.27911,2.27772
6.7e-07,2.27756,2.28327,2.280415
6.800000000000001e-07,2.27661,2.2819,2.279255
6.9e-07,2.27441,2.28249,2.27845
7e-07,2.2741,2.28363,2.278865
7.099999999999999e-07,2.28475,2.28479,2.28477
7.2e-07,2.2878,2.28709,2.287445
7.3e-07,2.29279,2.27008,2.281435
7.4e-07,2.28866,2.28717,2.287915
7.5e-07,2.28895,2.27833,2.28364
7.6e-07,2.28466,2.27946,2.28206
7.7e-07,2.28916,2.28212,2.28564
7.799999999999999e-07,2.28677,2.28664,2.286705
7.900000000000001e-07,2.29469,2.28556,2.290125
8.000000000000001e-07,2.29862,2.28252,2.29057
8.100000000000001e-07,2.29466,2.28463,2.289645
8.2e-07,2.29589,2.27542,2.285655
8.3e-07,2.29133,2.27866,2.284995
8.399999999999999e-07,2.28745,2.28604,2.286745
8.499999999999999e-07,2.28861,2.28673,2.28767
8.6e-07,2.28786,2.2825,2.28518
8.7e-07,2.28509,2.28978,2.287435
8.8e-07,2.29776,2.28846,2.29311
8.900000000000001e-07,2.28729,2.29588,2.291585
9e-07,2.28955,2.28616,2.287855
9.1e-07,2.29257,2.29487,2.29372
9.2e-07,2.28959,2.27743,2.28351
9.300000000000001e-07,2.29026,2.28929,2.289775
9.4e-07,2.29433,2.2907,2.292515
9.5e-07,2.30124,2.29083,2.296035
9.6e-07,2.29681,2.28037,2.28859
9.7e-07,2.29929,2.27428,2.286785
9.8e-07,2.29614,2.28266,2.2894
9.9e-07,2.29105,2.28091,2.28598
1e-06,2.28936,2.28634,2.28785
1.01e-06,2.28811,2.2778,2.282955
1.02e-06,2.29011,2.29109,2.2906
1.03e-06,2.28756,2.28694,2.28725
1.0400000000000002e-06,2.28642,2.28303,2.284725
1.0500000000000001e-06,2.28676,2.28409,2.285425
1.06e-06,2.28356,2.28642,2.28499
1.07e-06,2.28673,2.28859,2.28766
1.08e-06,2.28851,2.29,2.289255
1.09e-06,2.29442,2.28721,2.290815
1.1e-06,2.29349,2.28999,2.29174
1.1100000000000002e-06,2.29221,2.27979,2.286
1.12e-06,2.29079,2.2835,2.287145
1.13e-06,2.28941,2.28908,2.289245
1.1399999999999999e-06,2.28724,2.29037,2.288805
1.15e-06,2.28959,2.28838,2.288985
1.16e-06,2.29531,2.28309,2.2892
1.17e-06,2.29525,2.2862,2.290725
1.18e-06,2.28939,2.28998,2.289685
1.1899999999999998e-06,2.29158,2.28426,2.28792
1.2e-06,2.28736,2.28099,2.284175
1.2099999999999998e-06,2.29159,2.28525,2.28842
1.22e-06,2.29106,2.28451,2.287785
1.2299999999999999e-06,2.28687,2.29163,2.28925
1.24e-06,2.29977,2.28448,2.292125
1.25e-06,2.2989,2.28267,2.290785
1.26e-06,2.30403,2.27672,2.290375
1.2700000000000001e-06,2.30257,2.2794,2.290985
1.28e-06,2.29897,2.27904,2.289005
1.2900000000000001e-06,2.29499,2.28653,2.29076
1.2999999999999998e-06,2.28907,2.28373,2.2864
1.31e-06,2.29551,2.28602,2.290765
1.32e-06,2.29365,2.27793,2.28579
1.33e-06,2.29506,2.27806,2.28656
1.34e-06,2.29042,2.2825,2.28646
1.35e-06,2.29581,2.28056,2.288185
1.3600000000000001e-06,2.30602,2.27599,2.291005
1.3700000000000002e-06,2.29426,2.28228,2.28827
1.38e-06,2.29634,2.27131,2.283825
1.39e-06,2.29476,2.28412,2.28944
1.4e-06,2.29485,2.28417,2.28951
1.41e-06,2.30032,2.28792,2.29412
1.4199999999999997e-06,2.29203,2.27974,2.285885
1.4299999999999999e-06,2.29416,2.29101,2.292585
1.44e-06,2.2981,2.28727,2.292685
1.4499999999999999e-06,2.29721,2.28875,2.29298
1.46e-06,2.29926,2.28675,2.293005
1.47e-06,2.29375,2.28467,2.28921
1.48e-06,2.29169,2.27925,2.28547
1.49e-06,2.30181,2.28346,2.292635
1.5e-06,2.29738,2.28413,2.290755
1.5100000000000002e-06,2.2981,2.28766,2.29288
1.52e-06,2.28785,2.2812,2.284525
1.5300000000000002e-06,2.29193,2.28988,2.290905
1.54e-06,2.29596,2.28153,2.288745
1.55e-06,2.29755,2.28349,2.29052
1.5599999999999999e-06,2.30293,2.2852,2.294065
1.57e-06,2.30383,2.2797,2.291765
1.5800000000000001e-06,2.29569,2.28588,2.290785
1.59e-06,2.29879,2.28088,2.289835
1.6000000000000001e-06,2.30007,2.28135,2.29071
1.61e-06,2.29822,2.28377,2.290995
1.6200000000000002e-06,2.29725,2.28038,2.288815
1.6299999999999999e-06,2.30775,2.27439,2.29107
1.64e-06,2.30596,2.28287,2.294415
1.65e-06,2.30352,2.28624,2.29488
1.66e-06,2.30048,2.28484,2.29266
1.6699999999999999e-06,2.29282,2.2883,2.29056
1.6799999999999998e-06,2.29365,2.29012,2.291885
1.69e-06,2.29935,2.29266,2.296005
1.6999999999999998e-06,2.293,2.29201,2.292505
1.71e-06,2.29749,2.29107,2.29428
1.72e-06,2.29701,2.2941,2.295555
1.73e-06,2.2952,2.28613,2.290665
1.74e-06,2.30496,2.28891,2.296935
1.75e-06,2.29493,2.28808,2.291505
1.76e-06,2.29935,2.28306,2.291205
1.77e-06,2.29285,2.28361,2.28823
1.7800000000000001e-06,2.28797,2.28462,2.286295
1.7900000000000002e-06,2.29722,2.28436,2.29079
1.8e-06,2.3058,2.28659,2.296195
1.81e-06,2.298,2.28333,2.290665
1.82e-06,2.30261,2.28486,2.293735
1.83e-06,2.29909,2.28615,2.29262
1.84e-06,2.29617,2.28431,2.29024
1.85e-06,2.30012,2.28444,2.29228
1.8600000000000002e-06,2.29499,2.2856,2.290295
1.87e-06,2.29885,2.28369,2.29127
1.88e-06,2.28893,2.2797,2.284315
1.89e-06,2.29291,2.27493,2.28392
1.9e-06,2.29544,2.28065,2.288045
1.91e-06,2.30132,2.28749,2.294405
1.92e-06,2.29759,2.28464,2.291115
1.9299999999999997e-06,2.30449,2.28311,2.2938
1.94e-06,2.29271,2.2882,2.290455
1.95e-06,2.29617,2.28307,2.28962
1.96e-06,2.29352,2.28439,2.288955
1.9699999999999998e-06,2.28767,2.29262,2.290145
1.98e-06,2.2969,2.29406,2.29548
1.99e-06,2.29956,2.29516,2.29736
2e-06,2.28943,2.28372,2.286575
2.01e-06,2.28978,2.29064,2.29021
2.02e-06,2.29358,2.28668,2.29013
2.0299999999999996e-06,2.28858,2.28669,2.287635
2.04e-06,2.28916,2.27593,2.282545
2.05e-06,2.28167,2.27672,2.279195
2.06e-06,2.28452,2.29083,2.287675
2.0699999999999997e-06,2.28512,2.29277,2.288945
2.0800000000000004e-06,2.28932,2.28529,2.287305
2.09e-06,2.29006,2.29679,2.293425
2.1000000000000002e-06,2.29443,2.29182,2.293125
2.1099999999999997e-06,2.30087,2.29415,2.29751
2.12e-06,2.29987,2.29778,2.298825
2.13e-06,2.29176,2.28811,2.289935
2.14e-06,2.29701,2.28853,2.29277
2.15e-06,2.29676,2.28933,2.293045
2.16e-06,2.29865,2.30029,2.29947
2.17e-06,2.29765,2.29361,2.29563
2.18e-06,2.29885,2.29314,2.295995
2.19e-06,2.29773,2.30009,2.29891
2.2e-06,2.29253,2.29601,2.29427
2.21e-06,2.28928,2.29649,2.292885
2.2200000000000003e-06,2.29388,2.29147,2.292675
2.23e-06,2.29143,2.29491,2.29317
2.24e-06,2.29691,2.28964,2.293275
2.2499999999999996e-06,2.30557,2.28839,2.29698
2.26e-06,2.30328,2.2864,2.29484
2.27e-06,2.30239,2.29054,2.296465
2.2799999999999998e-06,2.30003,2.28698,2.293505
2.29e-06,2.3007,2.30161,2.301155
2.3e-06,2.29674,2.30303,2.299885
2.31e-06,2.2919,2.29726,2.29458
2.32e-06,2.28472,2.29311,2.288915
2.33e-06,2.29991,2.29192,2.295915
2.34e-06,2.29421,2.29416,2.294185
2.35e-06,2.29651,2.29394,2.295225
2.36e-06,2.29558,2.29177,2.293675
2.37e-06,2.30281,2.29219,2.2975
2.3799999999999997e-06,2.29532,2.2941,2.29471
2.39e-06,2.29727,2.30188,2.299575
2.4e-06,2.29764,2.28847,2.293055
2.4100000000000002e-06,2.29946,2.29201,2.295735
2.4199999999999997e-06,2.29692,2.29539,2.296155
2.4300000000000005e-06,2.29885,2.28571,2.29228
2.44e-06,2.29296,2.29145,2.292205
2.4500000000000003e-06,2.30084,2.29368,2.29726
2.4599999999999997e-06,2.30645,2.29141,2.29893
2.4700000000000005e-06,2.30246,2.2813,2.29188
2.48e-06,2.29824,2.29544,2.29684
2.49e-06,2.29716,2.2863,2.29173
2.5e-06,2.30152,2.29281,2.297165
2.5099999999999997e-06,2.29888,2.28889,2.293885
2.52e-06,2.29476,2.29017,2.292465
2.5299999999999995e-06,2.30232,2.29114,2.29673
2.5400000000000002e-06,2.29945,2.29331,2.29638
2.5499999999999997e-06,2.30234,2.29748,2.29991
2.56e-06,2.29954,2.29841,2.298975
2.57e-06,2.2982,2.28938,2.29379
2.5800000000000003e-06,2.30464,2.28589,2.295265
2.5899999999999998e-06,2.29602,2.28377,2.289895
2.5999999999999997e-06,2.29523,2.28709,2.29116
2.61e-06,2.28818,2.28286,2.28552
2.62e-06,2.30215,2.28441,2.29328
2.63e-06,2.28986,2.29254,2.2912
2.64e-06,2.29779,2.29612,2.296955
2.65e-06,2.29451,2.28829,2.2914
2.66e-06,2.29243,2.29925,2.29584
2.6700000000000003e-06,2.30194,2.28553,2.293735
2.68e-06,2.30231,2.29424,2.298275
2.69e-06,2.30067,2.29939,2.30003
2.7e-06,2.30225,2.28872,2.295485
2.7100000000000003e-06,2.29624,2.28786,2.29205
2.7200000000000002e-06,2.29398,2.2869,2.29044
2.7299999999999997e-06,2.29573,2.2887,2.292215
2.7400000000000004e-06,2.30326,2.28815,2.295705
2.75e-06,2.30505,2.28875,2.2969
2.76e-06,2.29292,2.29275,2.292835
2.7699999999999997e-06,2.30102,2.29003,2.295525
2.78e-06,2.30053,2.28841,2.29447
2.79e-06,2.29694,2.28872,2.29283
2.8e-06,2.29437,2.28637,2.29037
2.81e-06,2.30239,2.29078,2.296585
2.82e-06,2.2943,2.29372,2.29401
2.83e-06,2.30277,2.30023,2.3015
2.8399999999999995e-06,2.29195,2.29725,2.2946
2.8500000000000002e-06,2.30257,2.2999,2.301235
2.8599999999999997e-06,2.30427,2.29958,2.301925
2.87e-06,2.29766,2.30157,2.299615
2.88e-06,2.29435,2.30622,2.300285
2.8900000000000003e-06,2.29571,2.30177,2.29874
2.8999999999999998e-06,2.30198,2.30238,2.30218
2.91e-06,2.30784,2.30733,2.307585
2.92e-06,2.3103,2.30324,2.30677
2.9300000000000003e-06,2.29853,2.30235,2.30044
2.94e-06,2.30353,2.3062,2.304865
2.9500000000000006e-06,2.29892,2.30303,2.300975
2.96e-06,2.30081,2.30687,2.30384
2.97e-06,2.29316,2.30457,2.298865
2.98e-06,2.3024,2.30757,2.304985
2.99e-06,2.30707,2.30266,2.304865
3e-06,2.30589,2.30278,2.304335
3.0099999999999996e-06,2.29755,2.30719,2.30237
3.0200000000000003e-06,2.29532,2.30712,2.30122
3.03e-06,2.2951,2.30645,2.300775
3.04e-06,2.30309,2.30312,2.303105
3.0499999999999996e-06,2.30029,2.29967,2.29998
3.0600000000000003e-06,2.31215,2.30495,2.30855
3.07e-06,2.30117,2.30221,2.30169
3.08e-06,2.29889,2.30856,2.303725
3.09e-06,2.31017,2.31143,2.3108
3.1e-06,2.31358,2.31923,2.316405
3.11e-06,2.30779,2.30798,2.307885
3.1199999999999998e-06,2.30652,2.31434,2.31043
3.13e-06,2.29466,2.31061,2.302635
3.14e-06,2.30456,2.30311,2.303835
3.15e-06,2.30337,2.31365,2.30851
3.1600000000000002e-06,2.30124,2.31151,2.306375
3.17e-06,2.30111,2.31281,2.30696
3.18e-06,2.29737,2.30391,2.30064
3.19e-06,2.30803,2.31037,2.3092
3.2000000000000003e-06,2.29817,2.30484,2.301505
3.21e-06,2.30315,2.29661,2.29988
3.22e-06,2.3133,2.30194,2.30762
3.23e-06,2.31715,2.30721,2.31218
3.2400000000000003e-06,2.30954,2.30707,2.308305
3.25e-06,2.30894,2.3064,2.30767
3.2599999999999997e-06,2.30947,2.29908,2.304275
3.27e-06,2.30699,2.31423,2.31061
3.28e-06,2.30259,2.31559,2.30909
3.29e-06,2.29109,2.30466,2.297875
3.3e-06,2.29999,2.30172,2.300855
3.31e-06,2.30538,2.30248,2.30393
3.32e-06,2.29883,2.30428,2.301555
3.33e-06,2.30434,2.3076,2.30597
3.3399999999999998e-06,2.3047,2.30782,2.30626
3.35e-06,2.30362,2.30433,2.303975
3.3599999999999996e-06,2.30725,2.29242,2.299835
3.3700000000000003e-06,2.30101,2.29948,2.300245
3.38e-06,2.29816,2.30383,2.300995
3.39e-06,2.3001,2.29483,2.297465
3.3999999999999996e-06,2.29999,2.2981,2.299045
3.4100000000000004e-06,2.31814,2.29664,2.30739
3.42e-06,2.30656,2.30095,2.303755
3.43e-06,2.30552,2.29821,2.301865
3.44e-06,2.30313,2.29238,2.297755
3.4500000000000004e-06,2.29924,2.29804,2.29864
3.46e-06,2.29663,2.297,2.296815
3.47e-06,2.29825,2.29646,2.297355
3.48e-06,2.29011,2.30493,2.29752
3.49e-06,2.29598,2.30371,2.299845
3.5e-06,2.29984,2.3087,2.30427
3.51e-06,2.30259,2.30834,2.305465
3.52e-06,2.2997,2.30774,2.30372
3.5299999999999997e-06,2.29723,2.30683,2.30203
3.54e-06,2.29852,2.30069,2.299605
3.55e-06,2.30099,2.3093,2.305145
3.5600000000000002e-06,2.29862,2.30721,2.302915
3.5699999999999997e-06,2.30074,2.30761,2.304175
3.5800000000000005e-06,2.28543,2.30551,2.29547
3.59e-06,2.29197,2.30537,2.29867
3.6e-06,2.29527,2.29929,2.29728
3.6099999999999997e-06,2.29615,2.3162,2.306175
3.62e-06,2.29351,2.31219,2.30285
3.63e-06,2.29725,2.29857,2.29791
3.64e-06,2.29174,2.29504,2.29339
3.65e-06,2.29511,2.29972,2.297415
3.66e-06,2.29016,2.30076,2.29546
3.67e-06,2.29715,2.30127,2.29921
3.68e-06,2.29651,2.3011,2.298805
3.6900000000000002e-06,2.29883,2.29665,2.29774
3.7e-06,2.2935,2.29938,2.29644
3.7099999999999996e-06,2.29233,2.30363,2.29798
3.7200000000000004e-06,2.30233,2.29853,2.30043
3.73e-06,2.29906,2.30155,2.300305
3.74e-06,2.30791,2.31198,2.309945
3.7499999999999997e-06,2.31109,2.31048,2.310785
3.76e-06,2.29963,2.31039,2.30501
3.77e-06,2.30003,2.3082,2.304115
3.78e-06,2.30213,2.30606,2.304095
3.79e-06,2.30177,2.31418,2.307975
3.8e-06,2.30275,2.29887,2.30081
3.81e-06,2.30211,2.2967,2.299405
3.82e-06,2.30278,2.29739,2.300085
3.83e-06,2.30221,2.30857,2.30539
3.84e-06,2.30069,2.2995,2.300095
3.85e-06,2.30476,2.30341,2.304085
3.8599999999999995e-06,2.29572,2.2998,2.29776
3.87e-06,2.29552,2.30447,2.299995
3.88e-06,2.29186,2.29886,2.29536
3.89e-06,2.29391,2.29941,2.29666
3.9e-06,2.28758,2.29957,2.293575
3.910000000000001e-06,2.30377,2.30045,2.30211
3.92e-06,2.30103,2.30786,2.304445
3.9300000000000005e-06,2.31004,2.30189,2.305965
3.9399999999999995e-06,2.30631,2.30296,2.304635
3.95e-06,2.3012,2.30021,2.300705
3.96e-06,2.30255,2.29343,2.29799
3.97e-06,2.30222,2.30045,2.301335
3.98e-06,2.29648,2.28777,2.292125
3.990000000000001e-06,2.30404,2.29815,2.301095
4e-06,2.29841,2.29805,2.29823
4.01e-06,2.30193,2.29254,2.297235
4.02e-06,2.31303,2.29394,2.303485
4.03e-06,2.3003,2.29415,2.297225
4.04e-06,2.30049,2.30285,2.30167
4.05e-06,2.29651,2.30895,2.30273
4.059999999999999e-06,2.2896,2.30769,2.298645
4.070000000000001e-06,2.29271,2.29635,2.29453
4.08e-06,2.29228,2.29918,2.29573
4.09e-06,2.29397,2.29057,2.29227
4.1e-06,2.29051,2.29868,2.294595
4.11e-06,2.28393,2.29742,2.290675
4.12e-06,2.29218,2.29895,2.295565
4.13e-06,2.29323,2.30346,2.298345
4.139999999999999e-06,2.29341,2.29627,2.29484
4.15e-06,2.29571,2.29364,2.294675
4.160000000000001e-06,2.29169,2.29912,2.295405
4.17e-06,2.29666,2.30448,2.30057
4.18e-06,2.28661,2.29939,2.293
4.1900000000000005e-06,2.29397,2.29236,2.293165
4.2000000000000004e-06,2.29156,2.3046,2.29808
4.21e-06,2.28872,2.29572,2.29222
