SN,Molecule,Binding energy (kcal/mol),SMILES,
1,A5584,-123.854,COC(=O)C[C@H]1CC[C@H](Cc2ccc(Cc3cc(c4cccnc4N)on3)cc2)CC1,
2,A3244,-123.790,CN(C)CCCOc1ccc(CN(C)Cc2cccc3ccccc23)cc1,
3,A1732,-123.740,CCCN(CCC)CCOC(=O)Cc1ccccc1c1ccccc1,
4,A3620,-123.670,COc1ccc(CN2CCN([C@H](C)[C@](O)(Cn3cncn3)c3ccc(F)cc3F)CC2)c(F)c1,
5,A3649,-122.922,C[C@@H](N1CC=C(c2cccc(F)c2)CC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
6,A2586,-122.786,CN(CC#CCCc1ccccc1)Cc1cccc2ccccc12,
7,A5576,-122.586,Nc1ncccc1c1cc(Cc2ccc(COCCN3CCCC3)cc2)no1,
8,A4678,-122.539,CN1CCN(C/C=C/CN(C)Cc2cccc3ccccc23)CC1,
9,A3201,-122.377,CN(Cc1ccc(CCCN)cc1)Cc1cccc2ccccc12,
10,A3121,-122.129,OCCCc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(F)cc2Cl)cc1,
11,A3250,-121.684,CN(C)CCCN(Cc1ccccc1)Cc1cccc2ccccc12,
12,A3213,-121.303,COC(=O)CCc1ccc(CN(C)Cc2cccc3ccccc23)cc1,
13,A3254,-121.101,CN(C)Cc1ccc(CN(C)Cc2cccc3ccccc23)cc1,
14,A4680,-120.996,CN(C)CC#C/C=C/CN(C)Cc1cccc2ccccc12,
15,A3253,-120.543,CN(Cc1ccc(CCCCN)cc1)Cc1cccc2ccccc12,
16,A3266,-120.477,CN(C)CCc1ccc(CN(C)Cc2cccc3ccccc23)cc1,
17,A4449,-120.454,O[C@](CN1CCN(Cc2cccs2)CC1)(Cn1cncn1)c1ccc(F)cc1F,
18,A3181,-120.304,CC(=O)N(C)Cc1ccc(CN(C)Cc2cccc3ccccc23)cc1,
19,A3243,-120.178,C[C@H](O)c1ccc(CN(C)Cc2cccc3ccccc23)cc1,
20,A5586,-120.173,COC(=O)CC1CCN(Cc2ccc(Cc3cc(c4cccnc4N)on3)cc2)CC1,
21,A3223,-120.103,CN(C)CCOc1ccc(CN(C)Cc2cccc3ccccc23)cc1,
22,A3210,-119.850,CCN(Cc1ccc(C(=O)O)cc1)Cc1cccc2ccccc12,
23,A2619,-119.538,OCCc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,
24,A4734,-119.404,C[C@H](N)CCC/C=C/CN(C)Cc1cccc2ccccc12,
25,A3517,-119.231,C[C@@H](N1CCN(Cc2ccccc2)CC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
26,A137,-119.098,OC[C@H](CCc1ccccc1)[C@@H]1CO[C@@](Cn2ccnc2)(c2ccc(Cl)cc2Cl)O1,
27,A4533,-119.054,CCc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(F)cc2F)c(F)c1,
28,A2561,-119.030,C#CCN(C)C/C=C/CN(C)Cc1cccc2ccccc12,
29,A3208,-118.945,CN1CCN(c2ccc(CN(C)Cc3cccc4ccccc34)cc2)CC1,
30,A3228,-118.867,CN(Cc1ccc(C(F)(F)F)cc1)Cc1ccnc2ccccc12,
31,A4695,-118.835,CN(C/C=C/C#CC1(O)CCCCC1)Cc1cccc2ccccc12,
32,A2539,-118.724,CN(C)CCC/C=C/CN(C)Cc1cccc2ccccc12,
33,A3742,-118.668,CC(C)NCC(=O)N[C@H]1CCN([C@H](C)[C@](O)(Cn2cncn2)c2ccc(F)cc2F)C1,
34,A2551,-118.501,CN(CC#CCc1ccccc1)Cc1cccc2ccccc12,
35,A4686,-118.470,C[C@@H]1CCN(C/C=C/CN(C)Cc2cccc3ccccc23)CC1,
36,A2022,-118.427,Cc1ccccc1CO[C@H]1c2cc(F)ccc2S[C@@H]1Cn1ccnc1,
37,A4735,-118.357,CN(Cc1cccc2ccccc12)C[C@H](O)CC#CC(C)(C)C,
38,A2477,-118.270,CN(CCCc1ccccc1)Cc1cccc2ccccc12,
39,A3509,-118.146,C[C@@H](N1Cc2ccc(C#N)cc2C1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
40,A1947,-118.018,C=CCN(CC=C)Cc1nc2ccccc2n1Cc1ccc(Cl)cc1,
41,A3491,-117.774,C[C@@H](N1CCc2cc(F)ccc2C1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
42,A3174,-117.578,CN(Cc1ccc(C(F)(F)F)cc1)Cc1cccc2cccnc12,
43,A3685,-117.571,C[C@H](c1ccccc1)N1CCN([C@H](C)[C@](O)(Cn2cncn2)c2ccc(F)cc2F)CC1,
44,A5593,-117.423,Nc1ncccc1c1cc(Cc2ccc(CN3CCC(O)CC3)cc2)no1,
45,A4676,-117.323,CN(C/C=C/C#CC(C)(C)O)CCCc1cccc2ccccc12,
46,A3249,-117.317,CN(Cc1ccc(CCCO)cc1)Cc1cccc2ccccc12,
47,A4451,-117.245,O[C@](CNCCc1ccccn1)(Cn1cncn1)c1ccc(F)cc1F,
48,A4522,-117.029,OCCCN(Cc1ccncc1)C[C@@](O)(Cn1cncn1)c1ccc(F)cc1F,
49,A3308,-116.937,COc1ccc(CC[C@@H](Cn2ccnc2)Sc2ccc(C)cc2)cc1,
50,A5569,-116.837,COC1CCN(Cc2ccc(Cc3cc(c4cccnc4N)on3)cc2)CC1,
51,A2618,-116.822,OCCc1ccc(CO[C@@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,
52,A3214,-116.732,CN(Cc1ccc(CCN)cc1)Cc1cccc2ccccc12,
53,A3603,-116.716,C[C@@H](N1CC[C@H](c2ccccc2)CC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
54,A3562,-116.710,C[C@@H](N1Cc2cccnc2C1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,
55,A5855,-116.676,CC1=CC(=O)[N+](C(=C1)C[C@H](C)CC(C)(C)C)COCc1ccccc1,
56,A3184,-116.630,C#CCN(C)Cc1ccc(CN(C)Cc2cccc3ccccc23)cc1,
57,A5567,-116.626,CN1CCN(Cc2ccc(Cc3cc(c4cccnc4N)on3)cc2)CC1,
58,A5574,-116.572,Nc1ncccc1c1cc(Cc2ccc(COCCN3CCCCC3)cc2)no1,
59,A3291,-116.416,N#Cc1ccc(O[C@H](CCc2ccc(Cl)cc2)Cn2ccnc2)cc1,
