SMILES,PUBCHEM_CID
C(=S)(SSC(=S)N(C)C)N(C)C,136419
o1c2c(c(=O)c(c3ccc(OC)cc3)c1)ccc(OC)c2,65036
[S@](=O)(SCC=C)CC=C,474
c1c(ccc(c1)CC(CN1C[C@@H](O[C@@H](C1)C)C)C)C(CC)(C)C,240121
c1cccc(c1)C(c1ccc(cc1)c1ccccc1)n1cncc1,10690
c1(cccc2ccccc12)CN(C)Cc1ccc(cc1)C(C)(C)C,107
c1(C(=O)OCCCC)ccc(cc1)O,11230
O([C@]1([C@H]2C([C@H]3[C@@](C2)([C@H](CC3)C)CC1)(C)C)C)C(=O)C,16719049
c1c(cc(n(c1=O)O)C1CCCCC1)C,214356
C1CCCC(C1)c1n(c(=O)cc(c1)C)O,2484
C(n1ccnc1)(Oc1ccc(cc1)Cl)C(=O)C(C)(C)C,267769
c12c(c(ccc1Cl)O)nccc2,2803648
O[C@@H]([C@H](O)[C@@H](O)C(=O)O)[C@H](O)CO,31244
OC(=O)CCc1ccccc1,3806
O[C@@]1(C(C)C)CCC(=CC1)C,441383
o1nc(Cc2ccc(cc2)COc2ncccc2)cc1c1c(nccc1)N,47472
P(=O)(OC(Cn1ncnc1)(Cn1ncnc1)c1c(F)cc(F)cc1)(O)O,50259
N(Cc1ccc(C(C)(C)C)cc1)(Cc1c2c(ccc1)cccc2)C,5281575
O1[C@@]23[C@@H]4N([C@@H](C2)C=CC3=CC1=O)CCCC4,5281783
Clc1cc(NC(=S)NNC(=O)CC#N)ccc1Cl,5281946
O(c1ccc(cc1)C=O)C,5282433
Oc1c2c(ccc1)C(=O)C=CC2=O,5282433
Clc1c(S[C@H](CCc2ccc(Cl)cc2)Cn2ccnc2)c(Cl)ccc1,636970
On1c(C[C@@H](CC(C)(C)C)C)cc(cc1=O)C,637760
o1c(/C=C/c2ccc(OC)cc2)cc(OC)cc1=O,637760
O(c1ccc(cc1)/C=C/C(=O)OCC)C,657255
o1c2c(c(=O)c(OC)c1c1ccccc1)c(O)cc(O)c2,6911854
S(/C=C(/n1ccnc1)\c1c(OCCCCC)cccc1)C,6917907
s1c(ncc1)c1c2c([nH]c1)cccc2,77254
O=C(c1ccccc1)/C=C/c1ccccc1,7870
S(c1ccc([C@H](O)[C@H](NCCCCCCCC)C)cc1)C(C)C,6197
S([C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)CO)/C(=N/OS(=O)(=O)O)/CC=C,NA
Brc1cc(C(=O)Nc2ccc(Cl)cc2)c(O)cc1,643820
OC(C[C@H](O)C)(C)C,6433427
O[C@@H]([C@@H]1C[C@H](C[C@@H](C1=O)C)C)CC1CC(=O)NC(=O)C1,176
C(OC(Cn1ccnc1)c1c(Cl)cc(Cl)cc1)c1c2c(sc1)c(Cl)ccc2,6683
c1c(cc(c(c1)C(Cn1ccnc1)OCc1ccc(cc1)Cl)Cl)Cl,68589
C(OCc1ccc(cc1)Sc1ccccc1)(c1ccc(cc1Cl)Cl)Cn1ccnc1,"	51754"
c1(=O)[nH]cc(c(n1)N)F,3366
c1c(cc(c(c1)C(OCc1c(cccc1Cl)Cl)Cn1ccnc1)Cl)Cl,"	159968"
c1([C@H]2S/C(=C(/n3ccnc3)\C#N)/SC2)c(cc(cc1)Cl)Cl,11499245
c1cc(c(cc1CC=C)c1cc(ccc1O)CC=C)O,72300
c1(ccc(c(c1)Cl)COC(c1c(cc(cc1)Cl)Cl)Cn1ccnc1)Cl,16119739
c1c(cc(c(c1)C(OCc1ccc(cc1Cl)Cl)Cn1ccnc1)Cl)Cl,71853
c1(cccc2ccccc12)CN(C/C=C/c1ccccc1)C,72196309
OC/C=C(\CCC=C(C)C)/C,79050
S(C[C@H]1OC(=O)N(/N=C/c2oc([N+](=O)[O-])cc2)C1)C,637563
OC(=O)C,5634
Oc1c2c(C(=O)c3c(C2=O)cccc3)c(O)cc1O,6683
c1(c(cccc1)C(=O)[O-])S[Hg]CC,3646
C(C(Cl)(Cl)Cl)(C)(C)O,3829
C1(=O)C(=C)[C@@H]2[C@H](O1)C[C@@]1([C@@H](C2)C(=C)CCC1)C,73285
c1c(ccc(c1)C(=O)OCC)O,8434
c12c(c(cc(c1O)I)Cl)cccn2,2788
C(=O)(c1c(cccc1)O)Nc1ccccc1,6872
c1nccn1CC(c1c(cc(cc1)Cl)Cl)OCc1c2c(sc1)c(ccc2)Cl,200103
Fc1cc2c(cc1)B(OC2)O,11499245
O(C(=O)CCCCCCCCCCCCC)CC(O)CO,79050
c1nccn1CC(c1c(cc(cc1)Cl)Cl)SCc1ccc(cc1)Cl,318029963
c1cc2c(cc1)c(ccc2)CN(C/C=C/C#CC(C)(C)C)C,5282481
c1c(c(ccc1Cl)C(OCc1ccsc1Cl)Cn1ccnc1)Cl,5482
O(c1ccc(cc1)/C=C/C)C,637563
C(COC(=O)C)(COC(=O)C)OC(=O)C,5541
n1cnc2c(c1N)ccn2[C@H]1C([C@H]([C@H](O1)CO)O)O,6245
c1ccc2=S[Zn]3(On2c1)On1c(=S3)cccc1,4075
OC(=O)CCCCCCCCC=C,5634
